setting,mean_load,service_time,threshold,method,plan,staff_hours,gap_vs_ucb_pct,fluid_hours,corr_with_fluid,worst_late,hours_significantly_over,late_by_hour
R24_S4_T7.5,24.0,4.0,7.5,SIPP,"[29, 40, 21, 14, 14, 29, 36, 21]",204,1.49,189.24,0.9765,0.1137,0,"[0.0004, 0.0041, 0.0679, 0.1137, 0.0498, 0.0027, 0.0063, 0.0717]"
R24_S4_T7.5,24.0,4.0,7.5,Lag-SIPP,"[27, 39, 23, 14, 14, 28, 36, 22]",203,1.0,189.24,0.9859,0.0622,0,"[0.0074, 0.0162, 0.0622, 0.0468, 0.0262, 0.0062, 0.0105, 0.0479]"
R24_S4_T7.5,24.0,4.0,7.5,OL-avg,"[27, 39, 23, 14, 14, 28, 36, 22]",203,1.0,189.24,0.9859,0.0622,0,"[0.0074, 0.0162, 0.0622, 0.0468, 0.0262, 0.0062, 0.0105, 0.0479]"
R24_S4_T7.5,24.0,4.0,7.5,OL-max,"[29, 40, 40, 21, 14, 29, 36, 36]",245,21.89,189.24,0.7298,0.0051,0,"[0.0004, 0.0013, 0.0001, 0.0, 0.0051, 0.0015, 0.0021, 0.0]"
R24_S4_T7.5,24.0,4.0,7.5,SGS,"[27, 40, 22, 14, 13, 27, 36, 22]",201,0.0,189.24,0.9877,0.0788,0,"[0.0073, 0.0076, 0.0496, 0.0637, 0.0788, 0.0289, 0.0297, 0.0708]"
R24_S4_T7.5,24.0,4.0,7.5,SGS-UCB,"[26, 40, 23, 14, 13, 26, 37, 22]",201,0.0,189.24,0.9851,0.0649,0,"[0.0239, 0.0136, 0.0436, 0.0373, 0.0649, 0.0552, 0.0305, 0.0558]"
R24_S8_T15,24.0,8.0,15.0,SIPP,"[29, 40, 21, 14, 14, 29, 36, 21]",204,3.55,185.65,0.9185,0.0847,0,"[0.0, 0.0014, 0.0389, 0.0847, 0.0491, 0.0019, 0.0044, 0.0468]"
R24_S8_T15,24.0,8.0,15.0,Lag-SIPP,"[25, 39, 24, 15, 14, 27, 35, 23]",202,2.54,185.65,0.9659,0.0495,0,"[0.0006, 0.0063, 0.032, 0.0284, 0.0172, 0.0017, 0.01, 0.0495]"
R24_S8_T15,24.0,8.0,15.0,OL-avg,"[25, 38, 24, 15, 14, 27, 35, 23]",201,2.03,185.65,0.9594,0.0557,0,"[0.0006, 0.0117, 0.0557, 0.0439, 0.0221, 0.0031, 0.0107, 0.0514]"
R24_S8_T15,24.0,8.0,15.0,OL-max,"[29, 40, 40, 21, 14, 29, 36, 36]",245,24.37,185.65,0.7527,0.0012,0,"[0.0, 0.0002, 0.0, 0.0, 0.0012, 0.0, 0.001, 0.0002]"
R24_S8_T15,24.0,8.0,15.0,SGS,"[24, 39, 22, 15, 12, 27, 36, 21]",196,-0.51,185.65,0.9619,0.0905,0,"[0.0018, 0.0107, 0.0825, 0.0905, 0.0896, 0.0115, 0.0128, 0.0756]"
R24_S8_T15,24.0,8.0,15.0,SGS-UCB,"[24, 39, 22, 16, 12, 27, 36, 21]",197,0.0,185.65,0.9619,0.0812,0,"[0.0018, 0.0107, 0.0812, 0.066, 0.0582, 0.0076, 0.0109, 0.0702]"
R24_S16_T30,24.0,16.0,30.0,SIPP,"[29, 40, 21, 14, 14, 29, 36, 21]",204,10.87,177.52,0.7533,0.0449,0,"[0.0, 0.0002, 0.0124, 0.0449, 0.0189, 0.0, 0.0008, 0.011]"
