shape,amplitude,service_time,threshold,load_by_hour,f0,f0_plan,f0_optimal,f0_idle_share,f0_backlog_share,f0_worst_fluid_late,f_alpha,f_alpha_plan,f_alpha_optimal,f_alpha_idle_share,f_alpha_backlog_share,f_alpha_worst_fluid_late
double,0.3,4.0,15.0,"[1.0677, 1.3, 0.9129, 0.7581, 0.7581, 1.0677, 1.2226, 0.9129]",0.9674,"[0.7772, 1.5193, 0.9494, 0.7698, 0.7381, 1.0677, 1.0047, 0.9129]",True,0.00353,0.03614,0.0,0.96719,"[0.7574, 1.5365, 0.9503, 0.7699, 0.7381, 1.0677, 1.0047, 0.9129]",True,0.00332,0.03614,0.0979
double,0.3,8.0,15.0,"[1.0677, 1.3, 0.9129, 0.7581, 0.7581, 1.0677, 1.2226, 0.9129]",0.96281,"[0.7529, 1.4737, 0.9773, 0.7833, 0.7197, 1.0677, 1.015, 0.9129]",True,0.00655,0.04374,0.0,0.96239,"[0.7313, 1.49, 0.979, 0.7835, 0.7197, 1.0677, 1.015, 0.9129]",True,0.00614,0.04374,0.1
double,0.3,16.0,15.0,"[1.0677, 1.3, 0.9129, 0.7581, 0.7581, 1.0677, 1.2226, 0.9129]",0.95171,"[0.6996, 1.3855, 1.0126, 0.811, 0.6887, 1.0677, 1.0356, 0.9129]",True,0.01067,0.05895,0.0,0.95104,"[0.68, 1.3968, 1.0148, 0.8115, 0.6888, 1.0677, 1.0356, 0.9129]",True,0.00999,0.05895,0.0958
double,0.3,32.0,15.0,"[1.0677, 1.3, 0.9129, 0.7581, 0.7581, 1.0677, 1.2226, 0.9129]",0.92519,"[0.5983, 1.0988, 1.1109, 0.88, 0.7983, 0.8008, 1.2015, 0.9129]",True,0.01431,0.08912,0.0,0.92499,"[0.594, 1.1155, 1.1017, 0.8768, 0.7966, 0.8008, 1.2015, 0.9129]",True,0.01412,0.08913,0.0542
double,0.6,4.0,15.0,"[1.1355, 1.6, 0.8258, 0.5161, 0.5161, 1.1355, 1.4452, 0.8258]",0.97107,"[0.8265, 1.8195, 0.8867, 0.539, 0.4768, 1.126, 1.2682, 0.8258]",True,0.00371,0.03264,0.0,0.97082,"[0.8027, 1.8402, 0.8878, 0.5391, 0.4768, 1.126, 1.2682, 0.8258]",True,0.00346,0.03264,0.0979
double,0.6,8.0,15.0,"[1.1355, 1.6, 0.8258, 0.5161, 0.5161, 1.1355, 1.4452, 0.8258]",0.9674,"[0.8006, 1.7588, 0.9348, 0.5645, 0.4426, 1.1098, 1.3022, 0.8258]",True,0.00684,0.03944,0.0,0.96693,"[0.7761, 1.7773, 0.9368, 0.5647, 0.4426, 1.1098, 1.3022, 0.8258]",True,0.00637,0.03944,0.0917
double,0.6,16.0,15.0,"[1.1355, 1.6, 0.8258, 0.5161, 0.5161, 1.1355, 1.4452, 0.8258]",0.95802,"[0.744, 1.6445, 0.9999, 0.617, 0.4342, 0.918, 1.4807, 0.8258]",True,0.01113,0.05311,0.0,0.95711,"[0.7176, 1.6598, 1.0029, 0.6176, 0.4343, 0.9182, 1.4807, 0.8258]",True,0.01022,0.05311,0.1
double,0.6,32.0,15.0,"[1.1355, 1.6, 0.8258, 0.5161, 0.5161, 1.1355, 1.4452, 0.8258]",0.94415,"[0.6363, 1.2957, 1.1994, 0.7369, 0.488, 0.8129, 1.379, 1.0051]",True,0.02006,0.07591,0.0,0.93814,"[0.6266, 1.2627, 1.1932, 0.7446, 0.4984, 0.8054, 1.383, 0.9911]",False,0.01643,0.07829,0.1042
single,0.3,4.0,15.0,"[0.7, 0.9, 1.1, 1.3, 1.3, 1.1, 0.9, 0.7]",0.97461,"[0.5095, 1.0366, 1.0857, 1.3, 1.3, 1.1126, 0.7524, 0.7]",True,0.00232,0.02771,1.0,0.97446,"[0.4957, 1.0493, 1.0857, 1.3, 1.3, 1.1126, 0.7524, 0.7]",True,0.00217,0.02771,1.0
single,0.3,8.0,15.0,"[0.7, 0.9, 1.1, 1.3, 1.3, 1.1, 0.9, 0.7]",0.97076,"[0.4936, 0.9982, 1.0692, 1.3, 1.3, 1.1239, 0.7811, 0.7]",True,0.0043,0.03354,1.0,0.97046,"[0.4785, 1.011, 1.0692, 1.3, 1.3, 1.1239, 0.7811, 0.7]",True,0.00401,0.03354,1.0
single,0.3,16.0,15.0,"[0.7, 0.9, 1.1, 1.3, 1.3, 1.1, 0.9, 0.7]",0.96179,"[0.4587, 0.9234, 1.0273, 1.3, 1.3, 1.1427, 0.8423, 0.7]",True,0.007,0.04521,1.0,0.96134,"[0.4458, 0.9327, 1.0273, 1.3, 1.3, 1.1427, 0.8423, 0.7]",True,0.00655,0.04521,1.0
single,0.3,32.0,15.0,"[0.7, 0.9, 1.1, 1.3, 1.3, 1.1, 0.9, 0.7]",0.94101,"[0.3922, 0.7204, 0.9705, 1.3, 1.3, 1.1703, 0.9747, 0.7]",True,0.00955,0.06854,0.0,0.94088,"[0.3891, 0.7346, 0.9584, 1.3, 1.3, 1.1703, 0.9747, 0.7]",True,0.00942,0.06854,0.0583
single,0.6,4.0,15.0,"[0.4, 0.8, 1.2, 1.6, 1.6, 1.2, 0.8, 0.4]",0.98549,"[0.2912, 0.8413, 1.1714, 1.6, 1.6, 1.2252, 0.7548, 0.4]",True,0.00132,0.01583,1.0,0.98538,"[0.2811, 0.8506, 1.1714, 1.6, 1.6, 1.2252, 0.7548, 0.4]",False,0.00122,0.01583,1.0
single,0.6,8.0,15.0,"[0.4, 0.8, 1.2, 1.6, 1.6, 1.2, 0.8, 0.4]",0.98329,"[0.282, 0.7858, 1.1385, 1.6, 1.6, 1.2478, 0.8122, 0.4]",True,0.00246,0.01917,1.0,0.98308,"[0.2711, 0.7951, 1.1385, 1.6, 1.6, 1.2478, 0.8122, 0.4]",True,0.00225,0.01917,1.0
single,0.6,16.0,15.0,"[0.4, 0.8, 1.2, 1.6, 1.6, 1.2, 0.8, 0.4]",0.9814,"[0.2621, 0.6371, 1.1061, 1.6, 1.6, 1.2865, 0.9137, 0.4457]",True,0.00451,0.0231,0.0083,0.98008,"[0.2522, 0.6641, 1.0863, 1.6, 1.6, 1.2865, 0.9088, 0.4428]",True,0.00389,0.02381,0.1083
