setting,mean_load,service_time,threshold,shape,method,plan,staff_hours,gap_vs_ucb_pct,fluid_hours,corr_with_fluid,worst_late,hours_significantly_over,late_by_hour
single_R24_S8,24.0,8.0,15.0,single,SIPP,"[11, 21, 30, 40, 40, 30, 21, 11]",204,3.03,188.75,0.9954,0.1691,1,"[0.0007, 0.0005, 0.0004, 0.0004, 0.0048, 0.0284, 0.0924, 0.1691]"
single_R24_S8,24.0,8.0,15.0,single,Lag-SIPP,"[10, 19, 29, 39, 40, 32, 22, 12]",203,2.53,188.75,0.9966,0.0523,0,"[0.003, 0.0045, 0.003, 0.0033, 0.0112, 0.0193, 0.0358, 0.0523]"
single_R24_S8,24.0,8.0,15.0,single,OL-avg,"[10, 19, 29, 39, 40, 32, 22, 12]",203,2.53,188.75,0.9966,0.0523,0,"[0.003, 0.0045, 0.003, 0.0033, 0.0112, 0.0193, 0.0358, 0.0523]"
single_R24_S8,24.0,8.0,15.0,single,OL-max,"[11, 21, 30, 40, 40, 40, 30, 21]",233,17.68,188.75,0.9332,0.0032,0,"[0.0007, 0.0005, 0.0004, 0.0004, 0.0032, 0.0009, 0.0, 0.0]"
single_R24_S8,24.0,8.0,15.0,single,SGS,"[8, 17, 27, 39, 41, 30, 23, 12]",197,-0.51,188.75,0.9885,0.0882,0,"[0.055, 0.0678, 0.0621, 0.0228, 0.0284, 0.0627, 0.0859, 0.0882]"
single_R24_S8,24.0,8.0,15.0,single,SGS-UCB,"[8, 17, 27, 39, 41, 30, 24, 12]",198,0.0,188.75,0.9856,0.0678,0,"[0.055, 0.0678, 0.0621, 0.0228, 0.0284, 0.0618, 0.0646, 0.059]"
single_R24_S32,24.0,32.0,15.0,single,SIPP,"[13, 23, 33, 42, 42, 33, 23, 13]",222,10.45,186.4,0.9045,0.1314,1,"[0.0001, 0.0, 0.0002, 0.0005, 0.0155, 0.0563, 0.098, 0.1314]"
single_R24_S32,24.0,32.0,15.0,single,Lag-SIPP,"[7, 17, 27, 37, 42, 38, 28, 18]",214,6.47,186.4,0.9919,0.0646,0,"[0.0646, 0.0323, 0.0252, 0.0228, 0.0391, 0.0362, 0.0145, 0.0055]"
single_R24_S32,24.0,32.0,15.0,single,OL-avg,"[8, 18, 27, 37, 41, 37, 28, 18]",214,6.47,186.4,0.9925,0.0572,0,"[0.03, 0.0154, 0.02, 0.0226, 0.0534, 0.0572, 0.0253, 0.008]"
single_R24_S32,24.0,32.0,15.0,single,OL-max,"[11, 21, 31, 41, 42, 42, 34, 24]",246,22.39,186.4,0.977,0.0154,0,"[0.0013, 0.0013, 0.0012, 0.0008, 0.0154, 0.0079, 0.0005, 0.0]"
single_R24_S32,24.0,32.0,15.0,single,SGS,"[7, 15, 25, 39, 41, 33, 25, 14]",199,-1.0,186.4,0.9928,0.1067,0,"[0.0661, 0.093, 0.078, 0.0221, 0.0547, 0.1067, 0.0999, 0.0875]"
single_R24_S32,24.0,32.0,15.0,single,SGS-UCB,"[7, 15, 25, 38, 42, 35, 25, 14]",201,0.0,186.4,0.9947,0.093,0,"[0.0661, 0.093, 0.0793, 0.0323, 0.0451, 0.0693, 0.0614, 0.0702]"
ramp_R24_S8,24.0,8.0,15.0,ramp,SIPP,"[40, 36, 32, 28, 24, 19, 15, 11]",205,0.49,190.15,0.8678,0.1261,1,"[0.0, 0.0014, 0.0086, 0.0199, 0.0243, 0.0449, 0.0974, 0.1261]"
ramp_R24_S8,24.0,8.0,15.0,ramp,Lag-SIPP,"[35, 36, 32, 28, 24, 20, 16, 12]",203,-0.49,190.15,0.9293,0.0575,0,"[0.0013, 0.0266, 0.0459, 0.053, 0.0575, 0.0507, 0.0522, 0.0449]"
ramp_R24_S8,24.0,8.0,15.0,ramp,OL-avg,"[35, 36, 32, 28, 24, 20, 16, 12]",203,-0.49,190.15,0.9293,0.0575,0,"[0.0013, 0.0266, 0.0459, 0.053, 0.0575, 0.0507, 0.0522, 0.0449]"
