shape,amplitude,service_time,threshold,menu,cost_per_erlang,f0_np,plan,optimal
double,0.3,4.0,15.0,hourly,7.6343,0.95429,"[0.7748, 1.5197, 0.6828, 0.9691, 0.567, 0.9645, 1.2436, 0.9129]",True
double,0.3,8.0,15.0,hourly,7.50152,0.93769,"[0.7473, 1.4778, 0.6782, 0.9564, 0.5624, 0.941, 1.2255, 0.9129]",True
double,0.3,16.0,15.0,hourly,7.24761,0.90595,"[0.6933, 1.3941, 0.6744, 0.9339, 0.555, 0.8991, 1.3674, 0.7303]",True
double,0.3,32.0,15.0,hourly,6.8122,0.85152,"[0.5911, 1.2565, 0.6904, 0.9204, 0.5306, 0.8303, 1.2651, 0.7277]",True
double,0.6,4.0,15.0,hourly,7.62605,0.95326,"[0.8239, 1.8201, 0.6507, 0.6898, 0.3849, 0.9429, 1.4879, 0.8258]",True
double,0.6,8.0,15.0,hourly,7.46467,0.93308,"[0.7947, 1.7639, 0.6414, 0.696, 0.3803, 0.9087, 1.4537, 0.8258]",True
double,0.6,16.0,15.0,hourly,7.14963,0.8937,"[0.7373, 1.6526, 0.6111, 0.7219, 0.3685, 0.85, 1.5477, 0.6606]",True
double,0.6,32.0,15.0,hourly,6.69363,0.8367,"[0.6286, 1.5048, 0.6368, 0.7269, 0.3517, 0.7714, 1.3669, 0.7066]",True
single,0.3,4.0,15.0,hourly,7.69835,0.96229,"[0.5079, 1.0411, 0.8227, 1.5301, 0.9723, 1.3993, 0.725, 0.7]",True
single,0.3,8.0,15.0,hourly,7.58013,0.94752,"[0.4899, 1.0109, 0.8187, 1.493, 0.9666, 1.376, 0.725, 0.7]",True
single,0.3,16.0,15.0,hourly,7.3665,0.92081,"[0.4545, 0.9517, 0.8161, 1.4273, 0.9608, 1.3371, 0.719, 0.7]",True
single,0.3,32.0,15.0,hourly,6.97641,0.87205,"[0.3875, 0.6903, 1.1092, 0.9667, 1.4291, 0.7898, 1.0496, 0.5542]",True
single,0.6,4.0,15.0,hourly,7.7618,0.97022,"[0.2902, 0.6743, 1.0734, 1.8493, 1.1966, 1.5779, 0.7, 0.4]",True
single,0.6,8.0,15.0,hourly,7.63005,0.95376,"[0.28, 0.6501, 1.047, 1.8049, 1.1902, 1.5578, 0.7, 0.4]",True
single,0.6,16.0,15.0,hourly,7.38503,0.92313,"[0.2597, 0.6066, 0.996, 1.7203, 1.1849, 1.5223, 0.6953, 0.4]",True
single,0.6,32.0,15.0,hourly,6.94906,0.86863,"[0.2214, 0.5415, 0.9053, 1.293, 1.7963, 0.8538, 1.023, 0.3147]",True
ramp,0.3,4.0,15.0,hourly,7.69743,0.96218,"[0.9433, 1.5048, 0.8441, 1.2972, 0.7158, 1.0879, 0.6043, 0.7]",True
ramp,0.3,8.0,15.0,hourly,7.57201,0.9465,"[0.9099, 1.4748, 0.8378, 1.2754, 0.7104, 1.0705, 0.5933, 0.7]",True
ramp,0.3,16.0,15.0,hourly,7.33096,0.91637,"[0.8441, 1.4092, 0.8308, 1.235, 0.7032, 1.037, 0.5769, 0.6948]",True
ramp,0.3,32.0,15.0,hourly,6.90992,0.86374,"[0.7197, 1.2759, 0.8254, 1.1836, 0.6832, 0.9878, 0.5616, 0.6727]",True
ramp,0.6,4.0,15.0,hourly,7.77567,0.97196,"[1.161, 1.7903, 0.9402, 1.3737, 0.6838, 0.9553, 0.4714, 0.4]",True
ramp,0.6,8.0,15.0,hourly,7.65301,0.95663,"[1.1199, 1.7571, 0.9327, 1.3537, 0.6779, 0.9404, 0.4714, 0.4]",True
ramp,0.6,16.0,15.0,hourly,7.41318,0.92665,"[1.0389, 1.6831, 0.9236, 1.3162, 0.6694, 0.9141, 0.468, 0.4]",True
ramp,0.6,32.0,15.0,hourly,6.97447,0.87181,"[0.8857, 1.532, 0.9125, 1.2688, 0.6454, 0.8718, 0.4582, 0.4]",True
double,0.6,4.0,7.5,hourly,7.76188,0.97024,"[0.9725, 1.6951, 0.8258, 0.4511, 0.5125, 1.0231, 1.456, 0.8258]",True
double,0.6,16.0,30.0,hourly,6.70566,0.83821,"[0.4654, 1.8323, 0.3912, 0.8385, 0.2366, 0.6997, 1.4162, 0.8258]",True
double,0.6,32.0,60.0,hourly,4.696,0.587,"[0.0, 1.7666, 0.0, 0.887, 0.0, 1.0876, 0.0, 0.9548]",True
double,0.6,8.0,15.0,standard,9.6928,,"[1.1351, 1.2689, 1.2689, 1.2689, 1.2881, 1.1543, 1.1543, 1.1543]",True
double,0.6,32.0,15.0,standard,9.27516,,"[0.931, 1.2029, 1.2029, 1.2029, 1.3878, 1.1159, 1.1159, 1.1159]",True
double,0.6,8.0,15.0,flexible,9.50007,,"[1.0667, 1.2918, 1.2918, 1.2918, 1.1958, 1.1958, 1.1958, 0.9707]",True
double,0.6,32.0,15.0,flexible,8.848,,"[0.8534, 1.2086, 1.2086, 1.2086, 1.181, 1.181, 1.181, 0.8258]",True
