shape,amplitude,service_time,threshold,kappa,f_paid,window_share,spill_share,overtime_share,plan,optimal
double,0.6,4.0,15.0,0.0,0.95326,0.95326,0.0178,0.03269,"[0.8239, 1.8201, 0.6507, 0.6898, 0.3849, 0.9429, 1.4879, 0.8258]",True
double,0.6,4.0,15.0,1.0,1.00373,0.98576,0.00905,0.00891,"[0.8239, 1.6023, 0.929, 0.5161, 0.5161, 1.1325, 1.2619, 1.1042]",True
double,0.6,4.0,15.0,1.5,1.00949,0.9965,0.00083,0.00783,"[0.8239, 1.6262, 0.9899, 0.6295, 0.4819, 1.1237, 1.3009, 0.996]",True
double,0.6,8.0,15.0,0.0,0.93308,0.93308,0.03443,0.03957,"[0.7947, 1.7639, 0.6414, 0.696, 0.3803, 0.9087, 1.4537, 0.8258]",True
double,0.6,8.0,15.0,1.0,1.00685,0.97165,0.01733,0.01787,"[0.7947, 1.5558, 0.929, 0.5161, 0.5161, 1.0885, 1.2655, 1.1073]",True
double,0.6,8.0,15.0,1.5,1.01832,0.99438,0.00016,0.01579,"[0.7947, 1.5954, 1.0688, 0.6166, 0.4479, 1.1077, 1.3162, 1.0077]",True
double,0.6,16.0,15.0,0.0,0.8937,0.8937,0.07545,0.04328,"[0.7373, 1.6526, 0.6111, 0.7219, 0.3685, 0.85, 1.5477, 0.6606]",True
double,0.6,16.0,15.0,1.0,1.01111,0.90946,0.04792,0.05373,"[0.7373, 1.4602, 0.9501, 0.5161, 0.5161, 0.8795, 1.3906, 0.8258]",True
double,0.6,16.0,15.0,1.5,1.03562,0.98376,0.00095,0.03362,"[0.7373, 1.535, 1.083, 0.6462, 0.468, 0.9768, 1.3289, 1.095]",True
double,0.6,32.0,15.0,0.0,0.8367,0.8367,0.12033,0.07575,"[0.6286, 1.5048, 0.6368, 0.7269, 0.3517, 0.7714, 1.3669, 0.7066]",True
double,0.6,32.0,15.0,1.0,1.01677,0.85027,0.08117,0.08534,"[0.6286, 1.2761, 1.1139, 0.3989, 0.4762, 0.8058, 1.2769, 0.8258]",True
double,0.6,32.0,15.0,1.5,1.06345,0.9598,0.0,0.0691,"[0.6286, 1.2898, 1.2104, 0.7821, 0.5363, 0.7884, 1.3181, 1.1246]",True
single,0.6,4.0,15.0,0.0,0.97022,0.97022,0.01526,0.01583,"[0.2902, 0.6743, 1.0734, 1.8493, 1.1966, 1.5779, 0.7, 0.4]",True
single,0.6,4.0,15.0,1.0,1.00131,0.98296,0.00674,0.01161,"[0.2902, 0.6743, 1.0734, 1.4733, 1.6438, 1.4383, 0.8209, 0.4494]",True
single,0.6,4.0,15.0,1.5,1.00428,0.9982,4e-05,0.00401,"[0.2902, 0.6743, 1.3393, 1.6, 1.4, 1.2142, 0.9281, 0.5395]",True
single,0.6,8.0,15.0,0.0,0.95376,0.95376,0.02954,0.01917,"[0.28, 0.6501, 1.047, 1.8049, 1.1902, 1.5578, 0.7, 0.4]",True
single,0.6,8.0,15.0,1.0,1.00241,0.96893,0.01431,0.01917,"[0.28, 0.6501, 1.047, 1.4467, 1.644, 1.4385, 0.8451, 0.4]",True
single,0.6,8.0,15.0,1.5,1.00844,0.99408,0.00147,0.0081,"[0.28, 0.6501, 1.2759, 1.6, 1.4147, 1.2379, 0.9478, 0.5463]",True
single,0.6,16.0,15.0,0.0,0.92313,0.92313,0.05504,0.02605,"[0.2597, 0.6066, 0.996, 1.7203, 1.1849, 1.5223, 0.6953, 0.4]",True
single,0.6,16.0,15.0,1.0,1.00391,0.95732,0.02883,0.01776,"[0.2597, 0.6066, 0.996, 1.3939, 1.6001, 1.5001, 0.7658, 0.5364]",True
single,0.6,16.0,15.0,1.5,1.01752,0.98773,0.00324,0.01663,"[0.2597, 0.6066, 1.1383, 1.6, 1.5, 1.261, 0.9741, 0.5622]",True
single,0.6,32.0,15.0,0.0,0.86863,0.86863,0.10281,0.03805,"[0.2214, 0.5415, 0.9053, 1.293, 1.7963, 0.8538, 1.023, 0.3147]",True
single,0.6,32.0,15.0,1.0,1.007,0.89095,0.07656,0.03949,"[0.2214, 0.5415, 0.9053, 1.293, 1.655, 1.1073, 1.0727, 0.3313]",True
single,0.6,32.0,15.0,1.5,1.03714,0.97021,0.00816,0.03646,"[0.2214, 0.5415, 0.9053, 1.4882, 1.5402, 1.3565, 1.0862, 0.6222]",True
ramp,0.6,4.0,15.0,0.0,0.97196,0.97196,0.01746,0.01583,"[1.161, 1.7903, 0.9402, 1.3737, 0.6838, 0.9553, 0.4714, 0.4]",True
