setting,mean_load,service_time,threshold,kappa,method,plan,window_hours,spill_hours,overtime_hours,paid_cost,paid_cost_all_stay,excess_pct,worst_late,hours_significantly_over,search_calls
R24_S4_T7.5,24.0,4.0,7.5,1.0,SIPP,"[29, 40, 21, 14, 14, 29, 36, 21]",204,2.504,2.137,208.641,212.391,1.7,0.1137,0,
R24_S4_T7.5,24.0,4.0,7.5,1.0,Lag-SIPP,"[27, 39, 23, 14, 14, 28, 36, 22]",203,2.341,1.818,207.159,211.142,0.98,0.0622,0,
R24_S4_T7.5,24.0,4.0,7.5,1.0,OL-avg,"[27, 39, 23, 14, 14, 28, 36, 22]",203,2.341,1.818,207.159,211.142,0.98,0.0622,0,
R24_S4_T7.5,24.0,4.0,7.5,1.0,OL-max,"[29, 40, 40, 21, 14, 29, 36, 36]",245,0.291,1.329,246.619,253.968,20.21,0.0051,0,
R24_S4_T7.5,24.0,4.0,7.5,1.0,SGS-UCB (window-hours),"[26, 40, 23, 14, 13, 26, 37, 22]",201,2.443,1.837,205.28,209.262,0.06,0.0649,0,
R24_S4_T7.5,24.0,4.0,7.5,1.0,paid optimum,"[25, 39, 25, 13, 14, 26, 37, 22]",201,2.336,1.819,205.155,209.136,0.0,0.0681,0,289
R24_S8_T15,24.0,8.0,15.0,1.0,SIPP,"[29, 40, 21, 14, 14, 29, 36, 21]",204,4.902,3.954,212.856,220.265,4.17,0.0847,0,
R24_S8_T15,24.0,8.0,15.0,1.0,Lag-SIPP,"[25, 39, 24, 15, 14, 27, 35, 23]",202,4.321,3.565,209.886,218.24,2.72,0.0495,0,
R24_S8_T15,24.0,8.0,15.0,1.0,OL-avg,"[25, 38, 24, 15, 14, 27, 35, 23]",201,4.231,3.574,208.805,217.161,2.19,0.0557,0,
R24_S8_T15,24.0,8.0,15.0,1.0,OL-max,"[29, 40, 40, 21, 14, 29, 36, 36]",245,0.524,2.613,248.136,262.663,21.44,0.0012,0,
R24_S8_T15,24.0,8.0,15.0,1.0,SGS-UCB (window-hours),"[24, 39, 22, 16, 12, 27, 36, 21]",197,4.949,4.143,206.092,213.5,0.86,0.0812,0,
R24_S8_T15,24.0,8.0,15.0,1.0,paid optimum,"[20, 39, 26, 14, 13, 24, 35, 26]",197,4.009,3.322,204.331,214.115,0.0,0.0833,0,937
R24_S16_T30,24.0,16.0,30.0,1.0,SIPP,"[29, 40, 21, 14, 14, 29, 36, 21]",204,9.454,7.009,220.463,235.181,9.44,0.0449,0,
R24_S16_T30,24.0,16.0,30.0,1.0,Lag-SIPP,"[22, 37, 26, 16, 14, 25, 34, 25]",199,7.046,6.691,212.738,231.296,5.6,0.0142,0,
R24_S16_T30,24.0,16.0,30.0,1.0,OL-avg,"[22, 37, 26, 16, 14, 25, 34, 25]",199,7.046,6.691,212.738,231.296,5.6,0.0142,0,
R24_S16_T30,24.0,16.0,30.0,1.0,OL-max,"[28, 40, 40, 22, 14, 28, 36, 36]",244,1.178,5.402,250.58,279.504,24.39,0.0,0,
R24_S16_T30,24.0,16.0,30.0,1.0,SGS-UCB (window-hours),"[18, 39, 22, 16, 10, 21, 36, 22]",184,10.138,8.53,202.668,218.344,0.6,0.0752,0,
R24_S16_T30,24.0,16.0,30.0,1.0,paid optimum,"[17, 38, 22, 18, 10, 18, 35, 26]",184,8.549,8.904,201.454,221.033,0.0,0.087,0,505
R24_S32_T60,24.0,32.0,60.0,1.0,SIPP,"[29, 40, 21, 14, 14, 29, 36, 21]",204,16.517,13.478,233.996,262.621,18.16,0.0078,0,
R24_S32_T60,24.0,32.0,60.0,1.0,Lag-SIPP,"[14, 34, 31, 18, 14, 21, 32, 29]",193,7.884,13.841,214.725,258.929,8.43,0.0013,0,
R24_S32_T60,24.0,32.0,60.0,1.0,OL-avg,"[16, 33, 29, 18, 15, 22, 32, 27]",192,8.734,14.082,214.816,255.128,8.47,0.003,0,
R24_S32_T60,24.0,32.0,60.0,1.0,OL-max,"[25, 38, 38, 24, 15, 27, 35, 35]",237,2.98,12.041,252.021,307.604,27.26,0.0,0,
R24_S32_T60,24.0,32.0,60.0,1.0,SGS-UCB (window-hours),"[4, 41, 22, 3, 16, 10, 35, 22]",153,25.22,19.815,198.034,228.481,0.0,0.1024,0,
R24_S32_T60,24.0,32.0,60.0,1.0,paid optimum,"[4, 41, 22, 3, 16, 10, 35, 22]",153,25.22,19.815,198.034,228.481,0.0,0.1024,0,73
R24_S4_T7.5,24.0,4.0,7.5,1.5,SIPP,"[29, 40, 21, 14, 14, 29, 36, 21]",204,2.504,2.137,210.962,216.587,1.8,0.1137,0,
R24_S4_T7.5,24.0,4.0,7.5,1.5,Lag-SIPP,"[27, 39, 23, 14, 14, 28, 36, 22]",203,2.341,1.818,209.238,215.213,0.97,0.0622,0,
R24_S4_T7.5,24.0,4.0,7.5,1.5,OL-avg,"[27, 39, 23, 14, 14, 28, 36, 22]",203,2.341,1.818,209.238,215.213,0.97,0.0622,0,
R24_S4_T7.5,24.0,4.0,7.5,1.5,OL-max,"[29, 40, 40, 21, 14, 29, 36, 36]",245,0.291,1.329,247.429,258.452,19.4,0.0051,0,
R24_S4_T7.5,24.0,4.0,7.5,1.5,SGS-UCB (window-hours),"[26, 40, 23, 14, 13, 26, 37, 22]",201,2.443,1.837,207.42,213.393,0.09,0.0649,0,
R24_S4_T7.5,24.0,4.0,7.5,1.5,paid optimum,"[25, 39, 25, 13, 14, 26, 37, 22]",201,2.336,1.819,207.232,213.204,0.0,0.0681,0,289
R24_S8_T15,24.0,8.0,15.0,1.5,SIPP,"[29, 40, 21, 14, 14, 29, 36, 21]",204,4.902,3.954,217.284,228.397,4.47,0.0847,0,
R24_S8_T15,24.0,8.0,15.0,1.5,Lag-SIPP,"[25, 39, 24, 15, 14, 27, 35, 23]",202,4.321,3.565,213.829,226.361,2.8,0.0495,0,
R24_S8_T15,24.0,8.0,15.0,1.5,OL-avg,"[25, 38, 24, 15, 14, 27, 35, 23]",201,4.231,3.574,212.708,225.241,2.27,0.0557,0,
R24_S8_T15,24.0,8.0,15.0,1.5,OL-max,"[29, 40, 40, 21, 14, 29, 36, 36]",245,0.524,2.613,249.705,271.494,20.05,0.0012,0,
R24_S8_T15,24.0,8.0,15.0,1.5,SGS-UCB (window-hours),"[24, 39, 22, 16, 12, 27, 36, 21]",197,4.949,4.143,210.638,221.75,1.27,0.0812,0,
R24_S8_T15,24.0,8.0,15.0,1.5,paid optimum,"[20, 39, 26, 14, 13, 24, 35, 26]",197,4.009,3.322,207.996,222.673,0.0,0.0833,0,937
R24_S16_T30,24.0,16.0,30.0,1.5,SIPP,"[29, 40, 21, 14, 14, 29, 36, 21]",204,9.454,7.009,228.694,250.772,8.81,0.0449,0,
R24_S16_T30,24.0,16.0,30.0,1.5,Lag-SIPP,"[22, 37, 26, 16, 14, 25, 34, 25]",199,7.046,6.691,219.607,247.444,4.48,0.0142,0,
R24_S16_T30,24.0,16.0,30.0,1.5,OL-avg,"[22, 37, 26, 16, 14, 25, 34, 25]",199,7.046,6.691,219.607,247.444,4.48,0.0142,0,
R24_S16_T30,24.0,16.0,30.0,1.5,OL-max,"[28, 40, 40, 22, 14, 28, 36, 36]",244,1.178,5.402,253.87,297.255,20.79,0.0,0,
R24_S16_T30,24.0,16.0,30.0,1.5,SGS-UCB (window-hours),"[18, 39, 22, 16, 10, 21, 36, 22]",184,10.138,8.53,212.002,235.516,0.87,0.0752,0,
R24_S16_T30,24.0,16.0,30.0,1.5,paid optimum,"[17, 38, 22, 18, 10, 18, 35, 26]",184,8.549,8.904,210.18,239.55,0.0,0.087,0,505
R24_S32_T60,24.0,32.0,60.0,1.5,SIPP,"[29, 40, 21, 14, 14, 29, 36, 21]",204,16.517,13.478,248.994,291.931,17.34,0.0078,0,
R24_S32_T60,24.0,32.0,60.0,1.5,Lag-SIPP,"[14, 34, 31, 18, 14, 21, 32, 29]",193,7.884,13.841,225.587,291.893,6.31,0.0013,0,
R24_S32_T60,24.0,32.0,60.0,1.5,OL-avg,"[16, 33, 29, 18, 15, 22, 32, 27]",192,8.734,14.082,226.224,286.692,6.61,0.003,0,
R24_S32_T60,24.0,32.0,60.0,1.5,OL-max,"[25, 38, 38, 24, 15, 27, 35, 35]",237,2.98,12.041,259.532,342.906,22.31,0.0,0,
R24_S32_T60,24.0,32.0,60.0,1.5,SGS-UCB (window-hours),"[4, 41, 22, 3, 16, 10, 35, 22]",153,25.22,19.815,220.552,266.221,3.94,0.1024,0,
