setting,mean_load,service_time,threshold,kappa,method,plan,window_hours,spill_hours,overtime_hours,paid_cost,paid_cost_all_stay,excess_pct,worst_late,hours_significantly_over,search_calls
R24_S4_T15,24.0,4.0,15.0,1.0,SIPP,"[28, 39, 21, 13, 13, 28, 36, 21]",199,2.55,2.25,203.799,207.55,2.14,0.0725,0,
R24_S4_T15,24.0,4.0,15.0,1.0,Lag-SIPP,"[27, 39, 22, 14, 13, 27, 35, 22]",199,2.401,2.125,203.526,207.515,2.0,0.0213,0,
R24_S4_T15,24.0,4.0,15.0,1.0,OL-avg,"[26, 39, 22, 14, 13, 27, 35, 22]",198,2.418,2.135,202.553,206.542,1.51,0.0291,0,
R24_S4_T15,24.0,4.0,15.0,1.0,OL-max,"[28, 39, 39, 21, 13, 28, 36, 36]",240,0.322,1.329,241.651,249.0,21.11,0.0002,0,
R24_S4_T15,24.0,4.0,15.0,1.0,SGS-UCB (window-hours),"[25, 39, 21, 15, 12, 25, 36, 22]",195,2.547,2.365,199.912,203.903,0.19,0.058,0,
R24_S4_T15,24.0,4.0,15.0,1.0,paid optimum,"[23, 39, 23, 15, 11, 25, 35, 24]",195,2.391,2.146,199.537,204.009,0.0,0.0597,0,433
R24_S8_T15,24.0,8.0,15.0,1.0,SIPP,"[29, 40, 21, 14, 14, 29, 36, 21]",204,4.902,3.954,212.856,220.265,4.17,0.0847,0,
R24_S8_T15,24.0,8.0,15.0,1.0,Lag-SIPP,"[25, 39, 24, 15, 14, 27, 35, 23]",202,4.321,3.565,209.886,218.24,2.72,0.0495,0,
R24_S8_T15,24.0,8.0,15.0,1.0,OL-avg,"[25, 38, 24, 15, 14, 27, 35, 23]",201,4.231,3.574,208.805,217.161,2.19,0.0557,0,
R24_S8_T15,24.0,8.0,15.0,1.0,OL-max,"[29, 40, 40, 21, 14, 29, 36, 36]",245,0.524,2.613,248.136,262.663,21.44,0.0012,0,
R24_S8_T15,24.0,8.0,15.0,1.0,SGS-UCB (window-hours),"[24, 39, 22, 16, 12, 27, 36, 21]",197,4.949,4.143,206.092,213.5,0.86,0.0812,0,
R24_S8_T15,24.0,8.0,15.0,1.0,paid optimum,"[20, 39, 26, 14, 13, 24, 35, 26]",197,4.009,3.322,204.331,214.115,0.0,0.0833,0,937
R24_S16_T15,24.0,16.0,15.0,1.0,SIPP,"[30, 41, 22, 15, 15, 30, 37, 22]",212,9.08,6.381,227.461,243.131,7.97,0.0788,0,
R24_S16_T15,24.0,16.0,15.0,1.0,Lag-SIPP,"[22, 38, 27, 17, 15, 26, 35, 26]",206,6.58,6.058,218.638,238.136,3.78,0.0592,0,
R24_S16_T15,24.0,16.0,15.0,1.0,OL-avg,"[22, 38, 27, 17, 15, 26, 35, 26]",206,6.58,6.058,218.638,238.136,3.78,0.0592,0,
R24_S16_T15,24.0,16.0,15.0,1.0,OL-max,"[29, 41, 41, 23, 15, 29, 37, 37]",252,0.939,5.37,258.309,288.16,22.61,0.0021,0,
R24_S16_T15,24.0,16.0,15.0,1.0,SGS-UCB (window-hours),"[21, 39, 25, 16, 12, 24, 37, 23]",197,8.752,6.542,212.294,228.918,0.77,0.0806,0,
R24_S16_T15,24.0,16.0,15.0,1.0,paid optimum,"[18, 39, 28, 14, 14, 22, 36, 26]",197,7.341,6.332,210.673,230.173,0.0,0.0994,0,649
R24_S32_T15,24.0,32.0,15.0,1.0,SIPP,"[31, 42, 23, 16, 16, 31, 39, 23]",221,14.853,12.491,248.344,280.828,13.28,0.0995,0,
R24_S32_T15,24.0,32.0,15.0,1.0,Lag-SIPP,"[16, 36, 33, 20, 16, 23, 34, 31]",209,6.258,12.535,227.793,275.743,3.9,0.0863,0,
R24_S32_T15,24.0,32.0,15.0,1.0,OL-avg,"[18, 35, 31, 20, 16, 24, 34, 30]",208,7.154,12.558,227.712,273.716,3.87,0.0687,0,
R24_S32_T15,24.0,32.0,15.0,1.0,OL-max,"[27, 40, 40, 26, 17, 29, 37, 37]",253,2.177,11.838,267.014,326.39,21.79,0.0039,0,
R24_S32_T15,24.0,32.0,15.0,1.0,SGS-UCB (window-hours),"[16, 38, 26, 16, 15, 21, 37, 24]",193,13.796,12.965,219.761,254.168,0.24,0.0952,0,
R24_S32_T15,24.0,32.0,15.0,1.0,paid optimum,"[16, 37, 27, 16, 15, 21, 37, 24]",193,13.262,12.974,219.236,253.631,0.0,0.0922,0,145
