setting,mean_load,service_time,threshold,kappa,method,plan,window_hours,spill_hours,overtime_hours,paid_cost,paid_cost_all_stay,excess_pct,worst_late,hours_significantly_over,search_calls
R8_S8_T15,8.0,8.0,15.0,1.0,SIPP,"[11, 14, 8, 6, 6, 11, 13, 8]",77,1.394,1.235,79.629,81.393,6.89,0.0743,0,
R8_S8_T15,8.0,8.0,15.0,1.0,Lag-SIPP,"[9, 14, 9, 6, 6, 10, 13, 9]",76,1.227,1.057,78.284,80.364,5.08,0.0494,0,
R8_S8_T15,8.0,8.0,15.0,1.0,OL-avg,"[9, 14, 9, 6, 6, 10, 13, 9]",76,1.227,1.057,78.284,80.364,5.08,0.0494,0,
R8_S8_T15,8.0,8.0,15.0,1.0,OL-max,"[11, 14, 14, 8, 6, 11, 13, 13]",90,0.196,0.883,91.079,94.435,22.26,0.0056,0,
R8_S8_T15,8.0,8.0,15.0,1.0,SGS-UCB (window-hours),"[8, 14, 9, 6, 5, 9, 13, 8]",72,1.416,1.32,74.736,76.503,0.32,0.0843,0,
R8_S8_T15,8.0,8.0,15.0,1.0,paid optimum,"[8, 13, 11, 5, 5, 9, 13, 8]",72,1.172,1.324,74.496,76.263,0.0,0.0863,0,217
R32_S8_T15,32.0,8.0,15.0,1.0,SIPP,"[38, 53, 28, 18, 18, 38, 48, 28]",269,6.615,4.855,280.47,291.498,4.34,0.0699,0,
R32_S8_T15,32.0,8.0,15.0,1.0,Lag-SIPP,"[33, 51, 31, 19, 18, 35, 47, 31]",265,5.873,4.283,275.156,287.733,2.36,0.0452,0,
R32_S8_T15,32.0,8.0,15.0,1.0,OL-avg,"[33, 51, 31, 19, 18, 35, 47, 31]",265,5.873,4.283,275.156,287.733,2.36,0.0452,0,
R32_S8_T15,32.0,8.0,15.0,1.0,OL-max,"[38, 53, 53, 28, 18, 38, 48, 48]",324,0.67,3.489,328.158,349.512,22.08,0.0008,0,
R32_S8_T15,32.0,8.0,15.0,1.0,SGS-UCB (window-hours),"[31, 52, 29, 21, 15, 34, 48, 28]",258,6.817,5.412,270.229,281.259,0.53,0.0663,0,
R32_S8_T15,32.0,8.0,15.0,1.0,paid optimum,"[27, 52, 33, 19, 17, 31, 47, 32]",258,5.961,4.844,268.805,281.914,0.0,0.0785,0,865
R128_S8_T15,128.0,8.0,15.0,1.0,SIPP,"[147, 206, 107, 68, 68, 147, 187, 107]",1037,27.771,17.556,1082.326,1142.745,4.01,0.0214,0,
R128_S8_T15,128.0,8.0,15.0,1.0,Lag-SIPP,"[128, 199, 121, 73, 68, 136, 181, 118]",1024,24.275,16.389,1064.664,1132.788,2.31,0.0088,0,
R128_S8_T15,128.0,8.0,15.0,1.0,OL-avg,"[127, 198, 121, 73, 68, 136, 181, 118]",1022,24.336,16.429,1062.766,1130.895,2.13,0.0134,0,
R128_S8_T15,128.0,8.0,15.0,1.0,OL-max,"[147, 206, 206, 107, 68, 147, 187, 187]",1255,1.612,13.974,1270.585,1386.534,22.1,0.0,0,
R128_S8_T15,128.0,8.0,15.0,1.0,SGS-UCB (window-hours),"[99, 222, 114, 71, 57, 144, 171, 110]",988,28.606,27.167,1043.773,1106.301,0.3,0.0819,0,
R128_S8_T15,128.0,8.0,15.0,1.0,paid optimum,"[99, 221, 113, 71, 59, 132, 177, 116]",988,28.511,24.123,1040.634,1107.379,0.0,0.0781,0,1081
