c,rho_fresh,S,patience,r,n_roots,total_rate_per_hour
1,0.5,4.0,10.0,0.5,1,8.1578
1,0.5,4.0,10.0,0.9,1,8.9156
1,0.5,4.0,10.0,1.0,1,9.161
1,0.5,4.0,30.0,0.5,1,7.8282
1,0.5,4.0,30.0,0.9,1,8.1481
1,0.5,4.0,30.0,1.0,1,8.2389
1,0.5,4.0,120.0,0.5,1,7.6078
1,0.5,4.0,120.0,0.9,1,7.7005
1,0.5,4.0,120.0,1.0,1,7.7247
1,0.5,16.0,10.0,0.5,1,2.1708
1,0.5,16.0,10.0,0.9,1,2.6087
1,0.5,16.0,10.0,1.0,1,2.7901
1,0.5,16.0,30.0,0.5,1,2.066
1,0.5,16.0,30.0,0.9,1,2.2975
1,0.5,16.0,30.0,1.0,1,2.376
1,0.5,16.0,120.0,0.5,1,1.957
1,0.5,16.0,120.0,0.9,1,2.037
1,0.5,16.0,120.0,1.0,1,2.0597
1,0.8,4.0,10.0,0.5,1,13.9057
1,0.8,4.0,10.0,0.9,1,17.1664
1,0.8,4.0,10.0,1.0,1,18.8893
1,0.8,4.0,30.0,0.5,1,13.1241
1,0.8,4.0,30.0,0.9,1,14.6496
1,0.8,4.0,30.0,1.0,1,15.2482
1,0.8,4.0,120.0,0.5,1,12.4742
1,0.8,4.0,120.0,0.9,1,12.9774
1,0.8,4.0,120.0,1.0,1,13.1315
1,0.8,16.0,10.0,0.5,1,3.7525
1,0.8,16.0,10.0,0.9,1,5.4794
1,0.8,16.0,10.0,1.0,1,6.9483
1,0.8,16.0,30.0,0.5,1,3.5343
1,0.8,16.0,30.0,0.9,1,4.5077
1,0.8,16.0,30.0,1.0,1,5.0713
1,0.8,16.0,120.0,0.5,1,3.281
1,0.8,16.0,120.0,0.9,1,3.6624
1,0.8,16.0,120.0,1.0,1,3.8121
1,0.95,4.0,10.0,0.5,1,17.0985
1,0.95,4.0,10.0,0.9,1,23.6741
1,0.95,4.0,10.0,1.0,1,31.1971
1,0.95,4.0,30.0,0.5,1,16.1082
1,0.95,4.0,30.0,0.9,1,19.6883
1,0.95,4.0,30.0,1.0,1,22.4699
1,0.95,4.0,120.0,0.5,1,15.2111
1,0.95,4.0,120.0,0.9,1,16.702
1,0.95,4.0,120.0,1.0,1,17.4719
1,0.95,16.0,10.0,0.5,1,4.6141
1,0.95,16.0,10.0,0.9,1,7.6755
1,0.95,16.0,10.0,1.0,1,13.8883
1,0.95,16.0,30.0,0.5,1,4.3462
1,0.95,16.0,30.0,0.9,1,6.2455
1,0.95,16.0,30.0,1.0,1,8.6742
1,0.95,16.0,120.0,0.5,1,4.027
1,0.95,16.0,120.0,0.9,1,4.9221
1,0.95,16.0,120.0,1.0,1,5.6175
1,1.0,4.0,10.0,0.5,1,18.2149
1,1.0,4.0,10.0,0.9,1,26.6082
1,1.0,4.0,10.0,1.0,60,232.4379
1,1.0,4.0,30.0,0.5,1,17.1729
1,1.0,4.0,30.0,0.9,1,22.1883
1,1.0,4.0,30.0,1.0,108,104.7516
1,1.0,4.0,120.0,0.5,1,16.2213
1,1.0,4.0,120.0,0.9,1,18.7512
1,1.0,4.0,120.0,1.0,121,48.2251
1,1.0,16.0,10.0,0.5,1,4.9107
1,1.0,16.0,10.0,0.9,1,8.573
1,1.0,16.0,10.0,1.0,0,
1,1.0,16.0,30.0,0.5,1,4.629
1,1.0,16.0,30.0,0.9,1,7.0108
1,1.0,16.0,30.0,1.0,32,70.9972
1,1.0,16.0,120.0,0.5,1,4.2932
1,1.0,16.0,120.0,0.9,1,5.5471
1,1.0,16.0,120.0,1.0,106,26.1879
1,1.1,4.0,10.0,0.5,1,20.5278
1,1.1,4.0,10.0,0.9,1,34.4995
1,1.1,4.0,10.0,1.0,0,
1,1.1,4.0,30.0,0.5,1,19.4265
1,1.1,4.0,30.0,0.9,1,30.7816
1,1.1,4.0,30.0,1.0,0,
1,1.1,4.0,120.0,0.5,1,18.4766
1,1.1,4.0,120.0,0.9,1,30.0005
1,1.1,4.0,120.0,1.0,0,
1,1.1,16.0,10.0,0.5,1,5.5171
1,1.1,16.0,10.0,0.9,1,10.6657
1,1.1,16.0,10.0,1.0,0,
1,1.1,16.0,30.0,0.5,1,5.2125
1,1.1,16.0,30.0,0.9,1,8.9867
1,1.1,16.0,30.0,1.0,0,
1,1.1,16.0,120.0,0.5,1,4.8566
1,1.1,16.0,120.0,0.9,1,7.6954
1,1.1,16.0,120.0,1.0,0,
1,1.5,4.0,10.0,0.5,1,30.788
1,1.5,4.0,10.0,0.9,1,90.0018
1,1.5,4.0,10.0,1.0,0,
1,1.5,4.0,30.0,0.5,1,30.1055
1,1.5,4.0,30.0,0.9,1,90.0
1,1.5,4.0,30.0,1.0,0,
1,1.5,4.0,120.0,0.5,1,30.0001
1,1.5,4.0,120.0,0.9,1,90.0
1,1.5,4.0,120.0,1.0,0,
1,1.5,16.0,10.0,0.5,1,8.0915
1,1.5,16.0,10.0,0.9,1,22.8178
1,1.5,16.0,10.0,1.0,0,
1,1.5,16.0,30.0,0.5,1,7.7692
1,1.5,16.0,30.0,0.9,1,22.5038
1,1.5,16.0,30.0,1.0,0,
1,1.5,16.0,120.0,0.5,1,7.5264
1,1.5,16.0,120.0,0.9,1,22.5
1,1.5,16.0,120.0,1.0,0,
1,2.0,4.0,10.0,0.5,1,45.1263
1,2.0,4.0,10.0,0.9,1,165.0
1,2.0,4.0,10.0,1.0,0,
1,2.0,4.0,30.0,0.5,1,45.0008
1,2.0,4.0,30.0,0.9,1,165.0
1,2.0,4.0,30.0,1.0,0,
1,2.0,4.0,120.0,0.5,1,45.0
1,2.0,4.0,120.0,0.9,1,165.0
1,2.0,4.0,120.0,1.0,0,
1,2.0,16.0,10.0,0.5,1,11.5456
1,2.0,16.0,10.0,0.9,1,41.2618
1,2.0,16.0,10.0,1.0,0,
1,2.0,16.0,30.0,0.5,1,11.3128
1,2.0,16.0,30.0,0.9,1,41.25
1,2.0,16.0,30.0,1.0,0,
1,2.0,16.0,120.0,0.5,1,11.2502
1,2.0,16.0,120.0,0.9,1,41.25
1,2.0,16.0,120.0,1.0,0,
2,0.5,4.0,10.0,0.5,1,15.5461
2,0.5,4.0,10.0,0.9,1,16.0798
2,0.5,4.0,10.0,1.0,1,16.2314
2,0.5,4.0,30.0,0.5,1,15.2508
2,0.5,4.0,30.0,0.9,1,15.4724
2,0.5,4.0,30.0,1.0,1,15.5311
2,0.5,4.0,120.0,0.5,1,15.0762
2,0.5,4.0,120.0,0.9,1,15.1391
2,0.5,4.0,120.0,1.0,1,15.1551
2,0.5,16.0,10.0,0.5,1,4.0254
2,0.5,16.0,10.0,0.9,1,4.3456
2,0.5,16.0,10.0,1.0,1,4.4503
2,0.5,16.0,30.0,0.5,1,3.9123
2,0.5,16.0,30.0,0.9,1,4.0762
2,0.5,16.0,30.0,1.0,1,4.124
2,0.5,16.0,120.0,0.5,1,3.8127
2,0.5,16.0,120.0,0.9,1,3.8681
2,0.5,16.0,120.0,1.0,1,3.8828
2,0.8,4.0,10.0,0.5,1,26.2693
2,0.8,4.0,10.0,0.9,1,29.5322
