plan_name,plan,window_hours,timing,fluid_R,repeat_per_100,slope,relax_days,recovery_days,max_dh_step,n_roots_grid,bistable
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,profile,0.675,0.28,0.0443,1.05,5,-0.2494,1,False
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,opening,0.939,0.39,0.329,1.49,19,-0.0967,1,False
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,profile,2.878,1.2,0.279,1.39,7,-0.2494,1,False
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,3.901,1.63,0.5444,2.2,30,-0.0886,1,False
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,profile,8.436,3.51,0.4581,1.85,12,-0.2172,1,False
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,opening,48.218,20.09,0.962,26.31,93,-0.0588,1,False
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,profile,34.255,14.27,0.7909,4.78,28,-0.214,1,False
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,opening,9124.98,3802.08,0.9999,9677.33,2000,-0.0169,0,False
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,profile,528.932,220.39,0.9819,55.18,133,-0.1877,1,False
phi=0.80,"[6, 10, 7, 5, 4, 7, 10, 7]",56,opening,inf,inf,1.0,inf,,-0.0103,0,False
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,profile,350.079,145.87,0.9761,41.77,102,-0.1877,1,False
late plan,"[6, 10, 8, 5, 4, 7, 10, 7]",57,opening,inf,inf,1.0,inf,,-0.0112,0,False
