plan_name,plan,window_hours,timing,R,L,h,h_low,h_high,dh,dh_low,dh_high,sim_R,n_roots,significant_rises
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,profile,0.0,14.693,14.693,13.918,15.467,nan,nan,nan,23.919,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,profile,12.0,18.977,6.977,6.05,7.905,-7.715,-8.1055,-7.3245,23.919,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,profile,24.0,23.953,-0.047,-1.127,1.032,-7.025,-7.4668,-6.5832,23.919,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,profile,48.0,35.38,-12.62,-13.951,-11.289,-12.5725,-13.2062,-11.9388,23.919,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,profile,84.0,56.995,-27.005,-28.711,-25.299,-14.385,-15.3112,-13.4588,23.919,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,profile,120.0,83.635,-36.365,-38.366,-34.364,-9.36,-10.3361,-8.3839,23.919,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,profile,180.0,135.452,-44.548,-46.865,-42.23,-8.1825,-9.4238,-6.9412,23.919,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,profile,240.0,191.058,-48.942,-51.454,-46.431,-4.395,-5.6795,-3.1105,23.919,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,profile,360.0,305.57,-54.43,-57.22,-51.64,-5.4875,-7.2903,-3.6847,23.919,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,profile,480.0,423.043,-56.957,-59.827,-54.088,-2.5275,-4.3845,-0.6705,23.919,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,profile,720.0,657.972,-62.028,-65.524,-58.531,-5.07,-7.5431,-2.5969,23.919,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,opening,0.0,14.693,14.693,13.918,15.467,nan,nan,nan,72.088,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,opening,12.0,20.735,8.735,7.795,9.675,-5.9575,-6.4551,-5.4599,72.088,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,opening,24.0,29.282,5.282,4.236,6.329,-3.4525,-4.0241,-2.8809,72.088,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,opening,48.0,49.83,1.83,0.561,3.099,-3.4525,-4.2173,-2.6877,72.088,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,opening,84.0,83.095,-0.905,-2.334,0.524,-2.735,-3.5146,-1.9554,72.088,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,opening,120.0,118.222,-1.778,-3.427,-0.128,-0.8725,-1.7254,-0.0196,72.088,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,opening,180.0,176.1,-3.9,-5.783,-2.017,-2.1225,-3.1945,-1.0505,72.088,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,opening,240.0,235.375,-4.625,-6.603,-2.647,-0.725,-1.6932,0.2432,72.088,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,opening,360.0,353.645,-6.355,-8.61,-4.1,-1.73,-3.0916,-0.3684,72.088,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,opening,480.0,471.98,-8.02,-10.514,-5.526,-1.665,-2.9673,-0.3627,72.088,1,0
phi=1.00,"[8, 13, 9, 6, 5, 9, 12, 9]",71,opening,720.0,709.668,-10.332,-13.159,-7.506,-2.3125,-3.9761,-0.6489,72.088,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,profile,0.0,17.973,17.973,17.08,18.865,nan,nan,nan,34.154,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,profile,12.0,23.05,11.05,10.005,12.095,-6.9225,-7.3296,-6.5154,34.154,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,profile,24.0,28.86,4.86,3.649,6.071,-6.19,-6.6402,-5.7398,34.154,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,profile,48.0,41.373,-6.627,-8.047,-5.208,-11.4875,-12.1345,-10.8405,34.154,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,profile,84.0,64.897,-19.103,-20.894,-17.311,-12.475,-13.4584,-11.4916,34.154,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,profile,120.0,91.987,-28.013,-30.082,-25.943,-8.91,-9.9001,-7.9199,34.154,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,profile,180.0,144.347,-35.653,-37.966,-33.339,-7.64,-8.9016,-6.3784,34.154,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,profile,240.0,200.577,-39.423,-41.953,-36.892,-3.77,-5.0685,-2.4715,34.154,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,profile,360.0,315.01,-44.99,-47.752,-42.228,-5.5675,-7.3653,-3.7697,34.154,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,profile,480.0,432.712,-47.288,-50.174,-44.401,-2.2975,-4.1123,-0.4827,34.154,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,profile,720.0,667.067,-52.933,-56.386,-49.479,-5.645,-8.1302,-3.1598,34.154,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,0.0,17.973,17.973,17.08,18.865,nan,nan,nan,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,12.0,24.457,12.457,11.4,13.515,-5.515,-6.0203,-5.0097,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,24.0,33.697,9.697,8.556,10.839,-2.76,-3.41,-2.11,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,48.0,54.578,6.578,5.226,7.929,-3.12,-3.9554,-2.2846,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,84.0,88.368,4.368,2.879,5.856,-2.21,-3.0754,-1.3446,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,120.0,123.87,3.87,2.158,5.582,-0.4975,-1.3621,0.3671,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,180.0,181.725,1.725,-0.189,3.639,-2.145,-3.2866,-1.0034,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,240.0,241.32,1.32,-0.706,3.346,-0.405,-1.4305,0.6205,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,360.0,359.748,-0.252,-2.507,2.002,-1.5725,-2.9715,-0.1735,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,480.0,477.905,-2.095,-4.635,0.445,-1.8425,-3.2012,-0.4838,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,720.0,715.942,-4.058,-6.884,-1.231,-1.9625,-3.6682,-0.2568,340.731,1,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,profile,0.0,23.245,23.245,22.205,24.285,nan,nan,nan,54.972,1,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,profile,12.0,28.933,16.933,15.744,18.121,-6.3125,-6.7448,-5.8802,54.972,1,0
