office,patience,plan_type,estimator,days,reps,G15_true,bias,sd,rmse,slope
office,exp30,lean,npmle,10,200,0.3935,-0.00016,0.06784,0.06767,-0.371
office,exp30,lean,exp_mle,10,200,0.3935,0.0002,0.03169,0.03161,-0.522
office,exp30,lean,npmle,30,200,0.3935,0.00041,0.04535,0.04524,-0.371
office,exp30,lean,exp_mle,30,200,0.3935,0.00067,0.01909,0.01905,-0.522
office,exp30,lean,npmle,100,200,0.3935,0.00179,0.03086,0.03084,-0.371
office,exp30,lean,exp_mle,100,200,0.3935,0.0006,0.00995,0.00994,-0.522
office,exp30,lean,npmle,300,200,0.3935,-0.00035,0.02036,0.02032,-0.371
office,exp30,lean,exp_mle,300,200,0.3935,-0.00027,0.00568,0.00567,-0.522
office,exp30,lean,npmle,1000,200,0.3935,0.00051,0.01195,0.01193,-0.371
office,exp30,lean,exp_mle,1000,200,0.3935,-0.00022,0.00288,0.00288,-0.522
R8_S16_A0.6,exp30,citizen,npmle,10,200,0.3935,0.02461,0.08625,0.08948,-0.388
R8_S16_A0.6,exp30,citizen,exp_mle,10,200,0.3935,0.00153,0.02684,0.02681,-0.491
R8_S16_A0.6,exp30,citizen,npmle,30,200,0.3935,0.00621,0.04857,0.04885,-0.388
R8_S16_A0.6,exp30,citizen,exp_mle,30,200,0.3935,-0.00156,0.01434,0.01439,-0.491
R8_S16_A0.6,exp30,citizen,npmle,100,200,0.3935,0.00655,0.0306,0.03122,-0.388
R8_S16_A0.6,exp30,citizen,exp_mle,100,200,0.3935,-0.00099,0.00748,0.00753,-0.491
R8_S16_A0.6,exp30,citizen,npmle,300,200,0.3935,0.00155,0.02055,0.02055,-0.388
R8_S16_A0.6,exp30,citizen,exp_mle,300,200,0.3935,-0.00085,0.00451,0.00458,-0.491
R8_S16_A0.6,exp30,citizen,npmle,1000,200,0.3935,-0.00017,0.01481,0.01477,-0.388
R8_S16_A0.6,exp30,citizen,exp_mle,1000,200,0.3935,-0.00099,0.00264,0.00281,-0.491
