office,patience,plan_type,staff_hours,days,reps,correct
office,exp30,lean,16,5,200,0.755
office,exp30,lean,16,10,200,0.79
office,exp30,lean,16,20,200,0.845
office,exp30,lean,16,30,200,0.78
office,exp30,lean,16,45,200,0.915
office,exp30,lean,16,60,200,0.92
office,exp30,lean,16,90,200,0.94
office,exp30,lean,16,120,200,0.96
office,exp30,lean,16,180,200,1.0
office,exp30,lean,16,250,200,0.995
office,exp30,lean,16,365,200,1.0
office,exp30,lean,16,500,200,1.0
office,exp30,citizen,22,5,200,0.815
office,exp30,citizen,22,10,200,0.825
office,exp30,citizen,22,20,200,0.79
office,exp30,citizen,22,30,200,0.795
office,exp30,citizen,22,45,200,0.845
office,exp30,citizen,22,60,200,0.82
office,exp30,citizen,22,90,200,0.87
office,exp30,citizen,22,120,200,0.855
office,exp30,citizen,22,180,200,0.91
office,exp30,citizen,22,250,200,0.945
office,exp30,citizen,22,365,200,0.95
office,exp30,citizen,22,500,200,0.975
office,logn30,lean,18,5,200,0.985
office,logn30,lean,18,10,200,1.0
office,logn30,lean,18,20,200,1.0
office,logn30,lean,18,30,200,1.0
office,logn30,lean,18,45,200,1.0
office,logn30,lean,18,60,200,1.0
office,logn30,lean,18,90,200,1.0
office,logn30,lean,18,120,200,1.0
office,logn30,lean,18,180,200,1.0
office,logn30,lean,18,250,200,1.0
office,logn30,lean,18,365,200,1.0
office,logn30,lean,18,500,200,1.0
office,logn30,citizen,20,5,200,0.95
office,logn30,citizen,20,10,200,1.0
office,logn30,citizen,20,20,200,1.0
office,logn30,citizen,20,30,200,1.0
office,logn30,citizen,20,45,200,1.0
office,logn30,citizen,20,60,200,1.0
office,logn30,citizen,20,90,200,1.0
office,logn30,citizen,20,120,200,1.0
office,logn30,citizen,20,180,200,1.0
office,logn30,citizen,20,250,200,1.0
office,logn30,citizen,20,365,200,1.0
office,logn30,citizen,20,500,200,1.0
R8_S16_A0.6,exp30,lean,57,5,200,0.79
R8_S16_A0.6,exp30,lean,57,10,200,0.85
R8_S16_A0.6,exp30,lean,57,20,200,0.875
R8_S16_A0.6,exp30,lean,57,30,200,0.89
R8_S16_A0.6,exp30,lean,57,45,200,0.97
R8_S16_A0.6,exp30,lean,57,60,200,0.98
R8_S16_A0.6,exp30,lean,57,90,200,0.995
R8_S16_A0.6,exp30,lean,57,120,200,0.995
R8_S16_A0.6,exp30,lean,57,180,200,1.0
R8_S16_A0.6,exp30,lean,57,250,200,1.0
R8_S16_A0.6,exp30,lean,57,365,200,1.0
R8_S16_A0.6,exp30,lean,57,500,200,1.0
R8_S16_A0.6,exp30,citizen,71,5,200,0.84
R8_S16_A0.6,exp30,citizen,71,10,200,0.795
R8_S16_A0.6,exp30,citizen,71,20,200,0.84
R8_S16_A0.6,exp30,citizen,71,30,200,0.89
R8_S16_A0.6,exp30,citizen,71,45,200,0.93
R8_S16_A0.6,exp30,citizen,71,60,200,0.935
R8_S16_A0.6,exp30,citizen,71,90,200,0.955
R8_S16_A0.6,exp30,citizen,71,120,200,0.965
R8_S16_A0.6,exp30,citizen,71,180,200,0.99
R8_S16_A0.6,exp30,citizen,71,250,200,1.0
R8_S16_A0.6,exp30,citizen,71,365,200,0.995
R8_S16_A0.6,exp30,citizen,71,500,200,1.0
R8_S16_A0.6,logn30,lean,69,5,200,1.0
R8_S16_A0.6,logn30,lean,69,10,200,1.0
R8_S16_A0.6,logn30,lean,69,20,200,1.0
R8_S16_A0.6,logn30,lean,69,30,200,1.0
R8_S16_A0.6,logn30,lean,69,45,200,1.0
R8_S16_A0.6,logn30,lean,69,60,200,1.0
R8_S16_A0.6,logn30,lean,69,90,200,1.0
R8_S16_A0.6,logn30,lean,69,120,200,1.0
R8_S16_A0.6,logn30,lean,69,180,200,1.0
R8_S16_A0.6,logn30,lean,69,250,200,1.0
R8_S16_A0.6,logn30,lean,69,365,200,1.0
R8_S16_A0.6,logn30,lean,69,500,200,1.0
R8_S16_A0.6,logn30,citizen,72,5,200,0.99
R8_S16_A0.6,logn30,citizen,72,10,200,1.0
R8_S16_A0.6,logn30,citizen,72,20,200,1.0
R8_S16_A0.6,logn30,citizen,72,30,200,1.0
R8_S16_A0.6,logn30,citizen,72,45,200,1.0
R8_S16_A0.6,logn30,citizen,72,60,200,1.0
R8_S16_A0.6,logn30,citizen,72,90,200,1.0
R8_S16_A0.6,logn30,citizen,72,120,200,1.0
R8_S16_A0.6,logn30,citizen,72,180,200,1.0
R8_S16_A0.6,logn30,citizen,72,250,200,1.0
R8_S16_A0.6,logn30,citizen,72,365,200,1.0
R8_S16_A0.6,logn30,citizen,72,500,200,1.0
