route,block,fitted_mean,plan,staff_hours,fail_misses,worst_fail
"exp CS-MLE, 60 days",0,151.12,"[11, 14, 8, 6, 6, 11, 13, 8]",77,0,0.0919
"exp CS-MLE, 60 days",1,216.43,"[11, 15, 8, 6, 6, 11, 13, 8]",78,0,0.0893
"exp CS-MLE, 60 days",2,207.51,"[11, 14, 8, 6, 6, 11, 13, 8]",77,0,0.0919
"exp CS-MLE, 60 days",3,175.75,"[11, 14, 8, 6, 6, 11, 13, 8]",77,0,0.0919
"exp CS-MLE, 60 days",4,195.21,"[11, 14, 8, 6, 6, 11, 13, 8]",77,0,0.0919
"exp CS-MLE, 60 days",5,240.03,"[11, 15, 8, 6, 6, 11, 13, 8]",78,0,0.0893
"exp CS-MLE, 60 days",6,176.88,"[11, 14, 8, 6, 6, 11, 13, 8]",77,0,0.0919
"exp CS-MLE, 60 days",7,203.71,"[11, 14, 8, 6, 6, 11, 13, 8]",77,0,0.0919
"exp CS-MLE, 60 days",8,231.55,"[11, 15, 8, 6, 6, 11, 13, 8]",78,0,0.0893
"exp CS-MLE, 60 days",9,217.61,"[11, 15, 8, 6, 6, 11, 13, 8]",78,0,0.0893
"exp CS-MLE, 60 days",10,199.84,"[11, 14, 8, 6, 6, 11, 13, 8]",77,0,0.0919
"exp CS-MLE, 60 days",11,195.99,"[11, 14, 8, 6, 6, 11, 13, 8]",77,0,0.0919
"exp CS-MLE, 60 days",12,195.81,"[11, 14, 8, 6, 6, 11, 13, 8]",77,0,0.0919
"exp CS-MLE, 60 days",13,237.03,"[11, 15, 8, 6, 6, 11, 13, 8]",78,0,0.0893
"exp CS-MLE, 60 days",14,184.44,"[11, 14, 8, 6, 6, 11, 13, 8]",77,0,0.0919
"exp CS-MLE, 60 days",15,182.47,"[11, 14, 8, 6, 6, 11, 13, 8]",77,0,0.0919
"exp CS-MLE, 60 days",16,199.91,"[11, 14, 8, 6, 6, 11, 13, 8]",77,0,0.0919
"exp CS-MLE, 60 days",17,190.16,"[11, 14, 8, 6, 6, 11, 13, 8]",77,0,0.0919
"exp CS-MLE, 60 days",18,185.21,"[11, 14, 8, 6, 6, 11, 13, 8]",77,0,0.0919
"exp CS-MLE, 60 days",19,198.96,"[11, 14, 8, 6, 6, 11, 13, 8]",77,0,0.0919
mean-matched (true mean 30),,30.0,"[10, 13, 8, 6, 6, 10, 12, 8]",73,2,0.1313
