part,office,alpha,patience,rule,start,p,phi,start_hours,fixed_point,fixed_hours,oracle_hours,fitted_mean,path_hours,paid_hours_per_day,failures_per_day,oracle_failures_per_day,first_refit_30d_mean,first_refit_30d_sd
starts,office,0.1,exp30,A,Erlang-C SIPP,0.0,,22,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,30.0,"[22, 22]",,,,,
starts,office,0.1,exp30,A,SGS-UCB (late),0.0,,16,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,30.0,"[16, 22, 22]",,,,,
starts,office,0.1,exp30,A,SIPP-A (fail),0.0,,22,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,30.0,"[22, 22]",,,,,
starts,office,0.1,exp30,A,SGS-UCB (fail),0.0,,22,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,30.0,"[22, 22]",,,,,
starts,office,0.1,exp30,B,Erlang-C SIPP,0.0,,22,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,30.0,"[22, 22]",,,,,
starts,office,0.1,exp30,B,SGS-UCB (late),0.0,,16,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,30.0,"[16, 22, 22]",,,,,
starts,office,0.1,exp30,B,SIPP-A (fail),0.0,,22,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,30.0,"[22, 22]",,,,,
starts,office,0.1,exp30,B,SGS-UCB (fail),0.0,,22,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,30.0,"[22, 22]",,,,,
starts,office,0.1,logn30,A,Erlang-C SIPP,0.0,,22,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,200.3,"[22, 22]",,,,,
starts,office,0.1,logn30,A,SGS-UCB (late),0.0,,18,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,200.3,"[18, 22, 22]",,,,,
starts,office,0.1,logn30,A,SGS-UCB (fail),0.0,,20,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,200.3,"[20, 22, 22]",,,,,
starts,office,0.1,logn30,A,SIPP-A (fail),0.0,,22,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,200.3,"[22, 22]",,,,,
starts,office,0.1,logn30,B,Erlang-C SIPP,0.0,,22,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,30.0,"[22, 22]",,,,,
starts,office,0.1,logn30,B,SGS-UCB (late),0.0,,18,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,30.0,"[18, 22, 22]",,,,,
starts,office,0.1,logn30,B,SGS-UCB (fail),0.0,,20,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,30.0,"[20, 22, 22]",,,,,
starts,office,0.1,logn30,B,SIPP-A (fail),0.0,,22,"[3, 3, 3, 2, 2, 3, 3, 3]",22,22,30.0,"[22, 22]",,,,,
starts,R8_S16_A0.6,0.1,exp30,A,Erlang-C SIPP,0.0,,81,"[10, 13, 8, 6, 6, 10, 12, 8]",73,73,30.0,"[81, 73, 73]",,,,,
starts,R8_S16_A0.6,0.1,exp30,A,SGS-UCB (late),0.0,,57,"[10, 13, 8, 6, 6, 10, 12, 8]",73,73,30.0,"[57, 73, 73]",,,,,
