office,alpha,patience,rule,explore,history,period,hours_run,new_hours,new_plan,failures_per_day,paid_hours_per_day,fitted_family,fitted_mean,fitted_cv,oracle_hours
R8,0.1,exp30,A,False,0,1,81,73,"[10, 13, 8, 6, 6, 10, 12, 8]",6.07,81.0,exp,32.1,1.0,73
R8,0.1,exp30,A,False,0,2,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",15.03,73.0,exp,30.5,1.0,73
R8,0.1,exp30,A,False,0,3,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",14.67,73.0,exp,30.7,1.0,73
R8,0.1,exp30,A,False,0,4,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",17.37,73.0,exp,30.9,1.0,73
R8,0.1,exp30,A,False,0,5,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",15.87,73.0,exp,31.1,1.0,73
R8,0.1,exp30,A,False,0,6,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",13.83,73.0,exp,30.9,1.0,73
R8,0.1,exp30,A,False,0,7,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",13.1,73.0,exp,30.9,1.0,73
R8,0.1,exp30,A,False,0,8,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",14.47,73.0,exp,30.6,1.0,73
R8,0.1,exp30,A,False,1,1,81,73,"[10, 13, 8, 6, 6, 10, 12, 8]",6.47,81.0,exp,32.3,1.0,73
R8,0.1,exp30,A,False,1,2,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",19.37,73.0,exp,31.8,1.0,73
R8,0.1,exp30,A,False,1,3,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",14.63,73.0,exp,31.0,1.0,73
R8,0.1,exp30,A,False,1,4,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",14.63,73.0,exp,31.0,1.0,73
R8,0.1,exp30,A,False,1,5,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",14.13,73.0,exp,30.8,1.0,73
R8,0.1,exp30,A,False,1,6,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",16.73,73.0,exp,30.5,1.0,73
R8,0.1,exp30,A,False,1,7,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",15.53,73.0,exp,30.5,1.0,73
R8,0.1,exp30,A,False,1,8,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",14.53,73.0,exp,30.8,1.0,73
R8,0.1,exp30,A,False,2,1,81,73,"[10, 13, 8, 6, 6, 10, 12, 8]",7.67,81.0,exp,28.5,1.0,73
R8,0.1,exp30,A,False,2,2,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",13.23,73.0,exp,28.7,1.0,73
R8,0.1,exp30,A,False,2,3,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",14.03,73.0,exp,30.3,1.0,73
R8,0.1,exp30,A,False,2,4,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",13.6,73.0,exp,30.5,1.0,73
R8,0.1,exp30,A,False,2,5,73,73,"[10, 13, 8, 6, 6, 10, 12, 8]",17.4,73.0,exp,30.4,1.0,73
