office,alpha,patience,rule,explore,oracle_hours,start_hours,first_refit_mean,first_within,final_mean,final_min,final_max,final_within,max_rise,mean_path,failures_per_day,paid_hours_per_day,final_fitted_mean,final_family_lognormal,final_safe,final_worst_fail
R8,0.1,exp30,A,False,73,81,73.0,10,73.0,73,73,10,0.0,"[73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0]",14.06,74.0,30.4,0,10,0.0941
R8,0.1,exp30,B,False,73,81,73.1,10,73.0,73,73,10,0.0,"[73.1, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0]",14.04,74.01,30.4,0,10,0.0941
R8,0.1,exp30,A,True,73,81,73.0,10,73.0,73,73,10,0.0,"[73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0, 73.0]",15.14,73.2,30.4,0,10,0.0941
R8,0.1,logn30,A,False,77,81,79.0,10,77.2,77,78,10,0.0,"[79.0, 78.2, 77.9, 77.6, 77.4, 77.4, 77.4, 77.2]",7.96,78.24,197.1,0,10,0.0919
R8,0.1,logn30,B,False,77,81,76.2,10,76.4,75,77,10,0.4,"[76.2, 76.4, 76.0, 76.4, 76.2, 76.6, 76.2, 76.4]",9.1,76.88,29.4,10,10,0.0943
R8,0.1,logn30,A,True,77,81,78.7,10,77.1,77,78,10,0.0,"[78.7, 77.9, 77.7, 77.4, 77.2, 77.1, 77.1, 77.1]",9.52,77.21,180.2,0,10,0.0919
R8,0.2,exp30,A,False,65,78,65.0,10,65.0,65,65,10,0.0,"[65.0, 65.0, 65.0, 65.0, 65.0, 65.0, 65.0, 65.0]",24.81,66.62,30.2,0,10,0.1705
R8,0.2,exp30,B,False,65,78,65.0,10,65.0,65,65,10,0.0,"[65.0, 65.0, 65.0, 65.0, 65.0, 65.0, 65.0, 65.0]",24.81,66.62,30.2,0,10,0.1705
R8,0.2,exp30,A,True,65,78,65.0,10,65.0,65,65,10,0.0,"[65.0, 65.0, 65.0, 65.0, 65.0, 65.0, 65.0, 65.0]",26.62,65.83,30.2,0,10,0.1705
R8,0.2,logn30,A,False,69,78,72.7,3,72.1,72,73,0,0.1,"[72.7, 72.2, 72.3, 72.1, 72.0, 72.0, 72.0, 72.1]",14.3,72.91,159.3,0,10,0.1512
R8,0.2,logn30,B,False,69,78,69.2,10,69.0,69,69,10,0.0,"[69.2, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0, 69.0]",21.95,70.15,30.0,10,10,0.2181
R8,0.2,logn30,A,True,69,78,72.6,4,71.7,71,72,3,0.1,"[72.6, 71.8, 71.9, 71.8, 71.7, 71.7, 71.7, 71.7]",17.09,71.85,145.5,0,10,0.1632
R32,0.1,exp30,A,False,242,277,242.0,10,242.0,242,242,10,0.0,"[242.0, 242.0, 242.0, 242.0, 242.0, 242.0, 242.0, 242.0]",57.19,246.38,30.0,0,0,0.1207
R32,0.1,exp30,B,False,242,277,242.0,10,242.0,242,242,10,0.0,"[242.0, 242.0, 242.0, 242.0, 242.0, 242.0, 242.0, 242.0]",57.19,246.38,30.0,0,0,0.1207
R32,0.1,exp30,A,True,242,277,242.0,10,242.0,242,242,10,0.0,"[242.0, 242.0, 242.0, 242.0, 242.0, 242.0, 242.0, 242.0]",63.5,243.84,30.0,0,0,0.1207
R32,0.1,logn30,A,False,261,277,270.0,0,267.1,267,268,0,0.0,"[270.0, 268.8, 268.3, 268.0, 267.7, 267.7, 267.3, 267.1]",15.68,269.35,368.3,0,10,0.0913
R32,0.1,logn30,B,False,261,277,260.1,10,260.4,259,261,10,0.6,"[260.1, 260.7, 260.1, 260.2, 260.6, 260.4, 260.4, 260.4]",27.62,262.44,30.2,10,0,0.1258
R32,0.1,logn30,A,True,261,277,267.7,2,265.2,265,267,0,0.2,"[267.7, 266.7, 266.0, 265.8, 265.6, 265.8, 265.8, 265.2]",27.04,264.75,276.2,0,10,0.0913
R32,0.2,exp30,A,False,214,269,214.0,10,214.0,214,214,10,0.0,"[214.0, 214.0, 214.0, 214.0, 214.0, 214.0, 214.0, 214.0]",124.58,220.88,30.1,0,0,0.2658
R32,0.2,exp30,B,False,214,269,214.0,10,214.0,214,214,10,0.0,"[214.0, 214.0, 214.0, 214.0, 214.0, 214.0, 214.0, 214.0]",124.58,220.88,30.1,0,0,0.2658
R32,0.2,exp30,A,True,214,269,214.0,10,214.0,214,214,10,0.0,"[214.0, 214.0, 214.0, 214.0, 214.0, 214.0, 214.0, 214.0]",133.32,218.78,30.1,0,0,0.2658
R32,0.2,logn30,A,False,250,269,261.9,0,260.4,257,261,0,0.3,"[261.9, 260.6, 260.9, 260.7, 260.5, 260.6, 260.5, 260.4]",27.94,261.84,291.9,0,10,0.1701
R32,0.2,logn30,B,False,250,269,249.2,10,249.5,249,250,10,0.4,"[249.2, 249.6, 249.5, 249.4, 249.4, 249.4, 249.5, 249.5]",58.05,251.88,30.0,10,0,0.237
R32,0.2,logn30,A,True,250,269,259.4,0,255.8,255,256,0,-0.1,"[259.4, 258.8, 257.4, 256.7, 256.4, 256.2, 255.9, 255.8]",49.47,255.93,217.2,0,10,0.1802
