office,alpha,patience,history,period,hours_run,new_hours,new_plan,failures_per_day,fitted_family,fitted_mean,fitted_cv
R8,0.1,exp30,0,1,81,71,"[8, 12, 9, 6, 6, 9, 12, 9]",6.2,exp,30.9,1.0
R8,0.1,exp30,0,2,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",15.33,exp,29.8,1.0
R8,0.1,exp30,0,3,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",17.93,exp,31.3,1.0
R8,0.1,exp30,0,4,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",14.1,exp,30.7,1.0
R8,0.1,exp30,0,5,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",17.7,exp,30.4,1.0
R8,0.1,exp30,0,6,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",21.0,exp,30.0,1.0
R8,0.1,exp30,0,7,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",17.33,exp,29.5,1.0
R8,0.1,exp30,0,8,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",14.1,exp,29.6,1.0
R8,0.1,exp30,1,1,81,71,"[8, 12, 9, 6, 6, 9, 12, 9]",7.2,exp,28.0,1.0
R8,0.1,exp30,1,2,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",19.23,exp,30.8,1.0
R8,0.1,exp30,1,3,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",18.37,exp,29.8,1.0
R8,0.1,exp30,1,4,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",18.0,exp,29.7,1.0
R8,0.1,exp30,1,5,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",18.8,exp,29.6,1.0
R8,0.1,exp30,1,6,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",17.43,exp,29.5,1.0
R8,0.1,exp30,1,7,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",20.23,exp,29.6,1.0
R8,0.1,exp30,1,8,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",18.37,exp,29.5,1.0
R8,0.1,exp30,2,1,81,72,"[8, 13, 9, 6, 6, 9, 12, 9]",6.77,exp,25.9,1.0
R8,0.1,exp30,2,2,72,71,"[8, 12, 9, 6, 6, 9, 12, 9]",12.7,exp,29.7,1.0
R8,0.1,exp30,2,3,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",16.97,exp,30.1,1.0
R8,0.1,exp30,2,4,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",14.6,exp,29.6,1.0
R8,0.1,exp30,2,5,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",16.23,exp,30.3,1.0
R8,0.1,exp30,2,6,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",18.5,exp,30.2,1.0
R8,0.1,exp30,2,7,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",19.73,exp,30.1,1.0
R8,0.1,exp30,2,8,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",19.6,exp,29.9,1.0
R8,0.1,exp30,3,1,81,72,"[8, 13, 9, 6, 6, 9, 12, 9]",8.4,lognormal,494.5,11.42
R8,0.1,exp30,3,2,72,72,"[8, 13, 9, 6, 6, 9, 12, 9]",18.0,lognormal,186.8,5.875
R8,0.1,exp30,3,3,72,71,"[8, 12, 9, 6, 6, 9, 12, 9]",13.17,exp,29.3,1.0
R8,0.1,exp30,3,4,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",21.33,exp,28.9,1.0
R8,0.1,exp30,3,5,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",19.57,exp,29.1,1.0
R8,0.1,exp30,3,6,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",16.07,exp,29.3,1.0
R8,0.1,exp30,3,7,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",15.83,exp,29.4,1.0
R8,0.1,exp30,3,8,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",16.97,exp,29.7,1.0
R8,0.1,exp30,4,1,81,71,"[8, 12, 9, 6, 6, 9, 12, 9]",6.37,exp,29.1,1.0
R8,0.1,exp30,4,2,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",18.07,exp,29.8,1.0
R8,0.1,exp30,4,3,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",19.37,exp,30.3,1.0
R8,0.1,exp30,4,4,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",18.47,exp,30.3,1.0
R8,0.1,exp30,4,5,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",18.57,exp,30.4,1.0
R8,0.1,exp30,4,6,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",18.67,exp,30.6,1.0
R8,0.1,exp30,4,7,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",17.03,exp,30.5,1.0
R8,0.1,exp30,4,8,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",15.57,exp,30.5,1.0
R8,0.1,exp30,5,1,81,72,"[8, 13, 9, 6, 6, 9, 12, 9]",7.67,exp,33.2,1.0
R8,0.1,exp30,5,2,72,71,"[8, 12, 9, 6, 6, 9, 12, 9]",16.93,exp,29.6,1.0
R8,0.1,exp30,5,3,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",20.03,exp,30.0,1.0
R8,0.1,exp30,5,4,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",19.07,exp,30.6,1.0
R8,0.1,exp30,5,5,71,71,"[8, 12, 9, 6, 6, 9, 12, 9]",15.53,exp,30.4,1.0
