office,patience,plan_type,staff_hours,regime,overall_fail,failures_per_day,worst_fail,fail_misses,overall_abandon,left_per_day,balked_per_day,wasted_min_per_day,mean_wait_served,lost_min_per_arrival,arrivals_per_day
office,exp30,lean,16,H,0.15394,13.683,0.2422,6,0.11372,10.108,0.0,59.78,3.1,3.42,88.88
office,exp30,lean,16,T,0.17012,15.121,0.2581,6,0.13495,11.995,10.285,20.21,2.81,2.658,88.88
office,exp30,lean,16,C,0.16984,15.096,0.2581,6,0.13448,11.953,10.203,20.75,2.823,2.677,88.88
office,exp30,lean,16,L,0.16092,14.303,0.2505,6,0.12313,10.944,4.962,41.51,2.966,3.068,88.88
office,exp30,lean,16,V,0.17803,15.824,0.2747,6,0.12222,10.863,10.863,0.0,3.463,3.04,88.88
office,exp30,citizen,22,H,0.04347,3.864,0.0706,0,0.03792,3.37,0.0,13.34,0.983,1.096,88.88
office,exp30,citizen,22,T,0.0531,4.72,0.0849,0,0.0478,4.249,3.528,5.79,0.92,0.942,88.88
office,exp30,citizen,22,C,0.05296,4.707,0.085,0,0.04764,4.234,3.505,5.89,0.924,0.946,88.88
office,exp30,citizen,22,L,0.04667,4.148,0.0757,0,0.04143,3.682,1.332,10.54,0.955,1.034,88.88
office,exp30,citizen,22,V,0.05074,4.51,0.0849,0,0.04122,3.664,3.664,0.0,1.082,1.038,88.88
office,logn30,lean,18,H,0.06795,6.04,0.1095,0,0.02241,1.992,0.0,31.47,2.998,3.285,88.88
office,logn30,lean,18,T,0.06955,6.182,0.1095,0,0.02943,2.616,1.592,17.73,2.818,2.935,88.88
office,logn30,lean,18,C,0.0695,6.177,0.1098,0,0.02895,2.573,1.533,18.02,2.831,2.952,88.88
office,logn30,lean,18,L,0.07013,6.233,0.112,0,0.02663,2.367,0.755,26.29,2.917,3.135,88.88
office,logn30,lean,18,V,0.07868,6.993,0.1258,1,0.02029,1.803,1.803,0.0,3.273,3.206,88.88
office,logn30,citizen,20,H,0.04524,4.021,0.1095,0,0.01487,1.322,0.0,20.74,2.243,2.443,88.88
office,logn30,citizen,20,T,0.04662,4.144,0.1095,0,0.01935,1.72,1.006,12.17,2.133,2.228,88.88
office,logn30,citizen,20,C,0.04661,4.143,0.1098,0,0.01904,1.692,0.968,12.36,2.141,2.239,88.88
office,logn30,citizen,20,L,0.04694,4.172,0.112,0,0.01797,1.597,0.52,17.43,2.186,2.342,88.88
office,logn30,citizen,20,V,0.05328,4.736,0.1258,1,0.01288,1.145,1.145,0.0,2.454,2.422,88.88
R8_S16_A0.6,exp30,lean,57,H,0.19679,47.248,0.244,8,0.15205,36.505,0.0,195.97,4.365,4.518,240.09
R8_S16_A0.6,exp30,lean,57,T,0.19915,47.814,0.233,8,0.1648,39.568,35.37,43.92,3.699,3.272,240.09
R8_S16_A0.6,exp30,lean,57,C,0.19905,47.791,0.2327,8,0.16452,39.5,35.207,45.12,3.713,3.29,240.09
R8_S16_A0.6,exp30,lean,57,L,0.19927,47.843,0.2378,8,0.1596,38.319,23.898,105.23,4.0,3.8,240.09
R8_S16_A0.6,exp30,lean,57,V,0.21478,51.566,0.2409,8,0.15762,37.844,37.844,0.0,4.408,3.714,240.09
R8_S16_A0.6,exp30,citizen,71,H,0.06876,16.508,0.0838,0,0.06177,14.83,0.0,57.15,1.69,1.824,240.09
R8_S16_A0.6,exp30,citizen,71,T,0.07694,18.472,0.1,0,0.07101,17.048,14.806,16.96,1.504,1.468,240.09
R8_S16_A0.6,exp30,citizen,71,C,0.07679,18.437,0.0999,0,0.07081,17.002,14.732,17.22,1.508,1.473,240.09
R8_S16_A0.6,exp30,citizen,71,L,0.07353,17.655,0.0931,0,0.06702,16.092,8.998,34.8,1.589,1.628,240.09
R8_S16_A0.6,exp30,citizen,71,V,0.07681,18.441,0.1008,0,0.06556,15.74,15.74,0.0,1.743,1.628,240.09
R8_S16_A0.6,logn30,lean,69,H,0.08781,21.083,0.0968,0,0.02619,6.287,0.0,91.74,4.1,4.375,240.09
R8_S16_A0.6,logn30,lean,69,T,0.08148,19.562,0.1137,1,0.03425,8.222,6.048,35.75,3.626,3.65,240.09
R8_S16_A0.6,logn30,lean,69,C,0.08148,19.563,0.1133,1,0.03397,8.155,5.955,36.19,3.637,3.665,240.09
R8_S16_A0.6,logn30,lean,69,L,0.08602,20.653,0.0995,0,0.03085,7.408,3.289,63.57,3.88,4.025,240.09
R8_S16_A0.6,logn30,lean,69,V,0.09551,22.931,0.1196,1,0.02876,6.904,6.904,0.0,4.071,3.954,240.09
R8_S16_A0.6,logn30,citizen,72,H,0.05345,12.833,0.0892,0,0.0164,3.937,0.0,56.07,3.011,3.196,240.09
R8_S16_A0.6,logn30,citizen,72,T,0.05321,12.775,0.1133,1,0.02315,5.559,4.026,24.44,2.699,2.738,240.09
R8_S16_A0.6,logn30,citizen,72,C,0.05325,12.784,0.1129,1,0.02299,5.52,3.972,24.72,2.705,2.745,240.09
R8_S16_A0.6,logn30,citizen,72,L,0.05411,12.992,0.0973,0,0.01993,4.786,1.985,42.01,2.881,2.998,240.09
R8_S16_A0.6,logn30,citizen,72,V,0.06124,14.704,0.1186,1,0.01891,4.539,4.539,0.0,2.989,2.932,240.09
