office,patience,plan_type,contrast,mean,ci_low,ci_high,significant
office,exp30,lean,T-H,1.438,1.309,1.567,True
office,exp30,lean,C-H,1.413,1.288,1.538,True
office,exp30,lean,L-H,0.62,0.536,0.704,True
office,exp30,lean,V-C,0.728,0.575,0.881,True
office,exp30,lean,V-H,2.141,1.954,2.328,True
office,exp30,citizen,T-H,0.856,0.795,0.917,True
office,exp30,citizen,C-H,0.843,0.783,0.903,True
office,exp30,citizen,L-H,0.284,0.243,0.325,True
office,exp30,citizen,V-C,-0.197,-0.259,-0.135,True
office,exp30,citizen,V-H,0.646,0.56,0.732,True
office,logn30,lean,T-H,0.142,0.057,0.227,True
office,logn30,lean,C-H,0.137,0.057,0.217,True
office,logn30,lean,L-H,0.193,0.127,0.259,True
office,logn30,lean,V-C,0.816,0.69,0.942,True
office,logn30,lean,V-H,0.953,0.813,1.093,True
office,logn30,citizen,T-H,0.123,0.058,0.188,True
office,logn30,citizen,C-H,0.122,0.063,0.181,True
office,logn30,citizen,L-H,0.151,0.091,0.211,True
office,logn30,citizen,V-C,0.593,0.481,0.705,True
office,logn30,citizen,V-H,0.715,0.597,0.833,True
R8_S16_A0.6,exp30,lean,T-H,0.566,0.206,0.926,True
R8_S16_A0.6,exp30,lean,C-H,0.543,0.184,0.902,True
R8_S16_A0.6,exp30,lean,L-H,0.595,0.312,0.878,True
R8_S16_A0.6,exp30,lean,V-C,3.775,3.343,4.207,True
R8_S16_A0.6,exp30,lean,V-H,4.318,3.845,4.791,True
R8_S16_A0.6,exp30,citizen,T-H,1.964,1.818,2.11,True
R8_S16_A0.6,exp30,citizen,C-H,1.929,1.783,2.075,True
R8_S16_A0.6,exp30,citizen,L-H,1.147,1.036,1.258,True
R8_S16_A0.6,exp30,citizen,V-C,0.004,-0.173,0.181,False
R8_S16_A0.6,exp30,citizen,V-H,1.933,1.722,2.144,True
R8_S16_A0.6,logn30,lean,T-H,-1.521,-1.92,-1.122,True
R8_S16_A0.6,logn30,lean,C-H,-1.52,-1.918,-1.122,True
R8_S16_A0.6,logn30,lean,L-H,-0.43,-0.697,-0.163,True
R8_S16_A0.6,logn30,lean,V-C,3.368,2.974,3.762,True
R8_S16_A0.6,logn30,lean,V-H,1.848,1.386,2.31,True
R8_S16_A0.6,logn30,citizen,T-H,-0.058,-0.33,0.214,False
R8_S16_A0.6,logn30,citizen,C-H,-0.049,-0.32,0.222,False
R8_S16_A0.6,logn30,citizen,L-H,0.159,-0.03,0.348,False
R8_S16_A0.6,logn30,citizen,V-C,1.92,1.627,2.213,True
R8_S16_A0.6,logn30,citizen,V-H,1.871,1.518,2.224,True
