office,patience,plan_type,staff_hours,regime,fail,failures_per_day,arrivals_per_day,balked_per_day,wasted_min_per_day,lost_min_per_arrival,d_C1,d_C1_lo,d_C1_hi,d_H,d_H_lo,d_H_hi,d_O-M15,d_O-M15_lo,d_O-M15_hi,dfail_sim,dfail_pred
R4_S8_A0.6,exp30,lean,36,H,0.09774,23.467,240.09,0.0,82.94,2.544,,,,0.0,0.0,0.0,2.229,1.952,2.506,0.0,0.0
R4_S8_A0.6,exp30,lean,36,O*1.5,0.10575,25.389,240.09,24.371,0.0,1.661,,,,1.922,1.668,2.176,4.151,3.951,4.351,0.00801,0.00683
R4_S8_A0.6,exp30,lean,36,O*2,0.11396,27.36,240.09,26.972,0.0,1.337,,,,3.893,3.58,4.206,6.122,5.921,6.323,0.01621,0.0157
R4_S8_A0.6,exp30,lean,36,O*3,0.12945,31.079,240.09,30.985,0.0,0.97,,,,7.612,7.252,7.972,9.841,9.605,10.077,0.0317,0.03084
R4_S8_A0.6,exp30,lean,36,O-M5,0.12516,30.05,240.09,30.05,0.0,0.801,,,,6.583,6.186,6.98,8.812,8.527,9.097,0.02742,0.02685
R4_S8_A0.6,exp30,lean,36,O-M10,0.0962,23.096,240.09,23.096,0.0,1.632,,,,-0.371,-0.676,-0.066,1.858,1.707,2.009,-0.00155,-0.00261
R4_S8_A0.6,exp30,lean,36,O-M12.5,0.09128,21.916,240.09,21.916,0.0,1.874,,,,-1.551,-1.833,-1.269,0.678,0.575,0.781,-0.00646,-0.00777
R4_S8_A0.6,exp30,lean,36,O-M15,0.08846,21.238,240.09,21.238,0.0,2.016,,,,-2.229,-2.506,-1.952,0.0,0.0,0.0,-0.00928,-0.01031
R4_S8_A0.6,exp30,lean,36,O-M17.5,0.0938,22.521,240.09,20.94,0.0,2.099,,,,-0.946,-1.109,-0.783,1.283,1.118,1.448,-0.00394,-0.00432
R4_S8_A0.6,exp30,lean,36,O-M20,0.09577,22.994,240.09,20.73,0.0,2.145,,,,-0.473,-0.587,-0.359,1.756,1.543,1.969,-0.00197,-0.00172
R4_S8_A0.6,exp30,lean,36,O-M30,0.09771,23.46,240.09,20.595,0.0,2.195,,,,-0.007,-0.017,0.003,2.222,1.946,2.498,-3e-05,-3e-05
R4_S8_A0.6,exp30,lean,36,C,0.10731,25.764,240.09,19.978,25.56,2.091,,,,2.297,2.145,2.449,4.526,4.231,4.821,0.00957,
R4_S8_A0.6,exp30,lean,36,C0-M5,0.13601,32.656,240.09,25.399,15.52,0.899,-0.718,-0.86,-0.576,9.189,8.776,9.602,11.418,11.107,11.729,0.03827,
R4_S8_A0.6,exp30,lean,36,C1-M5,0.13901,33.374,240.09,31.494,8.45,0.869,,,,9.907,9.505,10.309,12.136,11.834,12.438,0.04126,
R4_S8_A0.6,exp30,lean,36,C0-M10,0.10196,24.479,240.09,8.728,47.15,1.862,-1.447,-1.611,-1.283,1.012,0.712,1.312,3.241,3.042,3.44,0.00422,
R4_S8_A0.6,exp30,lean,36,C1-M10,0.10798,25.926,240.09,22.364,19.43,1.701,,,,2.459,2.163,2.755,4.688,4.482,4.894,0.01024,
R4_S8_A0.6,exp30,lean,36,C0-M12.5,0.09645,23.157,240.09,4.289,60.96,2.178,-2.194,-2.361,-2.027,-0.31,-0.544,-0.076,1.919,1.744,2.094,-0.00129,
R4_S8_A0.6,exp30,lean,36,C1-M12.5,0.10559,25.351,240.09,20.825,22.87,1.924,,,,1.884,1.659,2.109,4.113,3.898,4.328,0.00785,
R4_S8_A0.6,exp30,lean,36,C0-M15,0.09602,23.054,240.09,2.204,70.42,2.353,-2.374,-2.532,-2.216,-0.413,-0.581,-0.245,1.816,1.617,2.015,-0.00172,
R4_S8_A0.6,exp30,lean,36,C1-M15,0.10591,25.428,240.09,20.318,24.64,2.021,,,,1.961,1.776,2.146,4.19,3.952,4.428,0.00817,
R4_S8_A0.6,exp30,lean,36,C0-M17.5,0.09638,23.141,240.09,1.187,75.63,2.439,-2.433,-2.59,-2.276,-0.326,-0.443,-0.209,1.903,1.682,2.124,-0.00136,
R4_S8_A0.6,exp30,lean,36,C1-M17.5,0.10652,25.574,240.09,20.126,25.28,2.06,,,,2.107,1.944,2.27,4.336,4.073,4.599,0.00878,
R4_S8_A0.6,exp30,lean,36,C0-M20,0.09682,23.245,240.09,0.669,78.56,2.483,-2.421,-2.574,-2.268,-0.222,-0.3,-0.144,2.007,1.769,2.245,-0.00092,
R4_S8_A0.6,exp30,lean,36,C1-M20,0.1069,25.666,240.09,20.044,25.44,2.077,,,,2.199,2.044,2.354,4.428,4.146,4.71,0.00916,
R4_S8_A0.6,exp30,lean,36,C0-M30,0.09768,23.451,240.09,0.024,82.73,2.54,-2.314,-2.467,-2.161,-0.016,-0.028,-0.004,2.213,1.94,2.486,-7e-05,
R4_S8_A0.6,exp30,lean,36,C1-M30,0.10731,25.765,240.09,19.981,25.54,2.091,,,,2.298,2.146,2.45,4.527,4.231,4.823,0.00957,
R4_S8_A0.6,exp30,safe,39,H,0.06739,16.18,240.09,0.0,52.5,1.863,,,,0.0,0.0,0.0,0.909,0.758,1.06,0.0,0.0
R4_S8_A0.6,exp30,safe,39,O*1.5,0.07761,18.634,240.09,18.203,0.0,1.28,,,,2.454,2.287,2.621,3.363,3.213,3.513,0.01022,0.00876
R4_S8_A0.6,exp30,safe,39,O*2,0.08642,20.748,240.09,20.554,0.0,1.05,,,,4.568,4.367,4.769,5.477,5.305,5.649,0.01903,0.01736
R4_S8_A0.6,exp30,safe,39,O*3,0.10069,24.176,240.09,24.121,0.0,0.777,,,,7.996,7.75,8.242,8.905,8.695,9.115,0.0333,0.03118
R4_S8_A0.6,exp30,safe,39,O-M5,0.09454,22.698,240.09,22.698,0.0,0.686,,,,6.518,6.235,6.801,7.427,7.177,7.677,0.02715,0.02547
R4_S8_A0.6,exp30,safe,39,O-M10,0.06915,16.602,240.09,16.602,0.0,1.325,,,,0.422,0.243,0.601,1.331,1.218,1.444,0.00176,0.00033
R4_S8_A0.6,exp30,safe,39,O-M12.5,0.06547,15.72,240.09,15.72,0.0,1.483,,,,-0.46,-0.617,-0.303,0.449,0.381,0.517,-0.00192,-0.00363
R4_S8_A0.6,exp30,safe,39,O-M15,0.0636,15.271,240.09,15.271,0.0,1.566,,,,-0.909,-1.06,-0.758,0.0,0.0,0.0,-0.00379,-0.00546
R4_S8_A0.6,exp30,safe,39,O-M17.5,0.06604,15.856,240.09,15.117,0.0,1.605,,,,-0.324,-0.407,-0.241,0.585,0.489,0.681,-0.00135,-0.0022
R4_S8_A0.6,exp30,safe,39,O-M20,0.06686,16.052,240.09,15.036,0.0,1.624,,,,-0.128,-0.178,-0.078,0.781,0.655,0.907,-0.00053,-0.00086
R4_S8_A0.6,exp30,safe,39,O-M30,0.06735,16.169,240.09,14.976,0.0,1.642,,,,-0.011,-0.023,0.001,0.898,0.749,1.047,-5e-05,-2e-05
R4_S8_A0.6,exp30,safe,39,C,0.07608,18.265,240.09,14.819,16.91,1.566,,,,2.085,1.973,2.197,2.994,2.826,3.162,0.00868,
R4_S8_A0.6,exp30,safe,39,C0-M5,0.09962,23.918,240.09,17.388,13.7,0.816,-0.759,-0.872,-0.646,7.738,7.437,8.039,8.647,8.384,8.91,0.03223,
R4_S8_A0.6,exp30,safe,39,C1-M5,0.10278,24.677,240.09,23.069,7.1,0.786,,,,8.497,8.199,8.795,9.406,9.144,9.668,0.03539,
