office,patience,plan_type,regime,false_balks_per_day,ontime_false_balks_per_day,ontime_share
R4_S8_A0.6,exp30,lean,O*1.5,8.261,7.471,0.9043
R4_S8_A0.6,exp30,lean,O*2,15.556,14.175,0.9113
R4_S8_A0.6,exp30,lean,O*3,27.637,25.557,0.9248
R4_S8_A0.6,exp30,lean,O-M5,41.277,38.313,0.9282
R4_S8_A0.6,exp30,lean,O-M10,12.048,9.084,0.754
R4_S8_A0.6,exp30,lean,O-M12.5,6.131,3.167,0.5166
R4_S8_A0.6,exp30,lean,O-M15,2.964,0.0,0.0
R4_S8_A0.6,exp30,lean,O-M17.5,1.425,0.0,0.0
R4_S8_A0.6,exp30,lean,O-M20,0.702,0.0,0.0
R4_S8_A0.6,exp30,lean,O-M30,0.042,0.0,0.0
R4_S8_A0.6,exp30,lean,C,5.08,5.019,0.9878
R4_S8_A0.6,exp30,lean,C0-M5,49.593,46.681,0.9413
R4_S8_A0.6,exp30,lean,C1-M5,51.296,48.385,0.9433
R4_S8_A0.6,exp30,lean,C0-M10,14.877,12.515,0.8412
R4_S8_A0.6,exp30,lean,C1-M10,18.483,16.12,0.8722
R4_S8_A0.6,exp30,lean,C0-M12.5,6.618,4.929,0.7448
R4_S8_A0.6,exp30,lean,C1-M12.5,10.899,9.21,0.845
R4_S8_A0.6,exp30,lean,C0-M15,3.059,1.95,0.6376
R4_S8_A0.6,exp30,lean,C1-M15,7.707,6.598,0.8562
R4_S8_A0.6,exp30,lean,C0-M17.5,1.512,0.803,0.5311
R4_S8_A0.6,exp30,lean,C1-M17.5,6.348,5.635,0.8878
R4_S8_A0.6,exp30,lean,C0-M20,0.786,0.342,0.4345
R4_S8_A0.6,exp30,lean,C1-M20,5.723,5.268,0.9205
R4_S8_A0.6,exp30,lean,C0-M30,0.044,0.005,0.1136
R4_S8_A0.6,exp30,lean,C1-M30,5.112,5.021,0.9824
R4_S8_A0.6,exp30,safe,O*1.5,6.16,5.859,0.9511
R4_S8_A0.6,exp30,safe,O*2,11.694,11.139,0.9525
R4_S8_A0.6,exp30,safe,O*3,21.118,20.257,0.9592
R4_S8_A0.6,exp30,safe,O-M5,29.471,28.197,0.9568
