office,patience,plan_type,quantile,fail,H_fail,oracle_fail,best_count_cutoff,count_fail,share_of_oracle_gain,balked_per_day,lost_min_per_arrival,d_H,d_H_lo,d_H_hi,d_O-M15,d_O-M15_lo,d_O-M15_hi,d_C0best,d_C0best_lo,d_C0best_hi
R4_S8_A0.6,exp30,lean,0.3,0.09746,0.09774,0.08846,15.0,0.09602,0.03,0.192,2.524,-0.067,-0.109,-0.025,2.162,1.9,2.424,0.346,0.192,0.5
R4_S8_A0.6,exp30,lean,0.5,0.09668,0.09774,0.08846,15.0,0.09602,0.115,0.725,2.477,-0.256,-0.356,-0.156,1.973,1.743,2.203,0.157,0.02,0.294
R4_S8_A0.6,exp30,lean,0.7,0.09617,0.09774,0.08846,15.0,0.09602,0.169,1.987,2.374,-0.378,-0.531,-0.225,1.851,1.65,2.052,0.035,-0.092,0.162
R4_S8_A0.6,exp30,safe,0.3,0.06735,0.06739,0.0636,17.5,0.06715,0.011,0.02,1.86,-0.01,-0.022,0.002,0.899,0.75,1.048,0.048,-0.004,0.1
R4_S8_A0.6,exp30,safe,0.5,0.06727,0.06739,0.0636,17.5,0.06715,0.031,0.146,1.851,-0.028,-0.064,0.008,0.881,0.74,1.022,0.03,-0.011,0.071
R4_S8_A0.6,exp30,safe,0.7,0.06713,0.06739,0.0636,17.5,0.06715,0.069,0.621,1.813,-0.063,-0.132,0.006,0.846,0.72,0.972,-0.005,-0.059,0.049
R4_S8_A0.6,logn30,lean,0.3,0.06762,0.07732,0.0348,12.5,0.05801,0.228,2.607,3.775,-2.329,-2.638,-2.02,7.88,7.282,8.478,2.309,1.834,2.784
R4_S8_A0.6,logn30,lean,0.5,0.06092,0.07732,0.0348,12.5,0.05801,0.386,4.687,3.444,-3.939,-4.401,-3.477,6.27,5.802,6.738,0.699,0.347,1.051
R4_S8_A0.6,logn30,lean,0.7,0.05761,0.07732,0.0348,12.5,0.05801,0.464,7.277,3.059,-4.734,-5.311,-4.157,5.475,5.104,5.846,-0.096,-0.349,0.157
R4_S8_A0.6,logn30,safe,0.3,0.03284,0.03539,0.01754,15.0,0.03141,0.143,0.84,2.736,-0.613,-0.772,-0.454,3.673,3.278,4.068,0.344,0.141,0.547
R4_S8_A0.6,logn30,safe,0.5,0.03099,0.03539,0.01754,15.0,0.03141,0.247,1.776,2.599,-1.058,-1.291,-0.825,3.228,2.895,3.561,-0.101,-0.26,0.058
R4_S8_A0.6,logn30,safe,0.7,0.03017,0.03539,0.01754,15.0,0.03141,0.293,3.249,2.397,-1.255,-1.575,-0.935,3.031,2.754,3.308,-0.298,-0.46,-0.136
R4_S8_A0.6,logn30cv15,lean,0.3,0.08975,0.08986,0.08359,17.5,0.08919,0.017,0.07,2.572,-0.025,-0.048,-0.002,1.479,1.279,1.679,0.136,0.048,0.224
R4_S8_A0.6,logn30cv15,lean,0.5,0.08947,0.08986,0.08359,17.5,0.08919,0.062,0.382,2.549,-0.092,-0.144,-0.04,1.412,1.224,1.6,0.069,-0.01,0.148
R4_S8_A0.6,logn30cv15,lean,0.7,0.08935,0.08986,0.08359,17.5,0.08919,0.081,1.352,2.477,-0.121,-0.215,-0.027,1.383,1.207,1.559,0.04,-0.04,0.12
R4_S8_A0.6,logn30cv15,safe,0.3,0.06109,0.06109,0.05861,20.0,0.06099,-0.001,0.0,1.916,0.0,0.0,0.0,0.596,0.483,0.709,0.024,-0.003,0.051
R4_S8_A0.6,logn30cv15,safe,0.5,0.06108,0.06109,0.05861,20.0,0.06099,0.005,0.051,1.912,-0.004,-0.017,0.009,0.592,0.479,0.705,0.02,-0.005,0.045
R4_S8_A0.6,logn30cv15,safe,0.7,0.06111,0.06109,0.05861,20.0,0.06099,-0.006,0.362,1.891,0.003,-0.033,0.039,0.599,0.492,0.706,0.027,-0.004,0.058
R16_S16_A0.6,exp30,lean,0.3,0.13149,0.13366,0.11618,12.5,0.12518,0.124,1.189,3.34,-1.04,-1.286,-0.794,7.351,6.758,7.944,3.03,2.508,3.552
R16_S16_A0.6,exp30,lean,0.5,0.12903,0.13366,0.11618,12.5,0.12518,0.265,3.235,3.239,-2.223,-2.59,-1.856,6.168,5.682,6.654,1.847,1.425,2.269
R16_S16_A0.6,exp30,lean,0.7,0.1266,0.13366,0.11618,12.5,0.12518,0.404,6.684,3.062,-3.391,-3.877,-2.905,5.0,4.606,5.394,0.679,0.343,1.015
R16_S16_A0.6,exp30,safe,0.3,0.07662,0.07668,0.07383,20.0,0.07652,0.022,0.043,2.185,-0.03,-0.053,-0.007,1.339,1.124,1.554,0.047,-0.003,0.097
R16_S16_A0.6,exp30,safe,0.5,0.07655,0.07668,0.07383,20.0,0.07652,0.046,0.19,2.18,-0.063,-0.108,-0.018,1.306,1.099,1.513,0.014,-0.043,0.071
