office,patience,alpha,plan,staffing,staff_hours,regime,overall_fail,worst_fail,fail_misses
R4_S8_A0.6,exp30,0.1,hidden,5-7-5-3-3-5-6-5,39,H,0.06739,0.0947,0
R4_S8_A0.6,exp30,0.1,hidden,5-7-5-3-3-5-6-5,39,O-M15,0.0636,0.0898,0
R4_S8_A0.6,exp30,0.1,hidden,5-7-5-3-3-5-6-5,39,twin,0.06727,0.0944,0
R4_S8_A0.6,exp30,0.1,display,5-7-5-3-3-5-6-5,39,O-M15,0.0636,0.0898,0
R4_S8_A0.6,exp30,0.1,display,5-7-5-3-3-5-6-5,39,twin,0.06727,0.0944,0
R4_S8_A0.6,exp30,0.2,hidden,4-6-4-3-3-4-6-4,34,H,0.12357,0.148,0
R4_S8_A0.6,exp30,0.2,hidden,4-6-4-3-3-4-6-4,34,O-M15,0.10905,0.1331,0
R4_S8_A0.6,exp30,0.2,hidden,4-6-4-3-3-4-6-4,34,twin,0.12163,0.1463,0
R4_S8_A0.6,exp30,0.2,display,4-6-4-3-3-4-5-4,33,O-M15,0.1256,0.1767,0
R4_S8_A0.6,exp30,0.2,display,4-6-4-3-3-4-5-4,33,twin,0.14325,0.2066,0
R4_S8_A0.6,logn30,0.1,hidden,5-7-5-3-3-5-7-5,40,H,0.03539,0.0601,0
R4_S8_A0.6,logn30,0.1,hidden,5-7-5-3-3-5-7-5,40,O-M15,0.01754,0.0324,0
R4_S8_A0.6,logn30,0.1,hidden,5-7-5-3-3-5-7-5,40,twin,0.03099,0.0523,0
R4_S8_A0.6,logn30,0.1,display,4-6-4-3-3-5-6-4,35,O-M15,0.05538,0.0899,0
R4_S8_A0.6,logn30,0.1,display,4-6-4-3-3-5-6-4,35,twin,0.09612,0.1545,2
R4_S8_A0.6,logn30,0.2,hidden,5-7-4-3-3-5-6-4,37,H,0.07732,0.165,0
R4_S8_A0.6,logn30,0.2,hidden,5-7-4-3-3-5-6-4,37,O-M15,0.0348,0.0578,0
R4_S8_A0.6,logn30,0.2,hidden,5-7-4-3-3-5-6-4,37,twin,0.06092,0.1032,0
R4_S8_A0.6,logn30,0.2,display,4-6-4-3-2-4-5-4,32,O-M15,0.09096,0.1474,0
R4_S8_A0.6,logn30,0.2,display,4-6-4-3-2-4-5-4,32,twin,0.15365,0.2456,1
