office,patience,plan_type,quantile,fail,H_fail,oracle_fail,best_count_cutoff,count_fail,share_of_oracle_gain,balked_per_day,lost_min_per_arrival,d_H,d_H_lo,d_H_hi,d_O-M15,d_O-M15_lo,d_O-M15_hi,d_C0best,d_C0best_lo,d_C0best_hi
R4_S8_A0.6,exp30,lean,0.8,0.09665,0.09774,0.08846,15.0,0.09602,0.118,3.595,2.244,-0.263,-0.461,-0.065,1.966,1.783,2.149,0.15,0.031,0.269
R4_S8_A0.6,exp30,lean,0.9,0.09964,0.09774,0.08846,15.0,0.09602,-0.205,6.678,2.023,0.456,0.195,0.717,2.685,2.503,2.867,0.869,0.69,1.048
R4_S8_A0.6,exp30,lean,0.95,0.10505,0.09774,0.08846,15.0,0.09602,-0.788,10.219,1.793,1.755,1.461,2.049,3.984,3.779,4.189,2.168,1.953,2.383
R4_S8_A0.6,exp30,safe,0.8,0.06764,0.06739,0.0636,17.5,0.06715,-0.067,1.365,1.756,0.061,-0.034,0.156,0.97,0.847,1.093,0.119,0.043,0.195
R4_S8_A0.6,exp30,safe,0.9,0.06968,0.06739,0.0636,17.5,0.06715,-0.604,3.059,1.639,0.549,0.41,0.688,1.458,1.335,1.581,0.607,0.484,0.73
R4_S8_A0.6,exp30,safe,0.95,0.07361,0.06739,0.0636,17.5,0.06715,-1.642,5.278,1.494,1.494,1.315,1.673,2.403,2.25,2.556,1.552,1.392,1.712
R4_S8_A0.6,logn30,lean,0.8,0.05791,0.07732,0.0348,12.5,0.05801,0.456,9.562,2.733,-4.661,-5.308,-4.014,5.548,5.223,5.873,-0.023,-0.258,0.212
R4_S8_A0.6,logn30,lean,0.9,0.06327,0.07732,0.0348,12.5,0.05801,0.33,12.688,2.311,-3.375,-4.057,-2.693,6.834,6.529,7.139,1.263,1.017,1.509
R4_S8_A0.6,logn30,lean,0.95,0.071,0.07732,0.0348,12.5,0.05801,0.149,15.578,1.964,-1.518,-2.249,-0.787,8.691,8.4,8.982,3.12,2.832,3.408
R4_S8_A0.6,logn30,safe,0.8,0.03178,0.03539,0.01754,15.0,0.03141,0.202,4.725,2.205,-0.867,-1.237,-0.497,3.419,3.165,3.673,0.09,-0.118,0.298
R4_S8_A0.6,logn30,safe,0.9,0.03619,0.03539,0.01754,15.0,0.03141,-0.045,6.918,1.936,0.19,-0.211,0.591,4.476,4.231,4.721,1.147,0.906,1.388
R4_S8_A0.6,logn30,safe,0.95,0.04236,0.03539,0.01754,15.0,0.03141,-0.391,9.133,1.693,1.673,1.229,2.117,5.959,5.702,6.216,2.63,2.335,2.925
R4_S8_A0.6,logn30cv15,lean,0.8,0.0898,0.08986,0.08359,17.5,0.08919,0.009,2.82,2.365,-0.013,-0.157,0.131,1.491,1.33,1.652,0.148,0.03,0.266
R4_S8_A0.6,logn30cv15,lean,0.9,0.09276,0.08986,0.08359,17.5,0.08919,-0.463,5.873,2.162,0.697,0.5,0.894,2.201,2.035,2.367,0.858,0.692,1.024
R4_S8_A0.6,logn30cv15,lean,0.95,0.09827,0.08986,0.08359,17.5,0.08919,-1.341,9.504,1.93,2.02,1.774,2.266,3.524,3.319,3.729,2.181,1.963,2.399
R4_S8_A0.6,logn30cv15,safe,0.8,0.06164,0.06109,0.05861,20.0,0.06099,-0.223,0.967,1.848,0.132,0.07,0.194,0.728,0.618,0.838,0.156,0.1,0.212
R4_S8_A0.6,logn30cv15,safe,0.9,0.06376,0.06109,0.05861,20.0,0.06099,-1.076,2.559,1.752,0.64,0.539,0.741,1.236,1.115,1.357,0.664,0.565,0.763
R4_S8_A0.6,logn30cv15,safe,0.95,0.06693,0.06109,0.05861,20.0,0.06099,-2.356,4.718,1.612,1.402,1.261,1.543,1.998,1.864,2.132,1.426,1.291,1.561
R16_S16_A0.6,exp30,lean,0.8,0.12468,0.13366,0.11618,12.5,0.12518,0.514,10.207,2.884,-4.313,-4.89,-3.736,4.078,3.725,4.431,-0.243,-0.567,0.081
R16_S16_A0.6,exp30,lean,0.9,0.12474,0.13366,0.11618,12.5,0.12518,0.51,15.582,2.635,-4.28,-4.936,-3.624,4.111,3.79,4.432,-0.21,-0.535,0.115
R16_S16_A0.6,exp30,lean,0.95,0.12638,0.13366,0.11618,12.5,0.12518,0.417,20.921,2.4,-3.496,-4.201,-2.791,4.895,4.583,5.207,0.574,0.232,0.916
