c,S,patience,display,min_step,monotone,dominated_by,max_excess_over_dominating,ordered
1,8.0,exp30,H,-4.711786516509164e-13,True,,0.0,True
1,8.0,exp30,O*1.5,-5.322409180053e-13,True,H,-1.241229341530925e-13,True
1,8.0,exp30,O*2,2.0043966486582576e-12,True,H|O*1.5,4.627409566637652e-13,True
1,8.0,exp30,O*3,2.5336216458171634e-09,True,H|O*1.5|O*2,-3.493405564825025e-11,True
1,8.0,exp30,O-M5,6.969524661615267e-06,True,H|O-M10|O-M15|O-M30,-8.789099673611744e-07,True
1,8.0,exp30,O-M10,4.5461562292459234e-09,True,H|O-M15|O-M30,-9.492262531551887e-11,True
1,8.0,exp30,O-M15,9.3084429053647e-12,True,H|O-M30,-8.324452238639424e-13,True
1,8.0,exp30,O-M30,-1.1812772982011666e-13,True,H,-4.2521541843143495e-13,True
1,8.0,logn30,H,-2.391420395042587e-13,True,,0.0,True
1,8.0,logn30,O*1.5,1.4033219031261979e-13,True,H,2.531308496145357e-14,True
1,8.0,logn30,O*2,1.0591527654923993e-12,True,H|O*1.5,-2.3159252293680765e-13,True
1,8.0,logn30,O*3,5.51910517287979e-10,True,H|O*1.5|O*2,-7.260081424931286e-12,True
1,8.0,logn30,O-M5,3.1834294866861512e-06,True,H|O-M10|O-M15|O-M30,-3.307876006442001e-07,True
1,8.0,logn30,O-M10,2.2674462307747945e-10,True,H|O-M15|O-M30,-3.047451180293592e-12,True
1,8.0,logn30,O-M15,1.1588507931037384e-12,True,H|O-M30,4.340972026284362e-13,True
1,8.0,logn30,O-M30,-6.041833700010102e-13,True,H,3.745892485085278e-13,True
1,8.0,logn30cv15,H,1.9384494009955233e-13,True,,0.0,True
1,8.0,logn30cv15,O*1.5,8.675282714420973e-13,True,H,-6.532552276894421e-13,True
1,8.0,logn30cv15,O*2,9.978906589935832e-12,True,H|O*1.5,-5.45785638905727e-13,True
1,8.0,logn30cv15,O*3,1.315509123855918e-08,True,H|O*1.5|O*2,-2.421134404073655e-10,True
1,8.0,logn30cv15,O-M5,5.179770954710783e-06,True,H|O-M10|O-M15|O-M30,-6.070459700469044e-07,True
1,8.0,logn30cv15,O-M10,3.6808140979616155e-09,True,H|O-M15|O-M30,-7.38150651713454e-11,True
1,8.0,logn30cv15,O-M15,1.3505085938447792e-11,True,H|O-M30,-8.801848139228241e-13,True
1,8.0,logn30cv15,O-M30,4.3076653355456074e-13,True,H,-2.1294077612310502e-13,True
1,16.0,exp30,H,2.468691917556498e-12,True,,0.0,True
1,16.0,exp30,O*1.5,2.533975140828204e-09,True,H,-3.563138673001731e-11,True
1,16.0,exp30,O*2,1.4814797055784368e-07,True,H|O*1.5,-5.724444362975589e-09,True
1,16.0,exp30,O*3,8.594092292035782e-06,True,H|O*1.5|O*2,-1.001802861333445e-06,True
1,16.0,exp30,O-M5,0.0004621814365927124,True,H|O-M10|O-M15|O-M30,-0.00020154805931360542,True
1,16.0,exp30,O-M10,1.3985549586537083e-05,True,H|O-M15|O-M30,-2.0607647700510157e-06,True
1,16.0,exp30,O-M15,6.735709258132161e-07,True,H|O-M30,-4.594769464905113e-08,True
1,16.0,exp30,O-M30,1.0533242056354197e-09,True,H,-1.591027309899573e-11,True
1,16.0,logn30,H,1.9342305535019477e-12,True,,0.0,True
1,16.0,logn30,O*1.5,5.517308832025947e-10,True,H,-8.599565504141538e-12,True
1,16.0,logn30,O*2,5.0377570670612215e-08,True,H|O*1.5,-1.7637945548543144e-09,True
1,16.0,logn30,O*3,4.5111559022759096e-06,True,H|O*1.5|O*2,-4.905357311457692e-07,True
1,16.0,logn30,O-M5,0.0003218570597603998,True,H|O-M10|O-M15|O-M30,-0.00012500828159911492,True
1,16.0,logn30,O-M10,3.268761247232632e-06,True,H|O-M15|O-M30,-3.406245875359204e-07,True
1,16.0,logn30,O-M15,3.6509023249031713e-08,True,H|O-M30,-1.2791435688441766e-09,True
1,16.0,logn30,O-M30,3.844480289671992e-12,True,H,-1.9024781749976682e-12,True
