plan_type,regime,R,L,h,dh,dh_low,dh_high,n_roots,significant_rises
phi=1.00,O-M15,0.0,15.127,15.127,nan,nan,nan,1,0
phi=1.00,O-M15,12.0,19.523,7.523,-7.605,-8.0117,-7.1983,1,0
phi=1.00,O-M15,24.0,24.573,0.573,-6.95,-7.3989,-6.5011,1,0
phi=1.00,O-M15,48.0,36.587,-11.413,-11.985,-12.6563,-11.3137,1,0
phi=1.00,O-M15,84.0,58.795,-25.205,-13.7925,-14.7651,-12.8199,1,0
phi=1.00,O-M15,120.0,85.688,-34.312,-9.1075,-10.1853,-8.0297,1,0
phi=1.00,O-M15,180.0,138.148,-41.852,-7.54,-8.9768,-6.1032,1,0
phi=1.00,O-M15,240.0,194.64,-45.36,-3.5075,-4.9813,-2.0337,1,0
phi=1.00,O-M15,360.0,310.55,-49.45,-4.09,-6.1903,-1.9897,1,0
phi=1.00,O-M15,480.0,429.627,-50.373,-0.9225,-2.9874,1.1424,1,0
phi=1.00,O-M15,720.0,669.505,-50.495,-0.1225,-2.8301,2.5851,1,0
phi=1.00,C0-M15,0.0,15.34,15.34,nan,nan,nan,1,0
phi=1.00,C0-M15,12.0,19.867,7.867,-7.4725,-7.8861,-7.0589,1,0
phi=1.00,C0-M15,24.0,25.017,1.017,-6.85,-7.3255,-6.3745,1,0
phi=1.00,C0-M15,48.0,37.235,-10.765,-11.7825,-12.469,-11.096,1,0
phi=1.00,C0-M15,84.0,59.987,-24.013,-13.2475,-14.1951,-12.2999,1,0
phi=1.00,C0-M15,120.0,86.987,-33.013,-9.0,-10.1304,-7.8696,1,0
phi=1.00,C0-M15,180.0,139.84,-40.16,-7.1475,-8.5457,-5.7493,1,0
phi=1.00,C0-M15,240.0,196.07,-43.93,-3.77,-5.2785,-2.2615,1,0
phi=1.00,C0-M15,360.0,311.23,-48.77,-4.84,-6.9459,-2.7341,1,0
phi=1.00,C0-M15,480.0,431.075,-48.925,-0.155,-2.3108,2.0008,1,0
phi=1.00,C0-M15,720.0,671.205,-48.795,0.13,-2.566,2.826,1,0
phi=1.00,T0.7,0.0,15.02,15.02,nan,nan,nan,1,0
phi=1.00,T0.7,12.0,19.422,7.422,-7.5975,-8.0086,-7.1864,1,0
phi=1.00,T0.7,24.0,24.587,0.587,-6.835,-7.3081,-6.3619,1,0
phi=1.00,T0.7,48.0,36.718,-11.282,-11.87,-12.5724,-11.1676,1,0
phi=1.00,T0.7,84.0,59.13,-24.87,-13.5875,-14.5594,-12.6156,1,0
phi=1.00,T0.7,120.0,86.6,-33.4,-8.53,-9.6162,-7.4438,1,0
phi=1.00,T0.7,180.0,139.415,-40.585,-7.185,-8.5686,-5.8014,1,0
phi=1.00,T0.7,240.0,195.225,-44.775,-4.19,-5.7076,-2.6724,1,0
phi=1.00,T0.7,360.0,313.06,-46.94,-2.165,-4.2498,-0.0802,1,0
phi=1.00,T0.7,480.0,431.075,-48.925,-1.985,-4.174,0.204,1,0
phi=1.00,T0.7,720.0,669.95,-50.05,-1.125,-3.8649,1.6149,1,0
phi=0.85,O-M15,0.0,30.012,30.012,nan,nan,nan,1,0
phi=0.85,O-M15,12.0,36.615,24.615,-5.3975,-5.8745,-4.9205,1,0
phi=0.85,O-M15,24.0,44.633,20.633,-3.9825,-4.555,-3.41,1,0
phi=0.85,O-M15,48.0,61.025,13.025,-7.6075,-8.4361,-6.7789,1,0
phi=0.85,O-M15,84.0,88.647,4.647,-8.3775,-9.5378,-7.2172,1,0
phi=0.85,O-M15,120.0,119.468,-0.532,-5.18,-6.3699,-3.9901,1,0
phi=0.85,O-M15,180.0,175.285,-4.715,-4.1825,-5.7512,-2.6138,1,0
phi=0.85,O-M15,240.0,233.827,-6.173,-1.4575,-3.0173,0.1023,1,0
phi=0.85,O-M15,360.0,350.743,-9.257,-3.085,-5.2055,-0.9645,1,0
phi=0.85,O-M15,480.0,470.15,-9.85,-0.5925,-2.7031,1.5181,1,0
phi=0.85,O-M15,720.0,710.553,-9.447,0.4025,-2.3329,3.1379,1,0
phi=0.85,C0-M15,0.0,30.735,30.735,nan,nan,nan,1,0
phi=0.85,C0-M15,12.0,37.697,25.697,-5.0375,-5.5221,-4.5529,1,0
phi=0.85,C0-M15,24.0,45.815,21.815,-3.8825,-4.4911,-3.2739,1,0
