T,c,S,patience,rho,n_T,eps,H_late_share
7.5,1,4.0,exp30,0.95,1.875,0.9009825137050378,0.6404467440857159
7.5,1,4.0,logn30,0.95,1.875,0.9102172106126565,0.7394792981570643
7.5,1,8.0,exp30,0.95,0.9375,1.608753090187108,0.7066422583141238
7.5,1,8.0,logn30,0.95,0.9375,1.5688036360526354,0.7695480882007162
7.5,1,16.0,exp30,0.95,0.46875,2.720614011223344,0.7260219297811149
7.5,1,16.0,logn30,0.95,0.46875,2.5846101035435374,0.7658017136343461
7.5,2,4.0,exp30,0.95,3.75,0.4428366665099761,0.4687124665151894
7.5,2,4.0,logn30,0.95,3.75,0.4636205753003457,0.6360568033420971
7.5,2,8.0,exp30,0.95,1.875,0.7900941401140616,0.5875593697778011
7.5,2,8.0,logn30,0.95,1.875,0.800706510411357,0.7003651548815701
7.5,2,16.0,exp30,0.95,0.9375,1.3463426604604538,0.6441643569786
7.5,2,16.0,logn30,0.95,0.9375,1.3195055102082842,0.7197017570314028
7.5,4,4.0,exp30,0.95,7.5,0.22988876439256972,0.25347316331987907
7.5,4,4.0,logn30,0.95,7.5,0.2407494138780138,0.48846454289827496
7.5,4,8.0,exp30,0.95,3.75,0.3966716236060777,0.4151562579500703
7.5,4,8.0,logn30,0.95,3.75,0.4142309788063932,0.5954602841281015
7.5,4,16.0,exp30,0.95,1.875,0.6729908224848569,0.5194461022893043
7.5,4,16.0,logn30,0.95,1.875,0.6825253040580143,0.6472890076772926
7.5,8,4.0,exp30,0.95,15.0,0.13548287218335747,0.0743010503740355
7.5,8,4.0,logn30,0.95,15.0,0.1309209900947279,0.30660791529304665
7.5,8,8.0,exp30,0.95,7.5,0.2120701715375014,0.21302331423330828
7.5,8,8.0,logn30,0.95,7.5,0.21963557678337678,0.4505928836988715
7.5,8,16.0,exp30,0.95,3.75,0.34690463865643345,0.3505135243700862
7.5,8,16.0,logn30,0.95,3.75,0.359874778562399,0.5416681982716351
7.5,16,4.0,exp30,0.95,30.0,0.09641335183950685,0.0063315016543469245
7.5,16,4.0,logn30,0.95,30.0,0.07867080256439592,0.13219687667582164
7.5,16,8.0,exp30,0.95,15.0,0.1290395882899369,0.0578943916227343
7.5,16,8.0,logn30,0.95,15.0,0.12249997509167385,0.2774801494047346
7.5,16,16.0,exp30,0.95,7.5,0.1920074706540745,0.16819796328864586
7.5,16,16.0,logn30,0.95,7.5,0.19571032427166501,0.40148873503550103
7.5,32,4.0,exp30,0.95,60.0,0.07872116576736843,4.543780365427324e-05
7.5,32,4.0,logn30,0.95,60.0,0.05654966938512423,0.027053178290521805
7.5,32,8.0,exp30,0.95,30.0,0.09365758369114816,0.004444436379764616
7.5,32,8.0,logn30,0.95,30.0,0.07564186974469785,0.11639859305484447
7.5,32,16.0,exp30,0.95,15.0,0.12101157637727554,0.04161293935461084
7.5,32,16.0,logn30,0.95,15.0,0.11259427022777763,0.24043582213210432
15.0,1,4.0,exp30,0.95,3.75,0.4726158480922851,0.3393852290721654
15.0,1,4.0,logn30,0.95,3.75,0.4116317885185079,0.4525612661249368
15.0,1,8.0,exp30,0.95,1.875,0.8616189061662206,0.4788738092177106
15.0,1,8.0,logn30,0.95,1.875,0.7374699644532544,0.5384112715076794
15.0,1,16.0,exp30,0.95,0.9375,1.5296937832221928,0.5530448007358276
15.0,1,16.0,logn30,0.95,0.9375,1.2824458627021624,0.5712094060540082
15.0,2,4.0,exp30,0.95,7.5,0.25457017656469205,0.1403145075960528
15.0,2,4.0,logn30,0.95,7.5,0.2166506130357061,0.2959213174469354
15.0,2,8.0,exp30,0.95,3.75,0.4367488616680157,0.29839070598057343
15.0,2,8.0,logn30,0.95,3.75,0.3807504699448409,0.4194915992280966
15.0,2,16.0,exp30,0.95,1.875,0.7631630332777777,0.4211575228666977
15.0,2,16.0,logn30,0.95,1.875,0.6579541335581137,0.4912759985094189
15.0,4,4.0,exp30,0.95,15.0,0.16015604299231645,0.023013584667065577
15.0,4,4.0,logn30,0.95,15.0,0.1220756265601554,0.1400720345173707
15.0,4,8.0,exp30,0.95,7.5,0.24130520795928054,0.11652082644230365
15.0,4,8.0,logn30,0.95,7.5,0.2037605155653577,0.2708256780269704
15.0,4,16.0,exp30,0.95,3.75,0.39625337652395437,0.250231225044117
15.0,4,16.0,logn30,0.95,3.75,0.34509080583798685,0.3773078684334817
