regime,R,L,h,h_low,h_high
H,0.0,14.486,14.486,14.147,14.826
H,12.0,20.434,8.434,8.026,8.842
H,24.0,28.965,4.965,4.488,5.442
H,48.0,49.672,1.672,1.097,2.247
H,84.0,83.317,-0.683,-1.347,-0.018
H,120.0,117.45,-2.55,-3.283,-1.817
H,180.0,175.759,-4.241,-5.077,-3.405
H,240.0,235.024,-4.976,-5.894,-4.059
H,360.0,353.082,-6.918,-7.95,-5.886
H,480.0,470.933,-9.067,-10.2,-7.935
H,720.0,709.726,-10.274,-11.62,-8.928
O-M15,0.0,14.909,14.909,14.555,15.263
O-M15,12.0,21.093,9.093,8.671,9.516
O-M15,24.0,30.057,6.057,5.564,6.55
O-M15,48.0,51.537,3.537,2.959,4.115
O-M15,84.0,86.273,2.273,1.611,2.935
O-M15,120.0,121.227,1.227,0.502,1.952
O-M15,180.0,181.233,1.233,0.427,2.039
O-M15,240.0,241.593,1.593,0.708,2.478
O-M15,360.0,361.258,1.258,0.256,2.26
O-M15,480.0,480.429,0.429,-0.669,1.527
O-M15,720.0,720.869,0.869,-0.425,2.163
