hour,x,psi
0,0.25,0.7446089345903845
0,0.75,0.7237808788013009
0,1.25,0.6954072217319235
0,1.75,0.6672518080409865
0,2.25,0.6393135257772398
0,2.75,0.6115910867599156
0,3.25,0.5840827278547742
0,3.75,0.5567859770566862
0,4.25,0.5296979488513246
0,4.75,0.5028165628465829
0,5.25,0.47614271044611695
0,5.75,0.44968297344047853
0,6.25,0.42345224217281285
0,6.75,0.39747556120365823
0,7.25,0.37178870244012463
0,7.75,0.34643723692397266
0,8.25,0.32147415665868
0,8.75,0.29695632347332906
0,9.25,0.2729401598163391
0,9.75,0.2494770405591974
0,10.25,0.22660880767112737
0,10.75,0.20436373497127072
0,11.25,0.18275314350555708
0,11.75,0.1617687349121192
0,12.25,0.1413805880437845
0,12.75,0.12153566454936884
0,13.25,0.10215659532648694
0,13.75,0.08314046993923827
0,14.25,0.0643573181391041
0,14.75,0.04564795148142856
0,15.25,-0.8550018231955359
0,15.75,-0.853309848459904
0,16.25,-0.8391202860564456
0,16.75,-0.82423484416353
0,17.25,-0.8087741142398334
0,17.75,-0.792832418747542
0,18.25,-0.7764889029954704
0,18.75,-0.7598135052074023
0,19.25,-0.7428700879863989
0,19.75,-0.7257180257489466
0,20.25,-0.7084129682255244
0,20.75,-0.6910071724839629
0,21.25,-0.6735496358674341
0,21.75,-0.6560861217079975
0,22.25,-0.6386592132227127
0,22.75,-0.6213082394705198
0,23.25,-0.604069423159862
0,23.75,-0.5869758865149142
0,24.25,-0.5700573735517623
0,24.75,-0.5533414898374848
0,25.25,-0.5368521470991229
0,25.75,-0.5206109178036795
0,26.25,-0.5046361491383381
0,26.75,-0.48894748265675975
0,27.25,-0.4735535207887357
0,27.75,-0.45847128279837135
0,28.25,-0.44371635186374014
0,28.75,-0.4292758757844538
0,29.25,-0.41519735201707986
0,29.75,-0.40142497063348104
0,30.25,-0.3880531389091581
0,30.75,-0.37483690237564077
0,31.25,-0.3622489081924253
0,31.75,-0.350006682384121
0,32.25,-0.33746709014116444
0,32.75,-0.325751533836908
0,33.25,-0.3131134138568816
0,33.75,-0.3050935134355853
0,34.25,-0.2981829821685074
0,34.75,-0.28863184243249984
0,35.25,-0.27801360084489884
0,35.75,-0.27240211596542246
0,36.25,-0.2600548330599145
0,36.75,-0.2627817718396934
0,37.25,-0.2791451727875066
0,37.75,-0.23430719087633511
0,38.25,-0.34891557400576756
0,38.75,-0.32805316234542753
0,39.25,-0.07676683070731939
0,39.75,-0.0
0,40.25,-0.0
0,40.75,-0.0
0,41.25,-0.0
0,41.75,-0.0
0,42.25,-0.0
0,42.75,-0.0
0,43.25,-0.0
0,43.75,-0.0
0,44.25,-0.0
0,44.75,-0.0
0,45.25,-0.0
0,45.75,-0.0
0,46.25,-0.0
0,46.75,-0.0
0,47.25,-0.0
0,47.75,-0.0
0,48.25,-0.0
0,48.75,-0.0
0,49.25,-0.0
0,49.75,-0.0
0,50.25,-0.0
0,50.75,-0.0
0,51.25,-0.0
0,51.75,-0.0
0,52.25,-0.0
0,52.75,-0.0
0,53.25,-0.0
0,53.75,-0.0
0,54.25,-0.0
0,54.75,-0.0
0,55.25,-0.0
0,55.75,-0.0
0,56.25,-0.0
0,56.75,-0.0
0,57.25,-0.0
0,57.75,-0.0
0,58.25,-0.0
0,58.75,-0.0
0,59.25,-0.0
0,59.75,-0.0
1,0.25,0.7337653993910181
1,0.75,0.7068971077862024
1,1.25,0.6730307687551338
1,1.75,0.6398717185200403
1,2.25,0.6074078125119731
1,2.75,0.5756269985852778
1,3.25,0.5445171498506453
1,3.75,0.5140661366111261
1,4.25,0.48426260239886787
1,4.75,0.4550977177000523
1,5.25,0.4265677302438874
1,5.75,0.39867671080331346
1,6.25,0.37143871802406386
1,6.75,0.3448787068798178
1,7.25,0.3190317940918112
1,7.75,0.29394084699882805
1,8.25,0.26965267538652177
1,8.75,0.24621331490789733
1,9.25,0.22366297350124012
1,9.75,0.20203117832984835
1,10.25,0.18133253952145018
1,10.75,0.16156337706359533
1,11.25,0.14269927489304107
1,11.75,0.12469345998987866
