hour,x,psi
0,0.25,0.7423633327689282
0,0.75,0.7161058025733074
0,1.25,0.6793498700517034
0,1.75,0.6411010199747151
0,2.25,0.6027761414817592
0,2.75,0.5654221372419226
0,3.25,0.5296982107294086
0,3.75,0.4959659756153311
0,4.25,0.464380763804404
0,4.75,0.4349626926700482
0,5.25,0.4076472648727873
0,5.75,0.3823198324039062
0,6.25,0.3588383722468394
0,6.75,0.3370481161719548
0,7.25,0.3167906190805612
0,7.75,0.29790907551963397
0,8.25,0.28025112216663445
0,8.75,0.26366995929790116
0,9.25,0.24802434241210608
0,9.75,0.23317780123394283
0,10.25,0.2189973089996539
0,10.75,0.20535153147637217
0,11.25,0.19210871863959855
0,11.75,0.17913425240374195
0,12.25,0.16628782545480744
0,12.75,0.1534201930268788
0,13.25,0.14036940906616058
0,13.75,0.12695642649754293
0,14.25,0.11297990703365555
0,14.75,0.09821004689705914
0,15.25,-0.4394007107795944
0,15.75,-0.43569843216988835
0,16.25,-0.42602717573907917
0,16.75,-0.41664327584762145
0,17.25,-0.4075376629741616
0,17.75,-0.3987012402356875
0,18.25,-0.39012498840396576
0,18.75,-0.3818000383529754
0,19.25,-0.37371772026086847
0,19.75,-0.3658695958507526
0,20.25,-0.3582474803805058
0,20.75,-0.3508434531404976
0,21.25,-0.3436498634064423
0,21.75,-0.3366593336879178
0,22.25,-0.32986475288154626
0,22.75,-0.32325928086804673
0,23.25,-0.316836334495266
0,23.75,-0.3105895857674968
0,24.25,-0.30451294153332736
0,24.75,-0.2986005764058934
0,25.25,-0.2928468502364672
0,25.75,-0.2872463666286584
0,26.25,-0.2817939578759212
0,26.75,-0.2764846387622949
0,27.25,-0.27131362908647944
0,27.75,-0.2662763189022408
0,28.25,-0.26136831977460506
0,28.75,-0.25658534061141114
0,29.25,-0.25192338765352007
0,29.75,-0.24737846473367386
0,30.25,-0.24294670056332374
0,30.75,-0.2386247749746916
0,31.25,-0.23440887104159686
0,31.75,-0.23029580364199387
0,32.25,-0.226282475604624
0,32.75,-0.2223657424748805
0,33.25,-0.21854245669247505
0,33.75,-0.21480866933080156
0,34.25,-0.21116318933889427
0,34.75,-0.20760234187057308
0,35.25,-0.20412667318838026
0,35.75,-0.20073224285970162
0,36.25,-0.19741018479918052
0,36.75,-0.19416831027582493
0,37.25,-0.19099206495025267
0,37.75,-0.1878965886639468
0,38.25,-0.18485204383487813
0,38.75,-0.18188739844325333
0,39.25,-0.17897207624026484
0,39.75,-0.17613005796361886
0,40.25,-0.173345163462974
0,40.75,-0.17062536340537593
0,41.25,-0.16792505875129168
0,41.75,-0.16524899803975412
0,42.25,-0.16284466142335527
0,42.75,-0.16042974052740372
0,43.25,-0.15785401284818726
0,43.75,-0.15563701808875174
0,44.25,-0.1529906626094423
0,44.75,-0.15061449001008215
0,45.25,-0.14811773068007797
0,45.75,-0.14553083450748738
0,46.25,-0.14238001219337637
0,46.75,-0.14002023511589134
0,47.25,-0.13808788966636862
0,47.75,-0.13443854267705463
0,48.25,-0.13668527504410713
0,48.75,-0.13424296862524288
0,49.25,-0.13021756202455745
0,49.75,-0.13175609545184527
0,50.25,-0.14375543817762587
0,50.75,-0.12523563137112198
0,51.25,-0.13871224464845747
