hour,x,psi
0,0.25,88.46656700430368
0,0.75,80.67785696748471
0,1.25,72.85514363004657
0,1.75,65.82494873146408
0,2.25,59.48944101879124
0,2.75,53.764849647419545
0,3.25,48.57922017490165
0,3.75,43.87056635134634
0,4.25,39.5853427537601
0,4.75,35.67717849212046
0,5.25,32.10582418917072
0,5.75,28.836273861290568
0,6.25,25.838030834587798
0,6.75,23.084492786619247
0,7.25,20.55243578882747
0,7.75,18.221581048198797
0,8.25,16.074231140988807
0,8.75,14.094965063851834
0,9.25,12.27038344998844
0,9.75,10.588897030622025
0,10.25,9.040552788048284
0,10.75,7.6168934871476885
0,11.25,6.310847257192641
0,11.75,5.116644799017214
0,12.25,4.02976263276536
0,12.75,3.046891506308352
0,13.25,2.165929862665994
0,13.75,1.3860029595082786
0,14.25,0.7075089916957733
0,14.75,0.13219439243257014
0,15.25,-0.36555197257003513
0,15.75,-0.8598109242324661
0,16.25,-1.3458159193363528
0,16.75,-1.8236791031507025
0,17.25,-2.2935219803908176
0,17.75,-2.7554711951583677
0,18.25,-3.2096556852062204
0,18.75,-3.6562049259666374
0,19.25,-4.09524785071946
0,19.75,-4.526912070861869
0,20.25,-4.951323433585507
0,20.75,-5.368606008345034
0,21.25,-5.778881572947771
0,21.75,-6.182270267541622
0,22.25,-6.578889402441971
0,22.75,-6.968854462065094
0,23.25,-7.352279343626507
0,23.75,-7.729275346774662
0,24.25,-8.099951621386293
0,24.75,-8.464415777741953
0,25.25,-8.822774212205914
0,25.75,-9.175128343019807
0,26.25,-9.521584093668162
0,26.75,-9.86223858227709
0,27.25,-10.197189089862237
0,27.75,-10.526534842770749
0,28.25,-10.850367697719765
0,28.75,-11.168781449023946
0,29.25,-11.481885756013206
0,29.75,-11.78973670339138
0,30.25,-12.092459592795148
0,30.75,-12.390101046505482
0,31.25,-12.68274485251289
0,31.75,-12.970533607290227
0,32.25,-13.253511038116276
0,32.75,-13.531693438578388
0,33.25,-13.805387629579544
0,33.75,-14.074360201829332
0,34.25,-14.339052428593327
0,34.75,-14.598666419281386
0,35.25,-14.85426463579631
0,35.75,-15.106425853027847
0,36.25,-15.353658378943987
0,36.75,-15.598034074501854
0,37.25,-15.837070802192262
0,37.75,-16.07172515448151
0,38.25,-16.303017138799106
0,38.75,-16.527381478400457
0,39.25,-16.75138672687478
0,39.75,-16.971878041920647
0,40.25,-17.18165224822379
0,40.75,-17.39142158105076
0,41.25,-17.61088311347164
0,41.75,-17.803926318250383
0,42.25,-18.008184175938048
0,42.75,-18.227294121122462
0,43.25,-18.404777334434634
0,43.75,-18.58059336292652
0,44.25,-18.766552848341675
0,44.75,-18.873399882582568
0,45.25,-19.15723024789438
0,45.75,-19.35470010602883
0,46.25,-19.441999663271876
0,46.75,-19.603441472534296
0,47.25,-19.721113224348887
0,47.75,-20.16490427518235
0,48.25,-20.21792220688457
0,48.75,-20.23603903802952
0,49.25,-20.305649917312778
0,49.75,-19.78257392683534
0,50.25,-21.34700943964417
