hour,x,psi
0,0.25,62.93935469351013
0,0.75,57.49034309366274
0,1.25,51.95229681046548
0,1.75,46.93040414353726
0,2.25,42.365770935441766
0,2.75,38.207455695320014
0,3.25,34.41128615167843
0,3.75,30.938873661184473
0,4.25,27.756790110548692
0,4.75,24.835878806184297
0,5.25,22.15067636128596
0,5.75,19.67892693206333
0,6.25,17.40117371935245
0,6.75,15.300415493001392
0,7.25,13.361818215751807
0,7.75,11.572473745543853
0,8.25,9.921199164356647
0,8.75,8.398371592613337
0,9.25,6.9957944461740915
0,9.75,5.7065920537482455
0,10.25,4.52513039389374
0,10.75,3.446962457272278
0,11.25,2.4687974454773958
0,11.75,1.588493741822802
0,12.25,0.8050762042757373
0,12.75,0.11877912731939766
0,13.25,-0.4688830623927913
0,13.75,-0.9550144302854484
0,14.25,-1.335201531605346
0,14.75,-1.6033378028839689
0,15.25,-1.9549387722164706
0,15.75,-2.422589771003045
0,16.25,-2.8823883138031974
0,16.75,-3.33445855409291
0,17.25,-3.7789272979146613
0,17.75,-4.215922020670191
0,18.25,-4.64556963159635
0,18.75,-5.067995708249064
0,19.25,-5.4833240789721645
0,19.75,-5.891676519634478
0,20.25,-6.2931727535774105
0,20.75,-6.68793031479474
0,21.25,-7.076064479512949
0,21.75,-7.457688601448983
0,22.25,-7.832913724051058
0,22.75,-8.20184899552334
0,23.25,-8.564601768937777
0,23.75,-8.921277250393459
0,24.25,-9.27197848211333
0,24.75,-9.61680611472601
0,25.25,-9.95586041495482
0,25.75,-10.289241875919016
0,26.25,-10.617042080870196
0,26.75,-10.939360305854843
0,27.25,-11.256284796769762
0,27.75,-11.567911562407318
0,28.25,-11.874323643339961
0,28.75,-12.175619811734983
0,29.25,-12.47186300622963
0,29.75,-12.763163453720455
0,30.25,-13.049604881086871
0,30.75,-13.331249631000638
0,31.25,-13.608205930733785
0,31.75,-13.880506717053748
0,32.25,-14.148308182550426
0,32.75,-14.411609196563099
0,33.25,-14.670548476631346
0,33.75,-14.925105931702742
0,34.25,-15.175246291947758
0,34.75,-15.42137754699933
0,35.25,-15.663515711015256
0,35.75,-15.9012857576904
0,36.25,-16.135586424639765
0,36.75,-16.365357887383354
0,37.25,-16.59214836689222
0,37.75,-16.81498153811673
0,38.25,-17.034219019673987
0,38.75,-17.246519881822792
0,39.25,-17.458612688055652
0,39.75,-17.662195222318594
0,40.25,-17.87167263050086
0,40.75,-18.069956550097345
0,41.25,-18.26152710517213
0,41.75,-18.462355806329594
0,42.25,-18.658236222669228
0,42.75,-18.847804604974144
0,43.25,-19.045806035468296
0,43.75,-19.21990009163244
0,44.25,-19.400849118744098
0,44.75,-19.506621900364884
0,45.25,-19.757145883335564
0,45.75,-20.02772993018511
0,46.25,-20.063939207450233
0,46.75,-20.21824666470797
0,47.25,-20.503791292311533
0,47.75,-20.79091293131385
0,48.25,-20.540493718946294
0,48.75,-21.01115386462696
0,49.25,-21.48540308039945
0,49.75,-21.45031912437761
0,50.25,-21.40755576447482
0,50.75,-22.034857647539994
0,51.25,-21.928298277068304
0,51.75,-21.062637439293923
0,52.25,-22.3960882223289
0,52.75,-22.266187572638092
0,53.25,-22.165504503341516
0,53.75,-23.704075521676607
0,54.25,-26.659295861747026
0,54.75,-23.241221588367864
0,55.25,-22.899481461054354
0,55.75,-19.618038224638873
0,56.25,-24.919620037677873
0,56.75,-10.259917754841405
0,57.25,-11.603203583628849
0,57.75,-6.616701943603733
0,58.25,-6.616701943603733
0,58.75,-6.616701943603733
0,59.25,-6.616701943603733
0,59.75,-6.616701943603733
1,0.25,61.15235786240472
1,0.75,54.84110073026152
1,1.25,48.640074053417486
1,1.75,43.106368394671875
1,2.25,38.15208858373681
1,2.75,33.702869072206354
1,3.25,29.695581196003033
1,3.75,26.076475806470825
1,4.25,22.799672909228196
1,4.75,19.82592943599263
1,5.25,17.121631317966038
1,5.75,14.6579677061894
1,6.25,12.410254317102435
1,6.75,10.357380063902095
1,7.25,8.481356874867274
1,7.75,6.766957197936588
1,8.25,5.201427494305907
1,8.75,3.7742692129639934
1,9.25,2.4770815268211344
1,9.75,1.3034626208275597
1,10.25,0.24896874883932085
1,10.75,-0.6888672869253618
1,11.25,-1.5104539768112666
1,11.75,-2.213988116359232
1,12.25,-2.7952204026400658
1,12.75,-3.2471249714577333
1,13.25,-3.5594531865482057
1,13.75,-3.718145656980015
1,14.25,-3.704568552409256
1,14.75,-3.494530131779772
1,15.25,-3.6010062174181146
1,15.75,-4.042758942401367
1,16.25,-4.4770011419480715
1,16.75,-4.903870366908031
1,17.25,-5.323500731319661
1,17.75,-5.736022739103187
1,18.25,-6.141563175341474
1,18.75,-6.540245758900096
1,19.25,-6.932190827027156
1,19.75,-7.317516223476616
1,20.25,-7.696336815236921
1,20.75,-8.068765574923424
1,21.25,-8.43491374193135
1,21.75,-8.794887828934735
1,22.25,-9.14879479275921
1,22.75,-9.496741562791442
1,23.25,-9.838824091238546
1,23.75,-10.175152601620388
1,24.25,-10.505821097677696
1,24.75,-10.830915267904
1,25.25,-11.15054845139276
1,25.75,-11.46481244783315
1,26.25,-11.773750033547739
1,26.75,-12.077535335854432
1,27.25,-12.376190090986363
1,27.75,-12.66982155623556
1,28.25,-12.958530269855622
1,28.75,-13.242436687852262
1,29.25,-13.521384287403144
1,29.75,-13.795914265835185
1,30.25,-14.066116379114211
1,30.75,-14.332787201507173
1,31.25,-14.59289691387752
1,31.75,-14.848422096947097
1,32.25,-15.092414618856436
1,32.75,-15.339173024510321
1,33.25,-15.582707232331252
1,33.75,-15.808163476147202
1,34.25,-16.057799394055074
1,34.75,-16.258857814624932
1,35.25,-16.45401698754613
1,35.75,-16.652907481076742
1,36.25,-16.8647798373174
1,36.75,-16.81692448417172
1,37.25,-17.084370020360108
1,37.75,-17.276657231095616
1,38.25,-17.88431622175206
1,38.75,-17.791092593039345
1,39.25,-18.041171108573963
1,39.75,-19.153291819395633
1,40.25,-18.290518926221154
1,40.75,-17.72851524389628
1,41.25,-19.730222425722783
1,41.75,-16.353228684072
1,42.25,-16.264033960958578
1,42.75,-17.663318188435657
1,43.25,-22.277609955958074
1,43.75,-11.807320492773938
1,44.25,-22.51263492174098
1,44.75,-31.183884523453123
1,45.25,-31.183884523453123
1,45.75,-31.183884523453123
1,46.25,-31.183884523453123
1,46.75,-31.183884523453123
1,47.25,-31.183884523453123
1,47.75,-31.183884523453123
1,48.25,-31.183884523453123
1,48.75,-31.183884523453123
1,49.25,-31.183884523453123
1,49.75,-31.183884523453123
1,50.25,-31.183884523453123
1,50.75,-31.183884523453123
1,51.25,-31.183884523453123
1,51.75,-31.183884523453123
1,52.25,-31.183884523453123
1,52.75,-31.183884523453123
1,53.25,-31.183884523453123
1,53.75,-31.183884523453123
1,54.25,-31.183884523453123
1,54.75,-31.183884523453123
1,55.25,-31.183884523453123
1,55.75,-31.183884523453123
1,56.25,-31.183884523453123
1,56.75,-31.183884523453123
1,57.25,-31.183884523453123
1,57.75,-31.183884523453123
1,58.25,-31.183884523453123
1,58.75,-31.183884523453123
1,59.25,-31.183884523453123
1,59.75,-31.183884523453123
2,0.25,82.95459589952229
2,0.75,79.15460589107614
2,1.25,74.74189868000487
2,1.75,70.59093815516245
2,2.25,66.68022551711067
2,2.75,62.990337488534436
2,3.25,59.50368379141156
2,3.75,56.204292464652625
2,4.25,53.07761900314566
2,4.75,50.110375790192
2,5.25,47.29037871380625
2,5.75,44.60640816488289
2,6.25,42.04808188207323
2,6.75,39.605737259154004
2,7.25,37.270320877859106
2,7.75,35.033283060882965
2,8.25,32.886475229296764
2,8.75,30.822047794921325
2,9.25,28.832346144973503
2,9.75,26.90980206085301
2,10.25,25.046817589924547
2,10.75,23.235637951000044
2,11.25,21.468209486558237
2,11.75,19.736017965779837
2,12.25,18.029901585331572
2,12.75,16.33983189677941
2,13.25,14.654654390468608
2,13.75,12.961778656583814
2,14.25,11.246805760929663
2,14.75,9.493077733086706
2,15.25,8.376484519645365
2,15.75,7.738214985533602
2,16.25,7.110604788913083
2,16.75,6.4934808679187235
2,17.25,5.886670721094134
2,17.75,5.290003143444398
2,18.25,4.703308885676066
2,18.75,4.126420839296047
2,19.25,3.559174285524973
2,19.75,3.001407041329262
2,20.25,2.452959328400164
2,20.75,1.9136740951013387
2,21.25,1.383396875089387
2,21.75,0.8619758252384937
2,22.25,0.3492617811459926
2,22.75,-0.15489152271665318
