hour,x,psi
0,0.25,63.79901661717955
0,0.75,59.083834961026014
0,1.25,53.700335225519915
0,1.75,48.443653255348714
0,2.25,43.431766802568525
0,2.75,38.73840533142706
0,3.25,34.397850976753475
0,3.75,30.417029041322266
0,4.25,26.785897516742487
0,4.75,23.484869483824866
0,5.25,20.48972557007194
0,5.75,17.774712457565894
0,6.25,15.314413157836231
0,6.75,13.084815741833303
0,7.25,11.063873429451881
0,7.75,9.231751017842889
0,8.25,7.570885076465377
0,8.75,6.065940088776824
0,9.25,4.7037130285763915
0,9.75,3.473019599552863
0,10.25,2.3645830951783005
0,10.75,1.3709391756349198
0,11.25,0.4863652186220726
0,11.75,-0.2931596995794017
0,12.25,-0.9699594114128569
0,12.75,-1.5446253385827866
0,13.25,-2.0159363411108426
0,13.75,-2.380727929556274
0,14.25,-2.6337034530761034
0,14.75,-2.7671781659120205
0,15.25,-3.0580510121219433
0,15.75,-3.5183738280976558
0,16.25,-3.9668448826207072
0,16.75,-4.403843136929607
0,17.25,-4.82973928428382
0,17.75,-5.244894152859879
0,18.25,-5.649657750457889
0,18.75,-6.0443687889022275
0,19.25,-6.429354499374442
0,19.75,-6.804930646635889
0,20.25,-7.171401585226347
0,20.75,-7.529060576722064
0,21.25,-7.878190305180897
0,21.75,-8.219062706265706
0,22.25,-8.551939835582544
0,22.75,-8.877073028462098
0,23.25,-9.194705375170503
0,23.75,-9.505070791316069
0,24.25,-9.808393855034428
0,24.75,-10.10488908763265
0,25.25,-10.394768325699815
0,25.75,-10.678228952134388
0,26.25,-10.955464911232966
0,26.75,-11.226661261604981
0,27.25,-11.492000812216792
0,27.75,-11.751647679545204
0,28.25,-12.005782547497983
0,28.75,-12.25454819668725
0,29.25,-12.49811060971243
0,29.75,-12.736615511286926
0,30.25,-12.970225166291085
0,30.75,-13.199044934550304
0,31.25,-13.423229847276072
0,31.75,-13.642894838715774
0,32.25,-13.858112908118029
0,32.75,-14.069138266032969
0,33.25,-14.27604736486615
0,33.75,-14.478845786093792
0,34.25,-14.677781540933307
0,34.75,-14.873203340155623
0,35.25,-15.06463370205095
0,35.75,-15.25225359014646
0,36.25,-15.437799687873664
0,36.75,-15.618769879352815
0,37.25,-15.796234596710237
0,37.75,-15.970757991387625
0,38.25,-16.140644020814797
0,38.75,-16.3055553430451
0,39.25,-16.473053809387977
0,39.75,-16.635124198337923
0,40.25,-16.795075800021582
0,40.75,-16.95615100793058
0,41.25,-17.104331745055283
0,41.75,-17.257931207907795
0,42.25,-17.416072167949203
0,42.75,-17.592566645523746
0,43.25,-17.703064087750523
0,43.75,-17.873784605754363
0,44.25,-18.004875680860266
0,44.75,-18.135252598133004
0,45.25,-18.155754086508875
0,45.75,-18.276104579925406
0,46.25,-18.443849650567927
0,46.75,-18.732953333320623
0,47.25,-18.67438796357471
0,47.75,-18.698631211758194
0,48.25,-18.689524896871966
0,48.75,-18.758030342474598
0,49.25,-19.666145160844692
0,49.75,-19.52726051372898
0,50.25,-19.74021606035611
0,50.75,-20.428505620495653
0,51.25,-19.55659805333984
0,51.75,-18.375832405009213
0,52.25,-17.585661803055125
0,52.75,-20.395134763698593
0,53.25,-18.648314985346914
0,53.75,-16.66342185003805
0,54.25,-19.626139535030568
0,54.75,-25.461279322821913
0,55.25,-22.065713648159843
0,55.75,-28.39724401085043
0,56.25,-22.19763555747858
0,56.75,-28.123390293497017
0,57.25,-30.02126457059846
0,57.75,-44.13724386413476
0,58.25,-44.13724386413476
0,58.75,-44.13724386413476
0,59.25,-44.13724386413476
0,59.75,-44.13724386413476
1,0.25,62.54960981550551
1,0.75,56.923543208760684
1,1.25,50.75204784032818
1,1.75,44.845363658256744
1,2.25,39.32472526077264
1,2.75,34.25384083521617
1,3.25,29.65022575507071
1,3.75,25.501905154647982
1,4.25,21.780491395281103
1,4.75,18.44994322018263
1,5.25,15.471987706975955
1,5.75,12.809269054599344
1,6.25,10.427041690340381
1,6.75,8.29397066533792
1,7.25,6.382407687118853
1,7.75,4.668376813652721
1,8.25,3.131415660373708
1,8.75,1.754361826432369
1,9.25,0.5231394419016553
1,9.75,-0.5734200961340612
1,10.25,-1.5437009849682433
1,10.75,-2.3933531187150177
1,11.25,-3.1252548987498994
1,11.75,-3.73937309613588
1,12.25,-4.2325005259836175
1,12.75,-4.597846442852454
1,13.25,-4.824446196646393
1,13.75,-4.8963454192000775
1,14.25,-4.791498879333845
1,14.75,-4.480304518798901
1,15.25,-4.533204564453846
1,15.75,-4.9617504926259
1,16.25,-5.379327464165198
1,16.75,-5.786299129144647
1,17.25,-6.18301624730075
1,17.75,-6.569816860790195
1,18.25,-6.94702674294336
1,18.75,-7.314959554187763
1,19.25,-7.673917293365683
1,19.75,-8.024191156785086
1,20.25,-8.366061273503476
1,20.75,-8.69979671175782
1,21.25,-9.025657455428188
1,21.75,-9.343892475782956
1,22.25,-9.654744889910969
1,22.75,-9.958443612579195
1,23.25,-10.255209606153949
1,23.75,-10.54526256825519
1,24.25,-10.828803998635209
1,24.75,-11.10601982185134
1,25.25,-11.37714918742551
1,25.75,-11.642337728252615
1,26.25,-11.901719094541697
1,26.75,-12.155657245953142
1,27.25,-12.403944049333713
1,27.75,-12.647114625034344
1,28.25,-12.885169275432386
1,28.75,-13.117650732028057
1,29.25,-13.346249309113734
1,29.75,-13.56962598048954
1,30.25,-13.78922306144697
1,30.75,-14.001309531377311
1,31.25,-14.209374153701821
1,31.75,-14.415459104864597
1,32.25,-14.610956288668811
1,32.75,-14.80855812323869
1,33.25,-15.008301911820144
1,33.75,-15.19171498572204
1,34.25,-15.352406928888428
1,34.75,-15.542198259309275
1,35.25,-15.740929163134357
1,35.75,-15.965806889002806
1,36.25,-16.135067310898158
1,36.75,-16.224455258398567
1,37.25,-16.575890307326446
1,37.75,-16.85326576758894
1,38.25,-16.848946869401026
1,38.75,-17.496498449189485
1,39.25,-17.3885456257689
