hour,x,psi
0,0.25,53.9402952885448
0,0.75,44.32426936566022
0,1.25,35.86267558860844
0,1.75,28.8093485188112
0,2.25,22.90927246023201
0,2.75,17.958452962022783
0,3.25,13.792979703788918
0,3.75,10.280582169135327
0,4.25,7.3140799992496035
0,4.75,4.80628027378674
0,5.25,2.685984654428088
0,5.75,0.8948519169532272
0,6.25,-0.6150775243554154
0,6.75,-1.8833424371917236
0,7.25,-2.9426197437009645
0,7.75,-3.8199684410808654
0,8.25,-4.537825458904784
0,8.75,-5.11480532823365
0,9.25,-5.5663441151122965
0,9.75,-5.905219109239069
0,10.25,-6.141969034269466
0,10.75,-6.285234179723507
0,11.25,-6.342031797925545
0,11.75,-6.317978871541982
0,12.25,-6.217471863922789
0,12.75,-6.04383103870652
0,13.25,-5.799415411669994
0,13.75,-5.485713125947713
0,14.25,-5.103411013012307
0,14.75,-4.652446431551762
0,15.25,-4.669629244553197
0,15.75,-5.094507697824359
0,16.25,-5.512051498453725
0,16.75,-5.922368829880725
0,17.25,-6.3255815816698995
0,17.75,-6.721819260434437
0,18.25,-7.111214738655445
0,18.75,-7.493901399319916
0,19.25,-7.870011256144771
0,19.75,-8.239673817514134
0,20.25,-8.603015383678411
0,20.75,-8.96015871773438
0,21.25,-9.311222952960401
0,21.75,-9.656323582552005
0,22.25,-9.995572580660191
0,22.75,-10.329078551966855
0,23.25,-10.656946970294658
0,23.75,-10.979280283424883
0,24.25,-11.296178222876208
0,24.75,-11.60773782065084
0,25.25,-11.914053787950248
0,25.75,-12.215218361246336
0,26.25,-12.511321950355319
0,26.75,-12.802452337095948
0,27.25,-13.088696385345086
0,27.75,-13.370138306510158
0,28.25,-13.646860581440755
0,28.75,-13.918944140127431
0,29.25,-14.186468968682826
0,29.75,-14.449512372055663
0,30.25,-14.708152401019174
0,30.75,-14.962461186213057
0,31.25,-15.212514830862586
0,31.75,-15.458385446109034
0,32.25,-15.70014284733244
0,32.75,-15.93785850314963
0,33.25,-16.17160023968923
0,33.75,-16.401430537921314
0,34.25,-16.627423282494377
0,34.75,-16.849638747418453
0,35.25,-17.06815380915838
0,35.75,-17.283001850240296
0,36.25,-17.494268504532116
0,36.75,-17.70200096655272
0,37.25,-17.906296072416072
0,37.75,-18.107170093113282
0,38.25,-18.30463622215091
0,38.75,-18.498894648022368
0,39.25,-18.689849926384746
0,39.75,-18.87767048650145
0,40.25,-19.062276190691165
0,40.75,-19.243929517324524
0,41.25,-19.422426511567927
0,41.75,-19.597968344241366
0,42.25,-19.770768775528683
0,42.75,-19.940565786892883
0,43.25,-20.1074267739309
0,43.75,-20.27136987813698
0,44.25,-20.433094143017247
0,44.75,-20.591920663558426
0,45.25,-20.747209632472476
0,45.75,-20.90103676453273
0,46.25,-21.05233299223073
0,46.75,-21.200482063767687
0,47.25,-21.3460455420008
0,47.75,-21.489684411699056
0,48.25,-21.631372534511122
0,48.75,-21.769544299867814
0,49.25,-21.9037871140431
0,49.75,-22.03795900266496
0,50.25,-22.170335069757588
0,50.75,-22.300526279238042
0,51.25,-22.427507764075862
0,51.75,-22.55589821543113
0,52.25,-22.684178643361403
0,52.75,-22.793436248634176
0,53.25,-22.915113015823152
0,53.75,-23.017789187414667
0,54.25,-23.14675181155718
0,54.75,-23.25504321845352
0,55.25,-23.366046310251534
0,55.75,-23.49656662961767
0,56.25,-23.58822191480626
0,56.75,-23.743739599044282
0,57.25,-23.842110671068074
0,57.75,-23.97152960602665
0,58.25,-24.078202639671716
0,58.75,-24.28764369429807
0,59.25,-24.29093105976725
0,59.75,-24.460660936051074
1,0.25,65.85759502340322
1,0.75,54.14163456748972
1,1.25,43.8512695504494
1,1.75,35.2834501384382
1,2.25,28.114865899213093
1,2.75,22.09019059599178
1,3.25,17.006655895712484
1,3.75,12.702373737077835
