hour,x,psi
0,0.25,0.411245091380396
0,0.75,0.36400540141341065
0,1.25,0.31963170781231837
0,1.75,0.281180798502257
0,2.25,0.24759315744009186
0,2.75,0.2180075034714671
0,3.25,0.19171724498596135
0,3.75,0.168143587797029
0,4.25,0.14681871773630115
0,4.75,0.1273126043738339
0,5.25,0.10922311498010175
0,5.75,0.0922421510775311
0,6.25,0.0761256978829442
0,6.75,0.06062110645229936
0,7.25,0.045498115869269114
0,7.75,0.030480891072338638
0,8.25,0.01527145985644758
0,8.75,-0.00036559987364568036
0,9.25,-0.016713740700374107
0,9.75,-0.0341771231830403
0,10.25,-0.05328045811834519
0,10.75,-0.0746061601741013
0,11.25,-0.09864772929387712
0,11.75,-0.12621309534101965
0,12.25,-0.15906739327092095
0,12.75,-0.20293437191309233
0,13.25,-0.25600395530659303
0,13.75,-0.32538246210350585
0,14.25,-0.41249790922614316
0,14.75,-0.5210724513074061
0,15.25,-1.1691898537600793
0,15.75,-1.137957614319559
0,16.25,-1.1016771320752479
0,16.75,-1.0670393128738678
0,17.25,-1.033943076902292
0,17.75,-1.0022951668511966
0,18.25,-0.9720094309271159
0,18.75,-0.9430061801481692
0,19.25,-0.9152116132855704
0,19.75,-0.8885572984653566
0,20.25,-0.8629797082032797
0,20.75,-0.8384198009906808
0,21.25,-0.8148226411917698
0,21.75,-0.7921370600137378
0,22.25,-0.7703153431793918
0,22.75,-0.7493129541292278
0,23.25,-0.7290882772182548
0,23.75,-0.7096023916041392
0,24.25,-0.6908188616804654
0,24.75,-0.6727035320661735
0,25.25,-0.655224375135011
0,25.75,-0.6383513316064876
0,26.25,-0.6220561354087735
0,26.75,-0.6063122251979239
0,27.25,-0.5910945848205694
0,27.75,-0.5763796572397741
0,28.25,-0.5621452162826452
0,28.75,-0.5483703448433156
0,29.25,-0.5350351957036399
0,29.75,-0.5221211595444847
0,30.25,-0.5096105251042785
0,30.75,-0.49748654082403454
0,31.25,-0.48573344228998183
0,31.75,-0.47433602031921324
0,32.25,-0.463280622733678
0,32.75,-0.45255261289659526
0,33.25,-0.4421401949952349
0,33.75,-0.43203084551009235
0,34.25,-0.4222131386858291
0,34.75,-0.4126751480912048
0,35.25,-0.4034070477908941
0,35.75,-0.39440206765812313
0,36.25,-0.3856422186565939
0,36.75,-0.37712732179310215
0,37.25,-0.3688430509791482
0,37.75,-0.36078938953633155
0,38.25,-0.352949893381074
0,38.75,-0.3453337988031338
0,39.25,-0.3379044139897433
0,39.75,-0.3306850997830457
0,40.25,-0.32360176849765676
0,40.75,-0.31675449518909765
0,41.25,-0.31001517353301056
0,41.75,-0.303640220515418
0,42.25,-0.2970532736186305
0,42.75,-0.2905922597299279
0,43.25,-0.284231261106178
0,43.75,-0.27805469329640137
0,44.25,-0.2731164741055803
0,44.75,-0.2674948432355622
0,45.25,-0.26221672755047737
0,45.75,-0.25622252356968284
0,46.25,-0.2500469522578221
0,46.75,-0.24920497845508044
0,47.25,-0.24658207227183282
0,47.75,-0.24154845371921063
0,48.25,-0.23975388194816497
0,48.75,-0.2405947357794537
0,49.25,-0.24163145818865378
0,49.75,-0.23530653813165342
0,50.25,-0.24766743803182617
0,50.75,-0.23660149438619754
0,51.25,-0.2342591878197197
0,51.75,-0.22554691076998387
0,52.25,-0.1445651342559277
0,52.75,-0.08263383210727569
0,53.25,-0.12612008576660638
0,53.75,-0.12612008576660638
0,54.25,-0.12612008576660638
0,54.75,-0.12612008576660638
0,55.25,-0.12612008576660638
0,55.75,-0.12612008576660638
0,56.25,-0.12612008576660638
0,56.75,-0.12612008576660638
0,57.25,-0.12612008576660638
0,57.75,-0.12612008576660638
0,58.25,-0.12612008576660638
0,58.75,-0.12612008576660638
0,59.25,-0.12612008576660638
0,59.75,-0.12612008576660638
1,0.25,0.37087187406922356
1,0.75,0.31864073037295354
1,1.25,0.272604204918812
1,1.75,0.2345341976268269
1,2.25,0.20279665118223866
1,2.75,0.17611019788001112
1,3.25,0.1535189777833049
1,3.75,0.13423966645540275
1,4.25,0.11770827140263032
1,4.75,0.1033954578530261
1,5.25,0.09086644593694627
1,5.75,0.07980220580070628
1,6.25,0.0700736870683785
1,6.75,0.06145053590452208
1,7.25,0.053804550351522644
1,7.75,0.04686294561799622
1,8.25,0.04025553424703987
1,8.75,0.033716648324627604
1,9.25,0.02695459164367835
1,9.75,0.020185125608170918
1,10.25,0.012386142655846939
1,10.75,0.003509640272111034
1,11.25,-0.007148923884900873
1,11.75,-0.02060649244692725
1,12.25,-0.038497570518786196
1,12.75,-0.063305973895464
1,13.25,-0.09842629516950341
1,13.75,-0.14871927249757005
1,14.25,-0.21911482328790072
1,14.75,-0.3179843869219594
1,15.25,-0.9643025766964812
1,15.75,-0.9297631305453368
1,16.25,-0.8970051269281164
1,16.75,-0.8714967201324527
1,17.25,-0.8411981491477172
1,17.75,-0.8030254686025711
1,18.25,-0.7712432276427672
1,18.75,-0.7504919496234335
1,19.25,-0.7329280791034395
1,19.75,-0.715889506721059
1,20.25,-0.6993554728585861
1,20.75,-0.6833062599348405
1,21.25,-0.6677231369779698
1,21.75,-0.652588290689716
1,22.25,-0.6378848733457094
1,22.75,-0.6235966088307323
1,23.25,-0.609708404496273
1,23.75,-0.5962055217184732
1,24.25,-0.5830739046907265
1,24.75,-0.5703004698210722
