hour,x,psi
0,0.25,0.7583728833790289
0,0.75,0.7354988160869468
0,1.25,0.7038592310042361
0,1.75,0.6713919811407829
0,2.25,0.6380701854177679
0,2.75,0.6038660611902276
0,3.25,0.5687504915408128
0,3.75,0.5326925083325704
0,4.25,0.49565913927571453
0,4.75,0.4576417229734334
0,5.25,0.418703340052167
0,5.75,0.3787756286143077
0,6.25,0.337651478101156
0,6.75,0.29538929496932376
0,7.25,0.2523557287593062
0,7.75,0.20856525612941984
0,8.25,0.1640009768874772
0,8.75,0.11835872153672437
0,9.25,0.07112200973019146
0,9.75,0.022379555981268073
0,10.25,-0.027800993112507274
0,10.75,-0.07979851925414118
0,11.25,-0.1336981225735243
0,11.75,-0.18973618646598583
0,12.25,-0.2494316025882141
0,12.75,-0.31653641190276033
0,13.25,-0.38997333950871893
0,13.75,-0.470640477223497
0,14.25,-0.5614140222336854
0,14.75,-0.6632078988364785
0,15.25,-1.5538924397861302
0,15.75,-1.4639005595432568
0,16.25,-1.3764688278738348
0,16.75,-1.304739147459516
0,17.25,-1.2466956297605358
0,17.75,-1.1998912287335344
0,18.25,-1.1560189020138745
0,18.75,-1.1129545345593674
0,19.25,-1.0707982570215726
0,19.75,-1.0296330184895366
0,20.25,-0.989525811226721
0,20.75,-0.9505290035860329
0,21.25,-0.9126817223543457
0,21.75,-0.8760112397487702
0,22.25,-0.8405343285720801
0,22.75,-0.80625856069108
0,23.25,-0.7731835290139039
0,23.75,-0.7413019832165065
0,24.25,-0.7106008703526271
0,24.75,-0.6810622811018557
0,25.25,-0.6526642983065504
0,25.75,-0.6253817546490261
0,26.25,-0.5991869019928839
0,26.75,-0.5740499982927364
0,27.25,-0.5499398182437094
0,27.75,-0.526824095609456
0,28.25,-0.5046699017018146
0,28.75,-0.48344396819047697
0,29.25,-0.4631129592480548
0,29.75,-0.443643699981129
0,30.25,-0.4250033630953479
0,30.75,-0.40715963081811274
0,31.25,-0.3900808047959086
0,31.75,-0.3737359285711052
0,32.25,-0.3580948300786121
0,32.75,-0.3431282187550931
0,33.25,-0.3288077103851712
0,33.75,-0.31510583018900057
0,34.25,-0.30199608668534744
0,34.75,-0.2894529153372049
0,35.25,-0.2774517446084446
0,35.75,-0.26596887351629717
0,36.25,-0.25498166017436563
0,36.75,-0.24446829295370268
0,37.25,-0.234407936166488
0,37.75,-0.22478042248537644
0,38.25,-0.2155667224832225
0,38.75,-0.20674838899521653
0,39.25,-0.1983081374223742
0,39.75,-0.19022923790757523
0,40.25,-0.18249479952478542
0,40.75,-0.17509055758689215
0,41.25,-0.1680016929164139
0,41.75,-0.16121364978852387
0,42.25,-0.154712949012473
0,42.75,-0.14848912944515277
0,43.25,-0.1425273422023284
0,43.75,-0.1368172347713153
0,44.25,-0.1313476756149174
0,44.75,-0.12610637042428385
0,45.25,-0.12108293352382175
0,45.75,-0.11627028504699143
0,46.25,-0.11166287011517285
0,46.75,-0.10724481008464352
0,47.25,-0.1030081987250375
0,47.75,-0.09894498797917449
0,48.25,-0.09506306580115309
0,48.75,-0.0913199577719235
0,49.25,-0.087747326741965
0,49.75,-0.08431842852990874
0,50.25,-0.08103886820219232
0,50.75,-0.07783493499352558
0,51.25,-0.07487832444781785
0,51.75,-0.07196285749255703
0,52.25,-0.06929030661828475
0,52.75,-0.06657050628713836
0,53.25,-0.06388263744435357
0,53.75,-0.06154374111536105
0,54.25,-0.05902847854139617
0,54.75,-0.05658638625387149
0,55.25,-0.05357392761597844
0,55.75,-0.051690372319646655
0,56.25,-0.04925490454860094
0,56.75,-0.048622666995576345
0,57.25,-0.04645459229638951
0,57.75,-0.04476765602186596
0,58.25,-0.04328383495861295
0,58.75,-0.042031616688000546
0,59.25,-0.04513875321044843
0,59.75,-0.044873220907677994
1,0.25,0.8097213170223779
1,0.75,0.789094281208297
1,1.25,0.7590021888258252
1,1.75,0.727932583828621
1,2.25,0.6958410267000942
1,2.75,0.6627041666622119
1,3.25,0.6285641754783079
1,3.75,0.593367237351578
1,4.25,0.5569775236766971
1,4.75,0.5194866062531844
1,5.25,0.4814891290630973
1,5.75,0.4429818775946462
1,6.25,0.40371798356455774
1,6.75,0.36350758453287824
1,7.25,0.3221495031348291
1,7.75,0.27959895176492366
1,8.25,0.23611194138515174
1,8.75,0.19147448260896657
1,9.25,0.14533841525325197
1,9.75,0.097176972484995
1,10.25,0.04632829973756336
1,10.75,-0.008272958891863956
1,11.25,-0.06761841119683638
1,11.75,-0.13342591456300376
1,12.25,-0.20524995738174384
1,12.75,-0.2830564338243815
1,13.25,-0.3700242487661634
1,13.75,-0.4703856554208824
1,14.25,-0.5939500519753182
1,14.75,-0.7487239396276192
1,15.25,-1.6887301147650193
1,15.75,-1.6261873336962267
1,16.25,-1.5495820649993088
1,16.75,-1.472395291405167
1,17.25,-1.4098009819181871
1,17.75,-1.3621499249216513
1,18.25,-1.3104338074655444
1,18.75,-1.2483440933030927
1,19.25,-1.1727318305236751
1,19.75,-1.08666914729887
1,20.25,-1.0084386029563417
1,20.75,-0.942063309901326
1,21.25,-0.887444534510965
1,21.75,-0.8422538004781849
1,22.25,-0.7958231949521418
1,22.75,-0.7471478189762706
1,23.25,-0.7077846090354721
1,23.75,-0.679699485642681
1,24.25,-0.6547143078998883
1,24.75,-0.6304411854108855
1,25.25,-0.6068870415446774
1,25.75,-0.5840546625228541
1,26.25,-0.5619432255354062
1,26.75,-0.540548767462628
1,27.25,-0.5198646194624272
1,27.75,-0.499881798285928
1,28.25,-0.4805893710566851
1,28.75,-0.46197475856811804
1,29.25,-0.4440241014004502
1,29.75,-0.42672237660410023
1,30.25,-0.4100537825632836
1,30.75,-0.39400175588068137
1,31.25,-0.3785492382527963
1,31.75,-0.3636791111744346
1,32.25,-0.34937371920229704
1,32.75,-0.3356155789905714
1,33.25,-0.3223866737844144
1,33.75,-0.3096699177142833
1,34.25,-0.2974482840149902
1,34.75,-0.2857047665233479
1,35.25,-0.2744214148808441
1,35.75,-0.26358128637253
1,36.25,-0.2531679291171695
1,36.75,-0.2431746211753743
1,37.25,-0.2335744833961999
1,37.75,-0.22434449729984654
1,38.25,-0.21549553827720574
1,38.75,-0.2069963893299507
1,39.25,-0.19885969761376845
1,39.75,-0.19100025323828979
1,40.25,-0.18353698451931427
1,40.75,-0.17634955364675142
1,41.25,-0.1694589108292832
1,41.75,-0.16266941422662945
1,42.25,-0.15624788009330243
1,42.75,-0.15002149904911455
1,43.25,-0.14433048790043307
1,43.75,-0.13890877445183908
1,44.25,-0.13282083616153761
1,44.75,-0.1268897678621389
1,45.25,-0.1217104669821437
1,45.75,-0.118892362405628
1,46.25,-0.11296725025469408
1,46.75,-0.10886806527736795
1,47.25,-0.10446178964411128
1,47.75,-0.09839210642347208
1,48.25,-0.09482450248489963
1,48.75,-0.09922670150269655
1,49.25,-0.09300738563475398
1,49.75,-0.08491115397973234
1,50.25,-0.07182474747137861
1,50.75,-0.08754294511573218
1,51.25,-0.1334575513364887
1,51.75,-0.08482208990764874
1,52.25,0.0
1,52.75,0.0
1,53.25,0.0
1,53.75,0.0
1,54.25,0.0
1,54.75,0.0
1,55.25,0.0
1,55.75,0.0
1,56.25,0.0
1,56.75,0.0
1,57.25,0.0
1,57.75,0.0
1,58.25,0.0
1,58.75,0.0
1,59.25,0.0
1,59.75,0.0
2,0.25,0.8073362459080008
2,0.75,0.7929522366538102
2,1.25,0.7691672899233208
2,1.75,0.7444223212553702
2,2.25,0.718773908396317
2,2.75,0.6921973697415186
2,3.25,0.6646414735953353
2,3.75,0.6360218798268165
2,4.25,0.6061754671824159
2,4.75,0.5750993373755514
2,5.25,0.5430768740797848
2,5.75,0.5099949990134168
2,6.25,0.47534428835534864
2,6.75,0.43914209748115374
2,7.25,0.40204078325100184
2,7.75,0.363983900476643
2,8.25,0.3244913130368384
2,8.75,0.28351410070752786
2,9.25,0.24145297122144024
2,9.75,0.19811373385301298
2,10.25,0.15317231437376344
2,10.75,0.10659382625393171
2,11.25,0.0564091013389471
2,11.75,0.0032438833614555312
2,12.25,-0.053275744897556036
2,12.75,-0.11370813235119996
2,13.25,-0.1789573729398867
2,13.75,-0.24991940155131356
2,14.25,-0.3266103399157849
2,14.75,-0.409533257875753
2,15.25,-1.3113955534327335
2,15.75,-1.2700535283434404
2,16.25,-1.2221566174583596
2,16.75,-1.1765109679011883
2,17.25,-1.130448271666636
2,17.75,-1.0840894433852908
2,18.25,-1.0406015241982705
2,18.75,-1.000097895057973
2,19.25,-0.9596201831200146
2,19.75,-0.9186752679524375
2,20.25,-0.8783093251703062
2,20.75,-0.8392677534827275
2,21.25,-0.8035979979589127
2,21.75,-0.7699195727834854
2,22.25,-0.7303308726769198
2,22.75,-0.6856090848406307
2,23.25,-0.6469062177290553
2,23.75,-0.6168231511318562
2,24.25,-0.5958181109898072
2,24.75,-0.5819594253999538
2,25.25,-0.5653279226141902
2,25.75,-0.5440957857802893
2,26.25,-0.5225122458948656
2,26.75,-0.5017088140556449
2,27.25,-0.4816700308444855
2,27.75,-0.4623788480653878
2,28.25,-0.4438169523516343
2,28.75,-0.4259650561875065
2,29.25,-0.4088031439183503
2,29.75,-0.39231069361257515
2,30.25,-0.37646686705729904
2,30.75,-0.3612506728864154
2,31.25,-0.3466410954249103
2,31.75,-0.33261723169186336
2,32.25,-0.31915837069121794
2,32.75,-0.3062440884336404
2,33.25,-0.2938543099632034
2,33.75,-0.2819693659861728
2,34.25,-0.27057003876458463
2,34.75,-0.25963759243888107
2,35.25,-0.24915381173643997
2,35.75,-0.23910097798100263
2,36.25,-0.2294619542092743
2,36.75,-0.22022014273601592
2,37.25,-0.21135945970404785
2,37.75,-0.20286447629465998
2,38.25,-0.19472015314461286
2,38.75,-0.18691216292569426
2,39.25,-0.17942655545424677
2,39.75,-0.17225011366366952
2,40.25,-0.16536979188736944
2,40.75,-0.15877349217879122
