hour,x,psi
0,0.25,0.6979229573804352
0,0.75,0.6601107027245948
0,1.25,0.6181957787109511
0,1.75,0.5791930593688831
0,2.25,0.5427459159052193
0,2.75,0.5085848757593967
0,3.25,0.47661886656057717
0,3.75,0.4465343820710737
0,4.25,0.41778415716553874
0,4.75,0.39010488807550636
0,5.25,0.3633960753992442
0,5.75,0.33753291780755246
0,6.25,0.3125426140135645
0,6.75,0.28826032967335086
0,7.25,0.26450531937648825
0,7.75,0.24106957037004598
0,8.25,0.21782186758216784
0,8.75,0.194354642793468
0,9.25,0.16982873468085732
0,9.75,0.14406417614390074
0,10.25,0.1174709213742906
0,10.75,0.08955354045220494
0,11.25,0.05934207963169009
0,11.75,0.02621536697062949
0,12.25,-0.010412198709992616
0,12.75,-0.05120419424103945
0,13.25,-0.09808683306920465
0,13.75,-0.15058020668095654
0,14.25,-0.2088838122676853
0,14.75,-0.27595009710587753
0,15.25,-0.8963336736098835
0,15.75,-0.8763320544424282
0,16.25,-0.8509987304402883
0,16.75,-0.8266761692080833
0,17.25,-0.8033095942957229
0,17.75,-0.7808480338450567
0,18.25,-0.7592439992789218
0,18.75,-0.738453195285791
0,19.25,-0.7184342581415614
0,19.75,-0.6991485187605841
0,20.25,-0.6805597891752266
0,20.75,-0.6626341674101025
0,21.25,-0.6453398619735266
0,21.75,-0.6286470312506872
0,22.25,-0.6125276374769134
0,22.75,-0.5969553138002343
0,23.25,-0.5819052426571638
0,23.75,-0.5673540456450681
0,24.25,-0.5532796800448962
0,24.75,-0.5396613483962739
0,25.25,-0.526479411291915
0,25.75,-0.5137153080803966
0,26.25,-0.501351485705569
0,26.75,-0.48937133537514105
0,27.25,-0.4777591223396826
0,27.75,-0.46649993898133013
0,28.25,-0.45557965061750405
0,28.75,-0.44498483525426796
0,29.25,-0.4347027605221662
0,29.75,-0.424721316312882
0,30.25,-0.41502901036413364
0,30.75,-0.40561487886963443
0,31.25,-0.3964685255852612
0,31.75,-0.38758002130903313
0,32.25,-0.3789399221314865
0,32.75,-0.3705391989828268
0,33.25,-0.3623692819753128
0,33.75,-0.35442196752295047
0,34.25,-0.346689435193923
0,34.75,-0.33916416619672307
0,35.25,-0.3318390811281023
0,35.75,-0.324707235201695
0,36.25,-0.3177621750235574
0,36.75,-0.3109976544367484
0,37.25,-0.304407668702372
0,37.75,-0.29798654518330825
0,38.25,-0.2917286049387508
0,38.75,-0.2856286789633054
0,39.25,-0.2796818945999913
0,39.75,-0.2738830654413415
0,40.25,-0.26822776756006234
0,40.75,-0.26271127840259734
0,41.25,-0.2573303988856014
0,41.75,-0.2520788086936881
0,42.25,-0.24695425988713854
0,42.75,-0.24195210451487267
0,43.25,-0.23707045080032899
0,43.75,-0.2323030618031318
0,44.25,-0.22764967044534776
0,44.75,-0.2230974658763823
0,45.25,-0.2186626881054287
0,45.75,-0.2143223091353828
0,46.25,-0.21008948680149256
0,46.75,-0.2059525506495024
0,47.25,-0.20190679734181652
0,47.75,-0.19794758596129464
0,48.25,-0.19408224180391648
0,48.75,-0.19030721530053044
0,49.25,-0.18660858199169597
0,49.75,-0.18300787386956183
0,50.25,-0.17948069533735703
0,50.75,-0.17604852286175157
0,51.25,-0.17264102547119306
0,51.75,-0.16931303712021248
0,52.25,-0.1660515402204265
0,52.75,-0.1628140565535191
0,53.25,-0.15975211107154996
0,53.75,-0.15669010616650852
0,54.25,-0.15341368981291628
0,54.75,-0.15087520191890771
0,55.25,-0.1478630401476546
0,55.75,-0.1450713912251837
0,56.25,-0.14242755143199023
