hour,x,psi
0,0.25,0.7284569761970434
0,0.75,0.7003386312704013
0,1.25,0.6618691637737418
0,1.75,0.6219124005910838
0,2.25,0.5818597455641066
0,2.75,0.5427446484077456
0,3.25,0.5052602726966642
0,3.75,0.46971047443866576
0,4.25,0.43609253834131273
0,4.75,0.40438379342387587
0,5.25,0.3745390101501782
0,5.75,0.34647177853532635
0,6.25,0.32021135198397976
0,6.75,0.2954968567327738
0,7.25,0.2717922165964491
0,7.75,0.24893678572199207
0,8.25,0.2271837720135047
0,8.75,0.20621019020438616
0,9.25,0.18514796362479394
0,9.75,0.1638198435186318
0,10.25,0.14266713695161065
0,10.75,0.12129612605407762
0,11.25,0.09870473834083975
0,11.75,0.0745367713522004
0,12.25,0.0487156573521248
0,12.75,0.019220615424984343
0,13.25,-0.01033353006307351
0,13.75,-0.04603992117815427
0,14.25,-0.08728379900246565
0,14.75,-0.13494128616663267
0,15.25,-0.6835660994971415
0,15.75,-0.6663584392809938
0,16.25,-0.6444109082996899
0,16.75,-0.6235535355837978
0,17.25,-0.6037147516721281
0,17.75,-0.5848286252360408
0,18.25,-0.5668343703069927
0,18.75,-0.5496758968911167
0,19.25,-0.5333014022305268
0,19.75,-0.5176629995362095
0,20.25,-0.5027163799274573
0,20.75,-0.4884205066658959
0,21.25,-0.4747373370868797
0,21.75,-0.4616315702315757
0,22.25,-0.4490704180335106
0,22.75,-0.4370233967476416
0,23.25,-0.42546214013169725
0,23.75,-0.41436022367876724
0,24.25,-0.40369301406305547
0,24.75,-0.39343752073013505
0,25.25,-0.38357227234265434
0,25.75,-0.3740771955405393
0,26.25,-0.3649335102956827
0,26.75,-0.35612362297431777
0,27.25,-0.34763105043351245
0,27.75,-0.3394403329215898
0,28.25,-0.33153693879859314
0,28.75,-0.32390723686060774
0,29.25,-0.31653839955241736
0,29.75,-0.30941834537936347
0,30.25,-0.30253572101074144
0,30.75,-0.29587980914769996
0,31.25,-0.2894404797467974
0,31.75,-0.2832082340226741
0,32.25,-0.27717407670609656
0,32.75,-0.2713294115711401
0,33.25,-0.2656662693783675
0,33.75,-0.2601770187490255
0,34.25,-0.25485443598091406
0,34.75,-0.24969159763675636
0,35.25,-0.2446820587062685
0,35.75,-0.2398198192020577
0,36.25,-0.23509886221896584
0,36.75,-0.23051379282502749
0,37.25,-0.22605943215055926
0,37.75,-0.22173040636837613
0,38.25,-0.21752208499945036
0,38.75,-0.21342916971118853
0,39.25,-0.2094506431144633
0,39.75,-0.20557799480344718
0,40.25,-0.20180904362447027
0,40.75,-0.19814131016588057
0,41.25,-0.19456919843564663
0,41.75,-0.1910894695005802
0,42.25,-0.187699943873793
0,42.75,-0.18439433416325335
0,43.25,-0.1811772801037203
0,43.75,-0.17804554498187086
0,44.25,-0.1749804107281574
0,44.75,-0.1719918769344337
0,45.25,-0.1690873556399947
0,45.75,-0.1662650255349965
0,46.25,-0.16348349652615785
0,46.75,-0.16078324502503874
0,47.25,-0.15811642614062302
0,47.75,-0.1555803497536149
0,48.25,-0.15303896671121098
0,48.75,-0.15057912053508657
0,49.25,-0.14829404529095055
0,49.75,-0.14581887111237782
0,50.25,-0.14379048211101358
0,50.75,-0.14133573522214504
0,51.25,-0.13909095182392797
0,51.75,-0.13657122004426672
0,52.25,-0.13452978365048304
0,52.75,-0.13240605980201745
0,53.25,-0.1305898704214898
0,53.75,-0.12760700643027204
0,54.25,-0.12604794743231443
0,54.75,-0.12432664556575862
0,55.25,-0.12306327146246772
0,55.75,-0.12238527513403416
0,56.25,-0.12028242586392388
0,56.75,-0.11916645298002253
0,57.25,-0.11605470550634857
0,57.75,-0.11042116018970179
0,58.25,-0.11227602842421346
0,58.75,-0.11069606215269083
0,59.25,-0.10909390701579223
0,59.75,-0.11660200222110145
1,0.25,0.742408199355689
1,0.75,0.7101162037488435
