hour,x,psi
0,0.25,0.7290493098921506
0,0.75,0.7010089162537404
0,1.25,0.662610589337006
0,1.75,0.6227243952633431
0,2.25,0.5827428553209929
0,2.75,0.5437005421246898
0,3.25,0.5062911997118364
0,3.75,0.47082046031702357
0,4.25,0.4372885921228542
0,4.75,0.4056744912672825
0,5.25,0.375933860565233
0,5.75,0.3479438977921674
0,6.25,0.3215901350750642
0,6.75,0.2966620790673651
0,7.25,0.27288790678403985
0,7.75,0.2500762696740481
0,8.25,0.22817370174181048
0,8.75,0.2069308122062239
0,9.25,0.1859632746806006
0,9.75,0.16499134362612058
0,10.25,0.14378684878768272
0,10.75,0.12199840078221037
0,11.25,0.09911003189111894
0,11.75,0.07481974623992131
0,12.25,0.04894774091201826
0,12.75,0.020936327732188197
0,13.25,-0.01013183164889809
0,13.75,-0.045298781264499814
0,14.25,-0.08578276420304908
0,14.75,-0.13304829134596116
0,15.25,-0.6816114098865752
0,15.75,-0.664532215187033
0,16.25,-0.6427012379411221
0,16.75,-0.6219514033500653
0,17.25,-0.6022119623816589
0,17.75,-0.5834177193981038
0,18.25,-0.565508548451237
0,18.75,-0.5484289532063054
0,19.25,-0.5321276652334559
0,19.75,-0.5165572790022983
0,20.25,-0.501673920450207
0,20.75,-0.48743694580754265
0,21.25,-0.47380866825746354
0,21.75,-0.46075410854189974
0,22.25,-0.44824077112678934
0,22.75,-0.43623843877512264
0,23.25,-0.4247189854111061
0,23.75,-0.4136562085105018
0,24.25,-0.40302567373926457
0,24.75,-0.3928045754353153
0,25.25,-0.38297160895222726
0,25.75,-0.37350685548623175
0,26.25,-0.36439167109685316
0,26.75,-0.3556085973194907
0,27.25,-0.34714126750235214
0,27.75,-0.3389743227862802
0,28.25,-0.33109334506300026
0,28.75,-0.3234847869540049
0,29.25,-0.316135906730189
0,29.75,-0.30903470020156826
0,30.25,-0.30216988590376725
0,30.75,-0.2955308172907761
0,31.25,-0.2891074538841225
0,31.75,-0.28289027976716424
0,32.25,-0.27687038104177963
0,32.75,-0.271039300006942
0,33.25,-0.26538900637564633
0,33.75,-0.2599119105468032
0,34.25,-0.25460089992451007
0,34.75,-0.2494490613226363
0,35.25,-0.24445008061055012
0,35.75,-0.2395975845360409
0,36.25,-0.23488628244862506
0,36.75,-0.2303101763289541
0,37.25,-0.22586417939963557
0,37.75,-0.22154308996288608
0,38.25,-0.21734295552212057
0,38.75,-0.213257746485694
0,39.25,-0.20928536636989717
0,39.75,-0.20541893940607303
0,40.25,-0.201656605232739
0,40.75,-0.19799322274482714
0,41.25,-0.19442538155336803
0,41.75,-0.19095668092833298
