office,patience,plan_type,waiting_walkins,late_share,auc_twin,auc_count,auc_gap,brier_twin,worst_decile_gap
R4_S8_A0.6,exp30,lean,266207,0.0412,0.9159,0.9151,0.0009,0.03064,0.003
R4_S8_A0.6,exp30,safe,225897,0.0203,0.9199,0.9202,-0.0003,0.01673,0.0053
R4_S8_A0.6,logn30,lean,284749,0.1222,0.9381,0.9286,0.0095,0.0594,0.0042
R4_S8_A0.6,logn30,safe,241241,0.0676,0.9448,0.9334,0.0113,0.0386,0.0023
R4_S8_A0.6,logn30cv15,lean,270320,0.031,0.9072,0.9034,0.0038,0.02506,0.02
R4_S8_A0.6,logn30cv15,safe,230711,0.0168,0.9189,0.9144,0.0045,0.01439,0.0012
R16_S16_A0.6,exp30,lean,642801,0.0549,0.9484,0.9357,0.0128,0.03386,0.0049
R16_S16_A0.6,exp30,safe,522968,0.0125,0.9575,0.9445,0.013,0.00983,0.0017
R16_S16_A0.6,logn30,lean,534460,0.1183,0.9625,0.9471,0.0154,0.04763,0.0059
R16_S16_A0.6,logn30,safe,527477,0.0702,0.9643,0.945,0.0193,0.03408,0.0052
R16_S16_A0.6,logn30cv15,lean,669510,0.0433,0.9386,0.9223,0.0162,0.03003,0.003
R16_S16_A0.6,logn30cv15,safe,553981,0.0102,0.9499,0.9367,0.0132,0.00856,0.001
