office,patience,plan_type,decile,predicted,observed,n
R4_S8_A0.6,exp30,lean,1,0.0,0.0013,26621
R4_S8_A0.6,exp30,lean,2,0.0,0.0013,26621
R4_S8_A0.6,exp30,lean,3,0.0,0.0013,26621
R4_S8_A0.6,exp30,lean,4,0.0,0.0012,26621
R4_S8_A0.6,exp30,lean,5,0.0022,0.0028,26621
R4_S8_A0.6,exp30,lean,6,0.0056,0.0068,26621
R4_S8_A0.6,exp30,lean,7,0.0132,0.0143,26621
R4_S8_A0.6,exp30,lean,8,0.0305,0.0308,26620
R4_S8_A0.6,exp30,lean,9,0.0764,0.0769,26620
R4_S8_A0.6,exp30,lean,10,0.2783,0.2753,26620
R4_S8_A0.6,exp30,safe,1,0.0,0.0007,22590
R4_S8_A0.6,exp30,safe,2,0.0,0.0007,22590
R4_S8_A0.6,exp30,safe,3,0.0,0.0009,22590
R4_S8_A0.6,exp30,safe,4,0.0,0.0013,22590
R4_S8_A0.6,exp30,safe,5,0.0,0.0009,22590
R4_S8_A0.6,exp30,safe,6,0.0009,0.0019,22590
R4_S8_A0.6,exp30,safe,7,0.0044,0.0055,22590
R4_S8_A0.6,exp30,safe,8,0.011,0.0107,22589
R4_S8_A0.6,exp30,safe,9,0.031,0.0323,22589
R4_S8_A0.6,exp30,safe,10,0.1533,0.148,22589
R4_S8_A0.6,logn30,lean,1,0.0,0.001,28475
R4_S8_A0.6,logn30,lean,2,0.0,0.0007,28475
R4_S8_A0.6,logn30,lean,3,0.0,0.0008,28475
R4_S8_A0.6,logn30,lean,4,0.0015,0.0026,28475
R4_S8_A0.6,logn30,lean,5,0.0065,0.006,28475
R4_S8_A0.6,logn30,lean,6,0.0194,0.02,28475
R4_S8_A0.6,logn30,lean,7,0.0523,0.0509,28475
R4_S8_A0.6,logn30,lean,8,0.1323,0.1326,28475
R4_S8_A0.6,logn30,lean,9,0.3132,0.3168,28475
R4_S8_A0.6,logn30,lean,10,0.6946,0.6905,28474
R4_S8_A0.6,logn30,safe,1,0.0,0.0005,24125
R4_S8_A0.6,logn30,safe,2,0.0,0.0011,24124
R4_S8_A0.6,logn30,safe,3,0.0,0.0007,24124
R4_S8_A0.6,logn30,safe,4,0.0,0.0007,24124
R4_S8_A0.6,logn30,safe,5,0.0008,0.0013,24124
R4_S8_A0.6,logn30,safe,6,0.0051,0.005,24124
R4_S8_A0.6,logn30,safe,7,0.0149,0.0139,24124
R4_S8_A0.6,logn30,safe,8,0.0439,0.0462,24124
R4_S8_A0.6,logn30,safe,9,0.1318,0.13,24124
R4_S8_A0.6,logn30,safe,10,0.4763,0.4762,24124
R4_S8_A0.6,logn30cv15,lean,1,0.0,0.0009,27032
R4_S8_A0.6,logn30cv15,lean,2,0.0,0.001,27032
R4_S8_A0.6,logn30cv15,lean,3,0.0,0.001,27032
R4_S8_A0.6,logn30cv15,lean,4,0.0,0.0011,27032
R4_S8_A0.6,logn30cv15,lean,5,0.002,0.0023,27032
R4_S8_A0.6,logn30cv15,lean,6,0.0053,0.0048,27032
R4_S8_A0.6,logn30cv15,lean,7,0.0118,0.0129,27032
