office,patience,plan_type,regime,best_twin_q,best_count_cutoff,fail,share_of_oracle_gain,told_per_day,lost_min_per_arrival,d_H,d_H_lo,d_H_hi,d_O-M15,d_O-M15_lo,d_O-M15_hi,d_Tbest,d_Tbest_lo,d_Tbest_hi,d_C0best,d_C0best_lo,d_C0best_hi,d_B1,d_B1_lo,d_B1_hi
R4_S8_A0.6,exp30,lean,H,0.7,15.0,0.09774,0.0,0.0,2.547,0.0,0.0,0.0,2.229,1.952,2.506,0.378,0.225,0.531,0.413,0.245,0.581,0.393,0.244,0.542
R4_S8_A0.6,exp30,lean,O-M15,0.7,15.0,0.08846,1.0,21.238,2.019,-2.229,-2.506,-1.952,0.0,0.0,0.0,-1.851,-2.052,-1.65,-1.816,-2.015,-1.617,-1.836,-2.041,-1.631
R4_S8_A0.6,exp30,lean,Tbest,0.7,15.0,0.09617,0.17,1.987,2.376,-0.378,-0.531,-0.225,1.851,1.65,2.052,0.0,0.0,0.0,0.035,-0.092,0.162,0.015,-0.084,0.114
R4_S8_A0.6,exp30,lean,C0best,0.7,15.0,0.09602,0.185,2.204,2.354,-0.413,-0.581,-0.245,1.816,1.617,2.015,-0.035,-0.162,0.092,0.0,0.0,0.0,-0.02,-0.152,0.112
R4_S8_A0.6,exp30,lean,B1,0.7,15.0,0.0961,0.176,1.648,2.399,-0.393,-0.542,-0.244,1.836,1.631,2.041,-0.015,-0.114,0.084,0.02,-0.112,0.152,0.0,0.0,0.0
R4_S8_A0.6,exp30,lean,Bstar,0.7,15.0,0.09619,0.167,3.885,2.205,-0.372,-0.612,-0.132,1.857,1.68,2.034,0.006,-0.16,0.172,0.041,-0.128,0.21,0.021,-0.139,0.181
R4_S8_A0.6,exp30,safe,H,0.7,17.5,0.06739,0.0,0.0,1.869,0.0,0.0,0.0,0.909,0.758,1.06,0.063,-0.006,0.132,0.058,0.005,0.111,0.044,-0.008,0.096
R4_S8_A0.6,exp30,safe,O-M15,0.7,17.5,0.0636,1.0,15.271,1.572,-0.909,-1.06,-0.758,0.0,0.0,0.0,-0.846,-0.972,-0.72,-0.851,-0.981,-0.721,-0.865,-1.002,-0.728
R4_S8_A0.6,exp30,safe,Tbest,0.7,17.5,0.06713,0.069,0.621,1.819,-0.063,-0.132,0.006,0.846,0.72,0.972,0.0,0.0,0.0,-0.005,-0.059,0.049,-0.019,-0.064,0.026
R4_S8_A0.6,exp30,safe,C0best,0.7,17.5,0.06715,0.064,0.385,1.835,-0.058,-0.111,-0.005,0.851,0.721,0.981,0.005,-0.049,0.059,0.0,0.0,0.0,-0.014,-0.065,0.037
R4_S8_A0.6,exp30,safe,B1,0.7,17.5,0.06721,0.048,0.36,1.839,-0.044,-0.096,0.008,0.865,0.728,1.002,0.019,-0.026,0.064,0.014,-0.037,0.065,0.0,0.0,0.0
R4_S8_A0.6,exp30,safe,Bstar,0.7,17.5,0.06743,-0.011,1.306,1.759,0.01,-0.094,0.114,0.919,0.802,1.036,0.073,-0.015,0.161,0.068,-0.018,0.154,0.054,-0.033,0.141
R4_S8_A0.6,logn30,lean,H,0.7,12.5,0.07732,0.0,0.0,4.191,0.0,0.0,0.0,10.209,9.428,10.99,4.734,4.157,5.311,4.638,3.991,5.285,4.766,4.212,5.32
R4_S8_A0.6,logn30,lean,O-M15,0.7,12.5,0.0348,1.0,8.356,3.06,-10.209,-10.99,-9.428,0.0,0.0,0.0,-5.475,-5.846,-5.104,-5.571,-5.904,-5.238,-5.443,-5.829,-5.057
R4_S8_A0.6,logn30,lean,Tbest,0.7,12.5,0.05761,0.464,7.277,3.071,-4.734,-5.311,-4.157,5.475,5.104,5.846,0.0,0.0,0.0,-0.096,-0.349,0.157,0.032,-0.159,0.223
R4_S8_A0.6,logn30,lean,C0best,0.7,12.5,0.05801,0.454,8.733,2.823,-4.638,-5.285,-3.991,5.571,5.238,5.904,0.096,-0.157,0.349,0.0,0.0,0.0,0.128,-0.153,0.409
R4_S8_A0.6,logn30,lean,B1,0.7,12.5,0.05747,0.467,6.114,3.223,-4.766,-5.32,-4.212,5.443,5.057,5.829,-0.032,-0.223,0.159,-0.128,-0.409,0.153,0.0,0.0,0.0
R4_S8_A0.6,logn30,lean,Bstar,0.7,12.5,0.05783,0.458,10.037,2.605,-4.68,-5.363,-3.997,5.529,5.231,5.827,0.054,-0.212,0.32,-0.042,-0.285,0.201,0.086,-0.201,0.373
R4_S8_A0.6,logn30,safe,H,0.7,15.0,0.03539,0.0,0.0,2.89,0.0,0.0,0.0,4.286,3.807,4.765,1.255,0.935,1.575,0.957,0.68,1.234,1.204,0.926,1.482
R4_S8_A0.6,logn30,safe,O-M15,0.7,15.0,0.01754,1.0,4.212,2.359,-4.286,-4.765,-3.807,0.0,0.0,0.0,-3.031,-3.308,-2.754,-3.329,-3.637,-3.021,-3.082,-3.384,-2.78
R4_S8_A0.6,logn30,safe,Tbest,0.7,15.0,0.03017,0.293,3.249,2.416,-1.255,-1.575,-0.935,3.031,2.754,3.308,0.0,0.0,0.0,-0.298,-0.46,-0.136,-0.051,-0.181,0.079
R4_S8_A0.6,logn30,safe,C0best,0.7,15.0,0.03141,0.223,2.682,2.482,-0.957,-1.234,-0.68,3.329,3.021,3.637,0.298,0.136,0.46,0.0,0.0,0.0,0.247,0.09,0.404
R4_S8_A0.6,logn30,safe,B1,0.7,15.0,0.03038,0.281,2.369,2.535,-1.204,-1.482,-0.926,3.082,2.78,3.384,0.051,-0.079,0.181,-0.247,-0.404,-0.09,0.0,0.0,0.0
R4_S8_A0.6,logn30,safe,Bstar,0.7,15.0,0.03173,0.205,4.907,2.158,-0.879,-1.268,-0.49,3.407,3.171,3.643,0.376,0.19,0.562,0.078,-0.15,0.306,0.325,0.119,0.531
R4_S8_A0.6,logn30cv15,lean,H,0.7,17.5,0.08986,0.0,0.0,2.58,0.0,0.0,0.0,1.504,1.299,1.709,0.121,0.027,0.215,0.161,0.07,0.252,0.174,0.072,0.276
R4_S8_A0.6,logn30cv15,lean,O-M15,0.7,17.5,0.08359,1.0,20.07,2.038,-1.504,-1.709,-1.299,0.0,0.0,0.0,-1.383,-1.559,-1.207,-1.343,-1.515,-1.171,-1.33,-1.496,-1.164
R4_S8_A0.6,logn30cv15,lean,Tbest,0.7,17.5,0.08935,0.08,1.352,2.479,-0.121,-0.215,-0.027,1.383,1.207,1.559,0.0,0.0,0.0,0.04,-0.04,0.12,0.053,-0.032,0.138
R4_S8_A0.6,logn30cv15,lean,C0best,0.7,17.5,0.08919,0.107,1.08,2.495,-0.161,-0.252,-0.07,1.343,1.171,1.515,-0.04,-0.12,0.04,0.0,0.0,0.0,0.013,-0.081,0.107
R4_S8_A0.6,logn30cv15,lean,B1,0.7,17.5,0.08913,0.116,1.125,2.49,-0.174,-0.276,-0.072,1.33,1.164,1.496,-0.053,-0.138,0.032,-0.013,-0.107,0.081,0.0,0.0,0.0
R4_S8_A0.6,logn30cv15,lean,Bstar,0.7,17.5,0.08923,0.1,2.925,2.351,-0.151,-0.325,0.023,1.353,1.198,1.508,-0.03,-0.172,0.112,0.01,-0.128,0.148,0.023,-0.105,0.151
R4_S8_A0.6,logn30cv15,safe,H,0.5,20.0,0.06109,0.0,0.0,1.923,0.0,0.0,0.0,0.596,0.483,0.709,0.004,-0.009,0.017,0.024,-0.003,0.051,0.001,-0.026,0.028
R4_S8_A0.6,logn30cv15,safe,O-M15,0.5,20.0,0.05861,1.0,14.072,1.6,-0.596,-0.709,-0.483,0.0,0.0,0.0,-0.592,-0.705,-0.479,-0.572,-0.677,-0.467,-0.595,-0.704,-0.486
R4_S8_A0.6,logn30cv15,safe,Tbest,0.5,20.0,0.06108,0.007,0.051,1.919,-0.004,-0.017,0.009,0.592,0.479,0.705,0.0,0.0,0.0,0.02,-0.005,0.045,-0.003,-0.029,0.023
R4_S8_A0.6,logn30cv15,safe,C0best,0.5,20.0,0.06099,0.04,0.121,1.912,-0.024,-0.051,0.003,0.572,0.467,0.677,-0.02,-0.045,0.005,0.0,0.0,0.0,-0.023,-0.052,0.006
R4_S8_A0.6,logn30cv15,safe,B1,0.5,20.0,0.06109,0.002,0.195,1.909,-0.001,-0.028,0.026,0.595,0.486,0.704,0.003,-0.023,0.029,0.023,-0.006,0.052,0.0,0.0,0.0
R4_S8_A0.6,logn30cv15,safe,Bstar,0.5,20.0,0.06144,-0.139,0.785,1.866,0.083,0.023,0.143,0.679,0.571,0.787,0.087,0.028,0.146,0.107,0.052,0.162,0.084,0.032,0.136
R16_S16_A0.6,exp30,lean,H,0.8,12.5,0.13366,0.0,0.0,3.4,0.0,0.0,0.0,8.391,7.702,9.08,4.313,3.736,4.89,4.07,3.463,4.677,4.284,3.675,4.893
R16_S16_A0.6,exp30,lean,O-M15,0.8,12.5,0.11618,1.0,55.771,2.645,-8.391,-9.08,-7.702,0.0,0.0,0.0,-4.078,-4.431,-3.725,-4.321,-4.648,-3.994,-4.107,-4.441,-3.773
R16_S16_A0.6,exp30,lean,Tbest,0.8,12.5,0.12468,0.514,10.207,2.877,-4.313,-4.89,-3.736,4.078,3.725,4.431,0.0,0.0,0.0,-0.243,-0.567,0.081,-0.029,-0.314,0.256
R16_S16_A0.6,exp30,lean,C0best,0.8,12.5,0.12518,0.485,12.766,2.759,-4.07,-4.677,-3.463,4.321,3.994,4.648,0.243,-0.081,0.567,0.0,0.0,0.0,0.214,-0.115,0.543
R16_S16_A0.6,exp30,lean,B1,0.8,12.5,0.12474,0.511,11.045,2.837,-4.284,-4.893,-3.675,4.107,3.773,4.441,0.029,-0.256,0.314,-0.214,-0.543,0.115,0.0,0.0,0.0
R16_S16_A0.6,exp30,lean,Bstar,0.8,12.5,0.12508,0.491,19.416,2.436,-4.119,-4.827,-3.411,4.272,3.954,4.59,0.194,-0.174,0.562,-0.049,-0.398,0.3,0.165,-0.178,0.508
R16_S16_A0.6,exp30,safe,H,0.8,20.0,0.07668,0.0,0.0,2.186,0.0,0.0,0.0,1.369,1.149,1.589,0.219,0.078,0.36,0.077,0.022,0.132,0.167,-0.006,0.34
R16_S16_A0.6,exp30,safe,O-M15,0.8,20.0,0.07383,1.0,35.44,1.888,-1.369,-1.589,-1.149,0.0,0.0,0.0,-1.15,-1.329,-0.971,-1.292,-1.499,-1.085,-1.202,-1.381,-1.023
R16_S16_A0.6,exp30,safe,Tbest,0.8,20.0,0.07622,0.16,1.639,2.111,-0.219,-0.36,-0.078,1.15,0.971,1.329,0.0,0.0,0.0,-0.142,-0.278,-0.006,-0.052,-0.183,0.079
R16_S16_A0.6,exp30,safe,C0best,0.8,20.0,0.07652,0.056,0.302,2.17,-0.077,-0.132,-0.022,1.292,1.085,1.499,0.142,0.006,0.278,0.0,0.0,0.0,0.09,-0.075,0.255
R16_S16_A0.6,exp30,safe,B1,0.8,20.0,0.07633,0.122,2.59,2.065,-0.167,-0.34,0.006,1.202,1.023,1.381,0.052,-0.079,0.183,-0.09,-0.255,0.075,0.0,0.0,0.0
R16_S16_A0.6,exp30,safe,Bstar,0.8,20.0,0.07898,-0.806,8.486,1.798,1.103,0.838,1.368,2.472,2.255,2.689,1.322,1.092,1.552,1.18,0.923,1.437,1.27,1.068,1.472
R16_S16_A0.6,logn30,lean,H,0.8,12.5,0.07152,0.0,0.0,3.889,0.0,0.0,0.0,21.07,19.625,22.515,14.182,12.931,15.433,12.806,11.599,14.013,13.919,12.691,15.147
R16_S16_A0.6,logn30,lean,O-M15,0.8,12.5,0.02763,1.0,13.262,2.909,-21.07,-22.515,-19.625,0.0,0.0,0.0,-6.888,-7.349,-6.427,-8.264,-8.743,-7.785,-7.151,-7.645,-6.657
R16_S16_A0.6,logn30,lean,Tbest,0.8,12.5,0.04198,0.673,13.653,2.615,-14.182,-15.433,-12.931,6.888,6.427,7.349,0.0,0.0,0.0,-1.376,-1.746,-1.006,-0.263,-0.573,0.047
R16_S16_A0.6,logn30,lean,C0best,0.8,12.5,0.04484,0.608,13.684,2.617,-12.806,-14.013,-11.599,8.264,7.785,8.743,1.376,1.006,1.746,0.0,0.0,0.0,1.113,0.731,1.495
R16_S16_A0.6,logn30,lean,B1,0.8,12.5,0.04252,0.661,11.942,2.772,-13.919,-15.147,-12.691,7.151,6.657,7.645,0.263,-0.047,0.573,-1.113,-1.495,-0.731,0.0,0.0,0.0
R16_S16_A0.6,logn30,lean,Bstar,0.8,12.5,0.04365,0.635,18.122,2.146,-13.379,-14.743,-12.015,7.691,7.317,8.065,0.803,0.42,1.186,-0.573,-0.977,-0.169,0.54,0.114,0.966
R16_S16_A0.6,logn30,safe,H,0.8,12.5,0.04394,0.0,0.0,3.464,0.0,0.0,0.0,12.342,11.176,13.508,7.107,6.149,8.065,5.946,4.922,6.97,7.166,6.158,8.174
R16_S16_A0.6,logn30,safe,O-M15,0.8,12.5,0.01823,1.0,8.752,2.846,-12.342,-13.508,-11.176,0.0,0.0,0.0,-5.235,-5.655,-4.815,-6.396,-6.82,-5.972,-5.176,-5.599,-4.753
