office,patience,plan_type,timing,regime,d_visits,d_visits_low,d_visits_high,d_late_share,d_late_share_low,d_late_share_high,d_lost_min,d_lost_min_low,d_lost_min_high,d_kpi,d_kpi_low,d_kpi_high,d_R,d_R_low,d_R_high,eps,eps_low,eps_high,eps_defined_share,break_even_trip_min
R4_S8_A0.6,exp30,lean,profile,O-M15,0.01057,0.00961,0.01154,-0.03243,-0.03441,-0.02995,-1.06691,-1.11753,-1.00498,-0.02032,-0.02183,-0.01873,2.53734,2.30588,2.77033,0.326,0.3003,0.3523,1.0,100.92
R4_S8_A0.6,exp30,lean,profile,C0-M12.5,0.02591,0.02417,0.0276,-0.02157,-0.02306,-0.01971,-0.81624,-0.86592,-0.75469,0.00025,-0.00103,0.00164,6.21731,5.80013,6.62426,1.2009,1.1227,1.2927,1.0,31.51
R4_S8_A0.6,exp30,lean,profile,C0-M15,0.01367,0.01247,0.01471,-0.01551,-0.01671,-0.014,-0.49265,-0.52791,-0.44676,-0.00343,-0.00445,-0.00245,3.28009,2.99326,3.5298,0.8809,0.8031,0.9506,1.0,36.05
R4_S8_A0.6,exp30,lean,profile,T0.7,0.01262,0.01156,0.01356,-0.01412,-0.01525,-0.01287,-0.43864,-0.46862,-0.40031,-0.003,-0.00391,-0.00207,3.02889,2.77358,3.25453,0.8935,0.8222,0.9688,1.0,34.76
R4_S8_A0.6,exp30,lean,profile,B30,0.04384,0.04197,0.0456,-0.02129,-0.02278,-0.01933,-1.28733,-1.35511,-1.20309,0.0132,0.0115,0.01501,10.52268,10.07182,10.9439,2.0596,1.9072,2.2389,1.0,29.36
R4_S8_A0.6,exp30,lean,profile,B60,0.01276,0.01178,0.01386,-0.01434,-0.01551,-0.01296,-0.59382,-0.6359,-0.54597,-0.00308,-0.00436,-0.00179,3.06299,2.827,3.32658,0.8899,0.7931,0.9946,1.0,46.53
R4_S8_A0.6,exp30,safe,profile,O-M15,0.00368,0.00329,0.00411,-0.00994,-0.01084,-0.00924,-0.47199,-0.49736,-0.4514,-0.00604,-0.0067,-0.00548,0.88405,0.7895,0.98698,0.3704,0.3347,0.4036,1.0,128.13
R4_S8_A0.6,exp30,safe,profile,C0-M12.5,0.00998,0.00931,0.01063,-0.00557,-0.00618,-0.00504,-0.30511,-0.32804,-0.28382,0.00319,0.00265,0.00379,2.39529,2.23384,2.55149,1.793,1.6334,1.981,1.0,30.57
R4_S8_A0.6,exp30,safe,profile,C0-M15,0.00396,0.00357,0.00436,-0.00317,-0.0036,-0.00278,-0.13114,-0.14484,-0.11891,0.00039,-4e-05,0.0008,0.9494,0.85643,1.04535,1.2461,1.0881,1.4271,1.0,33.15
R4_S8_A0.6,exp30,safe,profile,T0.7,0.00283,0.0025,0.00315,-0.00244,-0.00282,-0.00213,-0.09052,-0.10208,-0.08111,0.00012,-0.00021,0.00047,0.67854,0.60116,0.75651,1.158,1.0072,1.3544,1.0,32.02
R4_S8_A0.6,exp30,safe,profile,B30,0.02423,0.02312,0.0254,-0.00642,-0.00719,-0.00584,-0.64581,-0.68378,-0.61362,0.01402,0.01313,0.01485,5.8142,5.54867,6.09708,3.7726,3.3935,4.1501,1.0,26.66
R4_S8_A0.6,exp30,safe,profile,B60,0.00295,0.00262,0.00332,-0.00255,-0.00298,-0.00222,-0.10927,-0.12136,-0.09865,0.00012,-0.00026,0.00048,0.70895,0.62868,0.79715,1.1562,0.9851,1.3555,1.0,36.99
R4_S8_A0.6,logn30,lean,profile,O-M15,0.01795,0.01702,0.01901,-0.06638,-0.06969,-0.063,-1.16335,-1.22556,-1.10256,-0.04783,-0.05051,-0.04517,4.30682,4.08428,4.56143,0.2703,0.2592,0.2803,1.0,64.83
R4_S8_A0.6,logn30,lean,profile,C0-M12.5,0.03667,0.03499,0.03867,-0.04603,-0.04858,-0.04336,-1.30252,-1.36878,-1.23055,-0.01199,-0.01418,-0.0098,8.80115,8.3968,9.27988,0.7966,0.7553,0.8396,1.0,35.52
R4_S8_A0.6,logn30,lean,profile,C0-M15,0.02144,0.02031,0.0227,-0.03379,-0.03593,-0.03167,-0.86603,-0.91636,-0.80831,-0.01365,-0.01527,-0.01197,5.1468,4.87535,5.44693,0.6347,0.6026,0.6707,1.0,40.38
R4_S8_A0.6,logn30,lean,profile,T0.7,0.02749,0.02608,0.02903,-0.04121,-0.04351,-0.03889,-1.0526,-1.1095,-0.9859,-0.0154,-0.01717,-0.01347,6.59817,6.26019,6.96733,0.6672,0.638,0.6994,1.0,38.29
R4_S8_A0.6,logn30,lean,profile,B30,0.04304,0.04125,0.0451,-0.04673,-0.04949,-0.04391,-1.61922,-1.69774,-1.53953,-0.00719,-0.00948,-0.00477,10.32896,9.90044,10.82491,0.9209,0.8755,0.9756,1.0,37.62
R4_S8_A0.6,logn30,lean,profile,B60,0.01042,0.00975,0.0111,-0.02506,-0.02685,-0.02329,-0.63149,-0.67293,-0.59026,-0.01501,-0.01653,-0.01359,2.50002,2.34031,2.66335,0.4156,0.3894,0.441,1.0,60.62
R4_S8_A0.6,logn30,safe,profile,O-M15,0.0084,0.00784,0.00886,-0.02847,-0.03024,-0.02648,-0.51788,-0.55178,-0.48122,-0.02,-0.02137,-0.01841,2.01569,1.88115,2.12545,0.295,0.2818,0.309,1.0,61.66
R4_S8_A0.6,logn30,safe,profile,C0-M12.5,0.01944,0.01856,0.02027,-0.01934,-0.0208,-0.01769,-0.65516,-0.69379,-0.60937,-0.00067,-0.00192,0.00054,4.66507,4.45412,4.86434,1.0049,0.9447,1.0728,1.0,33.71
R4_S8_A0.6,logn30,safe,profile,C0-M15,0.00904,0.00847,0.0095,-0.0125,-0.0136,-0.01137,-0.36554,-0.39361,-0.33657,-0.00375,-0.00468,-0.00281,2.1703,2.03328,2.28115,0.7232,0.6671,0.7818,1.0,40.42
R4_S8_A0.6,logn30,safe,profile,T0.7,0.01112,0.0105,0.01167,-0.01536,-0.01659,-0.01409,-0.4258,-0.45573,-0.39446,-0.00458,-0.00567,-0.00366,2.66839,2.52108,2.80007,0.7238,0.676,0.7676,1.0,38.3
R4_S8_A0.6,logn30,safe,profile,B30,0.0303,0.02903,0.03152,-0.02008,-0.02161,-0.01826,-0.92762,-0.97949,-0.86915,0.00863,0.00706,0.01011,7.27303,6.96672,7.56506,1.5093,1.4035,1.6284,1.0,30.61
R4_S8_A0.6,logn30,safe,profile,B60,0.00484,0.00442,0.0052,-0.00912,-0.01009,-0.00812,-0.24176,-0.26579,-0.21651,-0.00439,-0.00528,-0.00372,1.16249,1.05997,1.24714,0.5312,0.4812,0.5771,1.0,49.91
R4_S8_A0.6,logn30cv15,lean,profile,O-M15,0.00751,0.00678,0.00831,-0.02139,-0.02298,-0.02007,-1.04117,-1.09573,-0.99917,-0.01301,-0.01414,-0.01194,1.8026,1.62723,1.9934,0.3511,0.3169,0.3863,1.0,138.62
R4_S8_A0.6,logn30cv15,lean,profile,C0-M12.5,0.02206,0.02064,0.02367,-0.0132,-0.0144,-0.01217,-0.68868,-0.74669,-0.65,0.00491,0.00374,0.00605,5.29534,4.95337,5.68043,1.6721,1.5333,1.8137,1.0,31.21
R4_S8_A0.6,logn30cv15,lean,profile,C0-M15,0.01106,0.01005,0.01211,-0.00914,-0.01,-0.00836,-0.38349,-0.41889,-0.35805,0.00029,-0.00047,0.00108,2.65344,2.41176,2.90527,1.2102,1.1003,1.3337,1.0,34.69
R4_S8_A0.6,logn30cv15,lean,profile,T0.7,0.0069,0.00621,0.00772,-0.0069,-0.00764,-0.0063,-0.26183,-0.2886,-0.24256,-0.00086,-0.00148,-0.00025,1.65592,1.48956,1.8534,1.0002,0.8977,1.1147,1.0,37.95
