office,patience,plan_type,K,regime,M_K,d_own_minus_this,d_low,d_high
R4_S8_A0.6,exp30,lean,30.0,H,38.803,0.028,-0.055,0.101
R4_S8_A0.6,exp30,lean,30.0,O-M15,38.053,0.778,0.718,0.839
R4_S8_A0.6,exp30,lean,30.0,C0-M12.5,38.764,0.067,0.007,0.132
R4_S8_A0.6,exp30,lean,30.0,C0-M15,38.72,0.111,0.047,0.176
R4_S8_A0.6,exp30,lean,30.0,T0.7,38.743,0.088,0.022,0.157
R4_S8_A0.6,exp30,lean,30.0,B30,38.831,,,
R4_S8_A0.6,exp30,lean,30.0,B60,38.592,0.239,0.182,0.296
R4_S8_A0.6,exp30,lean,60.0,H,73.195,0.172,0.091,0.239
R4_S8_A0.6,exp30,lean,60.0,O-M15,72.762,0.605,0.541,0.664
R4_S8_A0.6,exp30,lean,60.0,C0-M12.5,73.933,-0.566,-0.652,-0.492
R4_S8_A0.6,exp30,lean,60.0,C0-M15,73.522,-0.155,-0.214,-0.089
R4_S8_A0.6,exp30,lean,60.0,T0.7,73.514,-0.147,-0.209,-0.083
R4_S8_A0.6,exp30,lean,60.0,B30,74.538,-1.171,-1.268,-1.078
R4_S8_A0.6,exp30,lean,60.0,B60,73.367,,,
R4_S8_A0.6,exp30,safe,30.0,H,35.348,0.081,0.045,0.115
R4_S8_A0.6,exp30,safe,30.0,O-M15,34.986,0.442,0.405,0.479
R4_S8_A0.6,exp30,safe,30.0,C0-M12.5,35.342,0.087,0.057,0.117
R4_S8_A0.6,exp30,safe,30.0,C0-M15,35.335,0.093,0.059,0.126
R4_S8_A0.6,exp30,safe,30.0,T0.7,35.342,0.087,0.051,0.121
R4_S8_A0.6,exp30,safe,30.0,B30,35.429,,,
R4_S8_A0.6,exp30,safe,30.0,B60,35.327,0.102,0.069,0.133
R4_S8_A0.6,exp30,safe,60.0,H,68.018,0.068,0.047,0.09
R4_S8_A0.6,exp30,safe,60.0,O-M15,67.767,0.319,0.296,0.343
R4_S8_A0.6,exp30,safe,60.0,C0-M12.5,68.312,-0.226,-0.259,-0.192
R4_S8_A0.6,exp30,safe,60.0,C0-M15,68.124,-0.038,-0.055,-0.021
R4_S8_A0.6,exp30,safe,60.0,T0.7,68.097,-0.011,-0.026,0.009
R4_S8_A0.6,exp30,safe,60.0,B30,68.826,-0.74,-0.796,-0.68
R4_S8_A0.6,exp30,safe,60.0,B60,68.086,,,
R4_S8_A0.6,logn30,lean,30.0,H,35.73,-0.328,-0.405,-0.248
R4_S8_A0.6,logn30,lean,30.0,O-M15,35.105,0.297,0.25,0.341
R4_S8_A0.6,logn30,lean,30.0,C0-M12.5,35.527,-0.126,-0.161,-0.088
R4_S8_A0.6,logn30,lean,30.0,C0-M15,35.507,-0.105,-0.152,-0.056
R4_S8_A0.6,logn30,lean,30.0,T0.7,35.502,-0.1,-0.144,-0.057
R4_S8_A0.6,logn30,lean,30.0,B30,35.402,,,
R4_S8_A0.6,logn30,lean,30.0,B60,35.411,-0.009,-0.061,0.04
R4_S8_A0.6,logn30,lean,60.0,H,66.623,-0.006,-0.049,0.035
