office,patience,plan_type,timing,regime,R,R_low,R_high,R_per_100,visits,late_share,late_low,late_high,lost_min,kpi,served_share,slope,grid_low,grid_high,inside_grid
R4_S8_A0.6,exp30,lean,profile,H,35.139,33.947,36.154,14.64,1.14641,0.03243,0.02995,0.03441,4.41,0.156,1.0017,0.5154,29.55,44.33,True
R4_S8_A0.6,exp30,lean,profile,O-M15,37.676,36.321,38.85,15.7,1.15698,0.0,0.0,0.0,3.343,0.13568,1.0015,0.5459,31.5,47.25,True
R4_S8_A0.6,exp30,lean,profile,C0-M12.5,41.356,39.827,42.688,17.23,1.17232,0.01086,0.01026,0.01144,3.594,0.15625,1.0015,0.5781,34.5,51.75,True
R4_S8_A0.6,exp30,lean,profile,C0-M15,38.419,37.009,39.592,16.01,1.16008,0.01692,0.01592,0.01779,3.918,0.15257,1.0015,0.5541,31.5,47.25,True
R4_S8_A0.6,exp30,lean,profile,T0.7,38.168,36.775,39.347,15.9,1.15903,0.01831,0.01715,0.01938,3.972,0.15301,1.0015,0.5517,32.1,48.15,True
R4_S8_A0.6,exp30,lean,profile,B30,45.661,44.194,46.983,19.03,1.19026,0.01114,0.01043,0.01186,3.123,0.16921,1.0015,0.5729,37.5,56.25,True
R4_S8_A0.6,exp30,lean,profile,B60,38.202,36.872,39.288,15.92,1.15917,0.01809,0.01683,0.01928,3.816,0.15292,1.0015,0.543,31.5,47.25,True
R4_S8_A0.6,exp30,safe,profile,H,21.361,20.8,21.958,8.9,1.08901,0.00994,0.00924,0.01084,2.678,0.09086,1.0018,0.3442,17.51,27.11,True
R4_S8_A0.6,exp30,safe,profile,O-M15,22.245,21.659,22.918,9.27,1.09269,0.0,0.0,0.0,2.206,0.08483,1.0019,0.3557,18.64,28.24,True
R4_S8_A0.6,exp30,safe,profile,C0-M12.5,23.757,23.113,24.492,9.9,1.09899,0.00438,0.00409,0.00473,2.373,0.09405,1.0018,0.3842,20.25,30.38,True
R4_S8_A0.6,exp30,safe,profile,C0-M15,22.311,21.716,22.962,9.3,1.09296,0.00677,0.00631,0.00734,2.547,0.09125,1.0019,0.3524,18.64,28.24,True
R4_S8_A0.6,exp30,safe,profile,T0.7,22.04,21.439,22.667,9.18,1.09183,0.0075,0.00697,0.00817,2.587,0.09098,1.0019,0.3491,18.26,27.86,True
R4_S8_A0.6,exp30,safe,profile,B30,27.175,26.348,27.994,11.32,1.11323,0.00352,0.00323,0.00382,2.032,0.10488,1.0017,0.4242,23.55,35.33,True
R4_S8_A0.6,exp30,safe,profile,B60,22.07,21.491,22.702,9.2,1.09196,0.00739,0.00686,0.00802,2.569,0.09098,1.0019,0.3501,18.64,28.24,True
R4_S8_A0.6,logn30,lean,profile,H,7.148,6.762,7.536,2.98,1.02978,0.06638,0.063,0.06969,4.836,0.09338,1.0014,0.2362,2.65,12.25,True
R4_S8_A0.6,logn30,lean,profile,O-M15,11.454,10.908,12.099,4.77,1.04773,0.0,0.0,0.0,3.673,0.04555,1.0017,0.3051,6.73,16.33,True
R4_S8_A0.6,logn30,lean,profile,C0-M12.5,15.949,15.242,16.753,6.65,1.06645,0.02035,0.0193,0.02129,3.534,0.08139,1.0018,0.4039,11.79,21.39,True
R4_S8_A0.6,logn30,lean,profile,C0-M15,12.294,11.701,12.945,5.12,1.05123,0.03259,0.03091,0.03412,3.97,0.07973,1.0016,0.347,7.86,17.46,True
R4_S8_A0.6,logn30,lean,profile,T0.7,13.746,13.092,14.425,5.73,1.05727,0.02517,0.02387,0.02644,3.784,0.07798,1.0018,0.3732,9.36,18.96,True
R4_S8_A0.6,logn30,lean,profile,B30,17.477,16.761,18.264,7.28,1.07282,0.01965,0.01853,0.02075,3.217,0.08619,1.0019,0.4108,13.86,23.46,True
R4_S8_A0.6,logn30,lean,profile,B60,9.648,9.156,10.182,4.02,1.0402,0.04132,0.03932,0.04326,4.205,0.07837,1.0016,0.2931,5.23,14.83,True
R4_S8_A0.6,logn30,safe,profile,H,2.984,2.787,3.162,1.24,1.01243,0.02847,0.02648,0.03024,3.082,0.0404,1.0011,0.1117,0.0,7.68,True
