office,patience,plan_type,regime,told,told_would_serve,precision,recall,eps
R4_S8_A0.6,exp30,lean,O-M15,11233,1218,1.0,1.0,0.326
R4_S8_A0.6,exp30,lean,C0-M12.5,3693,2516,0.1574,0.3402,1.2009
R4_S8_A0.6,exp30,lean,C0-M15,2153,1330,0.297,0.2409,0.8809
R4_S8_A0.6,exp30,lean,T0.7,1883,1202,0.3153,0.2129,0.8935
R4_S8_A0.6,exp30,lean,B30,6232,5025,0.0289,0.171,2.0596
R4_S8_A0.6,exp30,lean,B60,2282,1664,0.0992,0.1147,0.8899
R4_S8_A0.6,exp30,safe,O-M15,6656,427,1.0,1.0,0.3704
R4_S8_A0.6,exp30,safe,C0-M12.5,1442,1021,0.1205,0.2541,1.793
R4_S8_A0.6,exp30,safe,C0-M15,591,394,0.2665,0.1638,1.2461
R4_S8_A0.6,exp30,safe,T0.7,418,266,0.312,0.1217,1.158
R4_S8_A0.6,exp30,safe,B30,3310,2604,0.018,0.1536,3.7726
R4_S8_A0.6,exp30,safe,B60,472,324,0.1512,0.0757,1.1562
R4_S8_A0.6,logn30,lean,O-M15,3285,2253,1.0,1.0,0.2703
R4_S8_A0.6,logn30,lean,C0-M12.5,4049,3686,0.2466,0.3792,0.7966
R4_S8_A0.6,logn30,lean,C0-M15,2469,2147,0.3936,0.2699,0.6347
R4_S8_A0.6,logn30,lean,T0.7,3172,2841,0.2883,0.3226,0.6672
R4_S8_A0.6,logn30,lean,B30,4556,4334,0.0932,0.2298,0.9209
R4_S8_A0.6,logn30,lean,B60,1551,1350,0.363,0.1499,0.4156
R4_S8_A0.6,logn30,safe,O-M15,1475,961,1.0,1.0,0.295
R4_S8_A0.6,logn30,safe,C0-M12.5,1899,1769,0.1741,0.34,1.0049
R4_S8_A0.6,logn30,safe,C0-M15,972,860,0.3116,0.1943,0.7232
R4_S8_A0.6,logn30,safe,T0.7,1212,1063,0.2803,0.2449,0.7238
R4_S8_A0.6,logn30,safe,B30,2772,2693,0.0524,0.2149,1.5093
R4_S8_A0.6,logn30,safe,B60,632,554,0.3123,0.1167,0.5312
R4_S8_A0.6,logn30cv15,lean,O-M15,10416,833,1.0,1.0,0.3511
R4_S8_A0.6,logn30cv15,lean,C0-M12.5,3507,2342,0.1174,0.3258,1.6721
R4_S8_A0.6,logn30cv15,lean,C0-M15,1805,1112,0.2086,0.2275,1.2102
R4_S8_A0.6,logn30cv15,lean,T0.7,1169,704,0.2372,0.1447,1.0002
R4_S8_A0.6,logn30cv15,lean,B30,6601,5352,0.0159,0.1341,3.2088
R4_S8_A0.6,logn30cv15,lean,B60,2520,1842,0.0472,0.0975,1.3769
R4_S8_A0.6,logn30cv15,safe,O-M15,6009,286,1.0,1.0,0.3251
R4_S8_A0.6,logn30cv15,safe,C0-M12.5,1281,869,0.0863,0.2381,2.2644
R4_S8_A0.6,logn30cv15,safe,C0-M15,466,275,0.1564,0.112,1.4915
R4_S8_A0.6,logn30cv15,safe,T0.7,214,130,0.2769,0.0905,1.2216
R4_S8_A0.6,logn30cv15,safe,B30,3638,2900,0.0121,0.1636,5.921
R4_S8_A0.6,logn30cv15,safe,B60,516,330,0.1091,0.0984,1.5583
R16_S16_A0.6,exp30,safe,O-M15,24383,1339,1.0,1.0,0.2529
R16_S16_A0.6,exp30,safe,C0-M12.5,7172,5090,0.0666,0.3247,1.232
R16_S16_A0.6,exp30,safe,C0-M15,3877,2630,0.1635,0.2347,0.9017
R16_S16_A0.6,exp30,safe,T0.7,2060,1325,0.2581,0.1679,0.6311
R16_S16_A0.6,exp30,safe,B30,40955,38166,0.0022,0.1197,10.1452
R16_S16_A0.6,exp30,safe,B60,30181,27048,0.0005,0.0209,6.2436
R16_S16_A0.6,logn30,lean,O-M15,6003,4131,1.0,1.0,0.1868
R16_S16_A0.6,logn30,lean,C0-M12.5,6961,6388,0.2369,0.3864,0.5324
R16_S16_A0.6,logn30,lean,C0-M15,4579,4001,0.3902,0.2712,0.414
R16_S16_A0.6,logn30,lean,T0.7,5415,4901,0.315,0.3353,0.3958
R16_S16_A0.6,logn30,lean,B30,17882,17589,0.0368,0.3296,1.6738
R16_S16_A0.6,logn30,lean,B60,8836,8597,0.0561,0.1503,0.8607
R16_S16_A0.6,logn30,safe,O-M15,3215,1973,1.0,1.0,0.1943
R16_S16_A0.6,logn30,safe,C0-M12.5,4196,3953,0.1528,0.344,0.6445
R16_S16_A0.6,logn30,safe,C0-M15,2522,2309,0.275,0.2391,0.4841
R16_S16_A0.6,logn30,safe,T0.7,2590,2357,0.2961,0.2678,0.4248
R16_S16_A0.6,logn30,safe,B30,26888,26803,0.0065,0.1463,5.5646
R16_S16_A0.6,logn30,safe,B60,17442,17426,0.0013,0.0251,3.4111
R16_S16_A0.6,logn30cv15,safe,O-M15,26792,1146,1.0,1.0,0.2327
R16_S16_A0.6,logn30cv15,safe,C0-M12.5,8835,6155,0.0421,0.3242,1.8413
R16_S16_A0.6,logn30cv15,safe,C0-M15,4705,3065,0.0966,0.2221,1.2344
R16_S16_A0.6,logn30cv15,safe,T0.7,1611,940,0.2702,0.1378,0.7448
R16_S16_A0.6,logn30cv15,safe,B30,44091,42043,0.0029,0.1385,15.9978
R16_S16_A0.6,logn30cv15,safe,B60,33183,30468,0.0002,0.0094,9.8191
R8_S16_A0.6,exp30,phi=1.00,O-M15,7221,616,1.0,1.0,0.3509
R8_S16_A0.6,exp30,phi=1.00,C0-M12.5,2088,1459,0.1254,0.2923,1.6922
R8_S16_A0.6,exp30,phi=1.00,C0-M15,1256,841,0.2069,0.2191,1.345
R8_S16_A0.6,exp30,phi=1.00,T0.7,831,518,0.2741,0.164,1.0096
R8_S16_A0.6,exp30,phi=1.00,B30,7076,5896,0.0098,0.1657,5.3808
