c,S,rho,patience,fail_cutoff,live_bins_below,live_bins_above,min_psi_below,max_psi_above,sign_ok,taylor_exact,taylor_first_order,taylor_rel_err,implied_threshold
1,8.0,0.8,exp30,0.243085,30,90,0.24473,-0.08269,True,0.008068142074304063,0.00810627401883163,0.004726236124300861,0.47
1,8.0,0.8,logn30,0.199842,30,90,0.32977,-0.02887,True,0.009893508055465738,0.009962624219256378,0.006986011776930462,0.4422
1,8.0,0.8,logn30cv15,0.242747,30,90,0.21731,-0.07244,True,0.0038218184850191683,0.003820503218490986,0.0003441467807374784,0.4817
1,8.0,0.95,exp30,0.287346,30,90,0.20093,-0.09245,True,0.004906698064231829,0.004909389754946919,0.0005485747604303701,0.3998
1,8.0,0.95,logn30,0.246007,30,90,0.26105,-0.03231,True,0.0043119620038553075,0.004324254994124991,0.0028509041264029077,0.3668
1,8.0,0.95,logn30cv15,0.287208,30,90,0.17841,-0.08097,True,0.0021532718942577356,0.002157314424445824,0.0018773895664866505,0.4107
1,8.0,1.2,exp30,0.356867,30,90,0.14266,-0.1054,True,0.00596718480603764,0.005979455052705243,0.0020562873560054443,0.3012
1,8.0,1.2,logn30,0.321725,30,90,0.17241,-0.03671,True,0.004132203477952956,0.004134267782354256,0.000499565041342626,0.2622
1,8.0,1.2,logn30cv15,0.356993,30,90,0.12674,-0.09227,True,0.0037270256651932288,0.003732655237670657,0.0015104732253397276,0.3103
1,16.0,0.8,exp30,0.314444,30,90,0.27823,-0.07487,True,0.002034402511167377,0.002026128159246168,0.004067214760003779,0.5122
1,16.0,0.8,logn30,0.28526,30,90,0.38843,-0.02578,True,0.003141257283612253,0.0031504313892892146,0.0029205203040267034,0.4909
1,16.0,0.8,logn30cv15,0.31508,30,90,0.24769,-0.0655,True,0.003547269768529371,0.003545588870892736,0.00047385672540253186,0.5262
1,16.0,0.95,exp30,0.357548,30,90,0.24044,-0.08332,True,0.00412082069585773,0.004108230666930646,0.003055223669338296,0.4522
1,16.0,0.95,logn30,0.329103,30,90,0.32965,-0.02874,True,0.010125439391611146,0.010188976348749934,0.006274982712496184,0.4276
1,16.0,0.95,logn30cv15,0.358212,30,90,0.21412,-0.07289,True,0.004902828099908163,0.004915497843010833,0.0025841703695275125,0.4659
1,16.0,1.2,exp30,0.421038,30,90,0.1888,-0.09486,True,0.004914884097721117,0.004896409484542393,0.0037589112604486754,0.3676
1,16.0,1.2,logn30,0.39519,30,90,0.25017,-0.03273,True,0.00394301081497217,0.003957287146915226,0.0036206677112948366,0.339
1,16.0,1.2,logn30cv15,0.421709,30,90,0.16826,-0.08297,True,0.007060278185729518,0.007006874482018361,0.007563965938211751,0.3803
2,8.0,0.8,exp30,0.13947,30,71,0.19586,-0.12911,True,0.0023163507873813494,0.002323889184289895,0.00325442802083868,0.407
2,8.0,0.8,logn30,0.094976,30,74,0.25782,-0.05959,True,0.003794866342210268,0.003820209880369579,0.006678374381046081,0.3846
2,8.0,0.8,logn30cv15,0.137115,30,70,0.17274,-0.10818,True,0.007037826933684044,0.007059702695654554,0.0031083120083288496,0.4143
2,8.0,0.95,exp30,0.188333,30,74,0.14466,-0.13758,True,0.006783601052272825,0.0068766187056625155,0.013712134996282701,0.3203
2,8.0,0.95,logn30,0.144744,30,78,0.17657,-0.05751,True,0.002591106375066099,0.002600090865752647,0.0034674341327722213,0.2877
2,8.0,0.95,logn30cv15,0.186516,30,74,0.12731,-0.11451,True,0.0029207062500766767,0.0029178399799052,0.0009813620152322163,0.3257
2,8.0,1.2,exp30,0.274188,30,78,0.08227,-0.14541,True,0.005957414325439281,0.005953335997557296,0.0006845801985887732,0.2023
2,8.0,1.2,logn30,0.240731,30,82,0.08485,-0.05548,True,0.015732759135441032,0.015818677146148402,0.00546108981696816,0.1598
2,8.0,1.2,logn30cv15,0.273322,30,78,0.07229,-0.12231,True,0.004256362257568536,0.004265308629983018,0.0021018822818884885,0.2053
2,16.0,0.8,exp30,0.195007,30,90,0.22085,-0.08794,True,0.0021301500338095636,0.0021384678144396076,0.003904786281728923,0.4293
2,16.0,0.8,logn30,0.163147,30,90,0.30282,-0.03019,True,0.00636380207265852,0.0063676047944675514,0.0005975550096646866,0.4103
2,16.0,0.8,logn30cv15,0.194763,30,90,0.19613,-0.07703,True,0.006145379879711865,0.006181214396294872,0.0058311312375186755,0.4409
2,16.0,0.95,exp30,0.245597,30,90,0.17624,-0.09787,True,0.003446790033268865,0.0034739827946413514,0.007889300221370714,0.3556
2,16.0,0.95,logn30,0.214046,30,90,0.23307,-0.03367,True,0.00718270245958208,0.007215384032946869,0.004550038589053696,0.3316
2,16.0,0.95,logn30cv15,0.245494,30,90,0.1565,-0.08571,True,0.010031284826392928,0.010064717908981398,0.0033328813972568765,0.3661
2,16.0,1.2,exp30,0.325876,30,90,0.1194,-0.11048,True,0.00589416135330878,0.005882046966052988,0.0020553199224842456,0.256
2,16.0,1.2,logn30,0.298577,30,90,0.14665,-0.03796,True,0.012755582754179096,0.012914352649682792,0.012447090702436095,0.2262
2,16.0,1.2,logn30cv15,0.325973,30,90,0.10607,-0.09673,True,0.0030354884306204033,0.0030332787030820634,0.0007279644079843354,0.2642
4,8.0,0.8,exp30,0.073218,30,31,0.16671,-0.27158,True,0.006763530071534518,0.00678960383502873,0.003855052497503921,0.382
4,8.0,0.8,logn30,0.032141,30,35,0.21878,-0.27107,True,0.0075521965659446355,0.007567085980020053,0.0019715342344979563,0.374
4,8.0,0.8,logn30cv15,0.068447,30,31,0.14535,-0.21759,True,0.007039232088178915,0.007141463708175953,0.014523121089971822,0.3831
4,8.0,0.95,exp30,0.120591,30,34,0.10715,-0.29123,True,0.003646332576309641,0.003802147803692974,0.04273203941836522,0.2737
4,8.0,0.95,logn30,0.076149,30,39,0.12038,-0.26689,True,0.01701097911556848,0.016717928910484577,0.017227121560316548,0.2419
4,8.0,0.95,logn30cv15,0.116567,30,34,0.09252,-0.23242,True,0.004247794251314052,0.004238966454040206,0.0020782073592936715,0.2716
4,8.0,1.2,exp30,0.220018,30,39,0.0424,-0.30038,True,0.0029248357974822614,0.0029381547573884108,0.004553746202646491,0.1295
4,8.0,1.2,logn30,0.1923,30,43,0.03109,-0.25532,True,0.003488968378797752,0.003385533970314016,0.02964612952994957,0.0803
4,8.0,1.2,logn30cv15,0.218296,30,38,0.0362,-0.2425,True,0.001668154936953825,0.0016714862309717784,0.001996993171411574,0.1262
4,16.0,0.8,exp30,0.107323,30,69,0.17968,-0.13848,True,0.00736569481659477,0.007421289302613789,0.007547758548693321,0.3777
