hour,x,psi
0,0.25,0.6313908519164358
0,0.75,0.5978746078541031
0,1.25,0.5580908816149416
0,1.75,0.5186887389099604
0,2.25,0.4797504917474158
0,2.75,0.44146615459123534
0,3.25,0.40450711618644936
0,3.75,0.3688466517073926
0,4.25,0.3342064074519799
0,4.75,0.30071225401617335
0,5.25,0.26936039271090684
0,5.75,0.24015438002147507
0,6.25,0.21323790789454866
0,6.75,0.19158191771860875
0,7.25,0.17053316573176963
0,7.75,0.1521049455515491
0,8.25,0.13394383863420056
0,8.75,0.11523141053743019
0,9.25,0.09583774376374064
0,9.75,0.07494974498094004
0,10.25,0.05108056484123801
0,10.75,0.023306896728369466
0,11.25,-0.009554405068478124
0,11.75,-0.05033682781369022
0,12.25,-0.10179325476544249
0,12.75,-0.1668358883302152
0,13.25,-0.24940639369277176
0,13.75,-0.3547075463558506
0,14.25,-0.4896364314207756
0,14.75,-0.6633756501128371
0,15.25,-1.6297220698558714
0,15.75,-1.5872018147338134
0,16.25,-1.534380087784716
0,16.75,-1.4816962498687187
0,17.25,-1.4293833691551094
0,17.75,-1.377648451470954
0,18.25,-1.3266724003320391
0,18.75,-1.2766106341510524
0,19.25,-1.2275942088690837
0,19.75,-1.1797313035602202
0,20.25,-1.1331089469512379
0,20.75,-1.0877948846415935
0,21.25,-1.0438395023202793
0,21.75,-1.0012777369918835
0,22.25,-0.9601309431910215
0,22.75,-0.920408639935475
0,23.25,-0.8821101948074965
0,23.75,-0.8452262972443163
0,24.25,-0.8097404088087132
0,24.75,-0.7756299125810288
0,25.25,-0.7428672616252814
0,25.75,-0.7114211384286806
0,26.25,-0.6812569188212702
0,26.75,-0.6523377012701888
0,27.25,-0.6246251099932089
0,27.75,-0.5980795106007586
0,28.25,-0.5726603780531645
0,28.75,-0.5483268679135094
0,29.25,-0.5250389958665476
0,29.75,-0.5027556056746278
0,30.25,-0.4814388391962823
0,30.75,-0.46104911432074425
0,31.25,-0.44154525605165845
0,31.75,-0.4228946575540597
0,32.25,-0.40505538341464564
0,32.75,-0.38800665366145143
0,33.25,-0.3716991059304945
0,33.75,-0.3560899126343089
0,34.25,-0.34116510112780973
0,34.75,-0.32694329581868936
0,35.25,-0.31332584910489414
0,35.75,-0.3003278469011198
0,36.25,-0.2878122818418775
0,36.75,-0.27582920163065294
0,37.25,-0.26415982467006127
0,37.75,-0.25339461228552856
0,38.25,-0.2423765413635589
0,38.75,-0.23482346974877163
0,39.25,-0.2228089321143498
0,39.75,-0.21276694133163102
0,40.25,-0.2026465129463687
0,40.75,-0.19675428974122938
0,41.25,-0.18906820913781103
0,41.75,-0.18582117420233613
0,42.25,-0.17471962059053217
0,42.75,-0.1647689678574747
0,43.25,-0.16371272043906662
0,43.75,-0.12284750063672378
0,44.25,-0.1596292522330395
0,44.75,-0.2099218310894858
0,45.25,-0.0959904560479225
0,45.75,0.0
0,46.25,0.0
0,46.75,0.0
0,47.25,0.0
0,47.75,0.0
0,48.25,0.0
0,48.75,0.0
0,49.25,0.0
0,49.75,0.0
0,50.25,0.0
0,50.75,0.0
0,51.25,0.0
0,51.75,0.0
0,52.25,0.0
0,52.75,0.0
0,53.25,0.0
0,53.75,0.0
0,54.25,0.0
0,54.75,0.0
0,55.25,0.0
0,55.75,0.0
0,56.25,0.0
0,56.75,0.0
0,57.25,0.0
0,57.75,0.0
0,58.25,0.0
0,58.75,0.0
0,59.25,0.0
0,59.75,0.0
1,0.25,0.651370068819982
1,0.75,0.6143712149518004
1,1.25,0.5714882252045888
1,1.75,0.529625918844983
1,2.25,0.48894064360535794
1,2.75,0.44944535271438946
1,3.25,0.41117040786343295
1,3.75,0.374136334302062
1,4.25,0.33854587754309723
1,4.75,0.30470909030002385
1,5.25,0.2738724706175908
1,5.75,0.24573060093485338
1,6.25,0.21927201484528688
1,6.75,0.19450010924510194
1,7.25,0.17282027714534942
1,7.75,0.15735989507220374
1,8.25,0.13973525912580834
1,8.75,0.12296862493885274
1,9.25,0.10712306782982861
1,9.75,0.09162685360734285
1,10.25,0.07529377442041925
1,10.75,0.05753057756804187
1,11.25,0.03805027233362048
1,11.75,0.015518052616862907
1,12.25,-0.012355061313460156
1,12.75,-0.04937880992407036
1,13.25,-0.09988535435516906
1,13.75,-0.17068746815015712
1,14.25,-0.28045299234666804
1,14.75,-0.4589681875315621
1,15.25,-1.4441698471842552
1,15.75,-1.3840964489669947
1,16.25,-1.309379731418384
1,16.75,-1.2390834486606306
1,17.25,-1.1875823375835357
1,17.75,-1.1600250554857736
1,18.25,-1.1335542076133542
1,18.75,-1.0997772139153064
1,19.25,-1.0643096605155145
1,19.75,-1.0291972453886369
1,20.25,-0.9945387022664326
1,20.75,-0.9604199274067523
1,21.25,-0.9269146870652246
1,21.75,-0.8940852755696383
1,22.25,-0.8619832532760616
1,22.75,-0.8306508457110472
1,23.25,-0.8001208435892209
1,23.75,-0.7704182319790305
1,24.25,-0.7415611131689719
1,24.75,-0.7135589971550738
1,25.25,-0.6864207814142784
1,25.75,-0.6601473560480761
1,26.25,-0.6347314310467285
1,26.75,-0.6101683606104743
1,27.25,-0.5864456093020327
1,27.75,-0.5635710429112201
1,28.25,-0.5414998779075095
1,28.75,-0.5201966443414863
1,29.25,-0.4997387954387339
1,29.75,-0.48028928893516903
1,30.25,-0.46089613153727227
1,30.75,-0.4427883336019289
1,31.25,-0.42433586735649226
1,31.75,-0.4089896386359133
1,32.25,-0.38984290750643025
1,32.75,-0.37789561918194864
1,33.25,-0.3628897099116914
1,33.75,-0.3603802694412155
1,34.25,-0.3360017733287668
1,34.75,-0.3377527747815771
1,35.25,-0.3292571578805326
1,35.75,-0.3615160110876077
1,36.25,-0.3157982776663995
1,36.75,-0.3157982776663995
1,37.25,-0.3157982776663995
1,37.75,-0.3157982776663995
1,38.25,-0.3157982776663995
1,38.75,-0.3157982776663995
1,39.25,-0.3157982776663995
1,39.75,-0.3157982776663995
1,40.25,-0.3157982776663995
1,40.75,-0.3157982776663995
1,41.25,-0.3157982776663995
1,41.75,-0.3157982776663995
1,42.25,-0.3157982776663995
1,42.75,-0.3157982776663995
1,43.25,-0.3157982776663995
1,43.75,-0.3157982776663995
1,44.25,-0.3157982776663995
1,44.75,-0.3157982776663995
1,45.25,-0.3157982776663995
1,45.75,-0.3157982776663995
1,46.25,-0.3157982776663995
1,46.75,-0.3157982776663995
1,47.25,-0.3157982776663995
1,47.75,-0.3157982776663995
1,48.25,-0.3157982776663995
1,48.75,-0.3157982776663995
1,49.25,-0.3157982776663995
1,49.75,-0.3157982776663995
1,50.25,-0.3157982776663995
1,50.75,-0.3157982776663995
1,51.25,-0.3157982776663995
1,51.75,-0.3157982776663995
1,52.25,-0.3157982776663995
1,52.75,-0.3157982776663995
1,53.25,-0.3157982776663995
1,53.75,-0.3157982776663995
1,54.25,-0.3157982776663995
1,54.75,-0.3157982776663995
1,55.25,-0.3157982776663995
1,55.75,-0.3157982776663995
1,56.25,-0.3157982776663995
1,56.75,-0.3157982776663995
1,57.25,-0.3157982776663995
1,57.75,-0.3157982776663995
1,58.25,-0.3157982776663995
1,58.75,-0.3157982776663995
1,59.25,-0.3157982776663995
1,59.75,-0.3157982776663995
2,0.25,0.7052926235167981
2,0.75,0.6815273370485373
2,1.25,0.6497351336617195
2,1.75,0.6172839197439571
2,2.25,0.5841535033788436
2,2.75,0.5504461131218906
2,3.25,0.5166181897902179
2,3.75,0.4828239475445532
2,4.25,0.4494160111908638
2,4.75,0.4166802940841149
2,5.25,0.3857401778279459
2,5.75,0.35663336736370005
2,6.25,0.32924855388891217
2,6.75,0.30710821954481776
2,7.25,0.28169558136945977
2,7.75,0.25646462493868816
2,8.25,0.23075451383404683
2,8.75,0.2042988986596249
2,9.25,0.17727653795795842
2,9.75,0.14919203595252464
2,10.25,0.11908274090969359
2,10.75,0.08614826165915733
2,11.25,0.04947863524098489
2,11.75,0.008093534794610675
2,12.25,-0.03952436931290983
2,12.75,-0.09570078045794056
2,13.25,-0.16067953615059954
2,13.75,-0.23497860014014785
2,14.25,-0.3254510324820458
2,14.75,-0.43984781740665674
2,15.25,-1.3655237255078514
2,15.75,-1.3272194366693566
2,16.25,-1.286005147971971
2,16.75,-1.2518030035054768
2,17.25,-1.2300653489241717
2,17.75,-1.2190297407861248
2,18.25,-1.194746999882592
2,18.75,-1.1502835577088848
2,19.25,-1.0935724441875503
2,19.75,-1.0319226853132502
2,20.25,-0.9903544605000889
2,20.75,-0.9717126239285937
2,21.25,-0.9486398716864655
2,21.75,-0.9141545266410096
2,22.25,-0.8779828982085225
2,22.75,-0.8429602046045398
2,23.25,-0.8090955458251304
2,23.75,-0.7763902113828767
2,24.25,-0.7448387994175766
2,24.75,-0.7144301881829472
2,25.25,-0.6851485019475042
2,25.75,-0.6569738725389795
2,26.25,-0.6298832332074709
2,26.75,-0.6038508773150033
2,27.25,-0.5788491372620757
2,27.75,-0.5548487923193016
2,28.25,-0.5318195112663607
2,28.75,-0.5097303127649475
2,29.25,-0.4885496407520445
2,29.75,-0.46824585602717006
2,30.25,-0.4487875295709261
2,30.75,-0.43014344900860146
2,31.25,-0.4122826098949285
2,31.75,-0.39517432468605085
2,32.25,-0.3787895905917289
2,32.75,-0.3630995856813269
2,33.25,-0.34807489879598347
2,33.75,-0.33368973723155887
2,34.25,-0.31991701158108266
2,34.75,-0.3067309882357089
2,35.25,-0.2941064295168559
2,35.75,-0.2820159459537451
2,36.25,-0.270452743080201
2,36.75,-0.25936266475950925
2,37.25,-0.2487664355665756
2,37.75,-0.23862972826013795
2,38.25,-0.22889977054940525
2,38.75,-0.21956459623971553
2,39.25,-0.2106467858702364
2,39.75,-0.20206630025583913
2,40.25,-0.19388083464358855
2,40.75,-0.18615768308422317
2,41.25,-0.17881529245273162
2,41.75,-0.17134567777834744
2,42.25,-0.16423304817405757
2,42.75,-0.1575773261446227
2,43.25,-0.15099668111974268
2,43.75,-0.1449147045309679
2,44.25,-0.13929821150082372
2,44.75,-0.13312571597570555
2,45.25,-0.12655327038953768
2,45.75,-0.12102357650886736
2,46.25,-0.11250973922324443
2,46.75,-0.10865660310691311
2,47.25,-0.10561020660983049
2,47.75,-0.10158807635905122
2,48.25,-0.09827250987719659
2,48.75,-0.10907120673502428
2,49.25,-0.09558063064061548
2,49.75,-0.09470146933264091
2,50.25,-0.08298730209613071
2,50.75,-0.08000242832326133
2,51.25,-0.05198392730122041
2,51.75,-0.07887784295553435
2,52.25,0.0
2,52.75,0.0
2,53.25,0.0
2,53.75,0.0
2,54.25,0.0
2,54.75,0.0
2,55.25,0.0
2,55.75,0.0
2,56.25,0.0
2,56.75,0.0
2,57.25,0.0
2,57.75,0.0
2,58.25,0.0
2,58.75,0.0
2,59.25,0.0
2,59.75,0.0
3,0.25,0.6637013777635559
3,0.75,0.6417832391681881
3,1.25,0.6123227092824313
3,1.75,0.5823229587520805
3,2.25,0.5521091920777841
3,2.75,0.5218866599856749
3,3.25,0.49226209146611466
3,3.75,0.46334751291375215
3,4.25,0.4353054631749298
3,4.75,0.40819283951340846
3,5.25,0.38246943511983195
3,5.75,0.3599920255131166
3,6.25,0.3342263238643566
3,6.75,0.3072317383230527
3,7.25,0.2799135315544188
3,7.75,0.25231203039395067
3,8.25,0.2241894689191504
3,8.75,0.19535146747529225
3,9.25,0.16575479657071976
3,9.75,0.13500019589680468
3,10.25,0.1024341741424218
3,10.75,0.0675226171943172
3,11.25,0.029676443747565232
3,11.75,-0.011446650942943138
3,12.25,-0.056385972304640875
3,12.75,-0.10611451259101036
3,13.25,-0.1620270690622272
3,13.75,-0.2256940547164534
3,14.25,-0.2982276213445262
3,14.75,-0.3809932198537396
3,15.25,-1.2893208774295364
3,15.75,-1.2556090923421541
3,16.25,-1.2095548024994445
3,16.75,-1.1629441836058272
3,17.25,-1.1263386103946862
3,17.75,-1.1008011443691692
3,18.25,-1.0771004989434185
3,18.75,-1.0526341372279178
3,19.25,-1.0266394348520462
3,19.75,-0.9985159946254986
3,20.25,-0.966313231552013
3,20.75,-0.9303594422384207
3,21.25,-0.8944142088943143
3,21.75,-0.8595054183773823
3,22.25,-0.8256562737322092
3,22.75,-0.7928811337955979
3,23.25,-0.7611865842496616
3,23.75,-0.7305724472823143
3,24.25,-0.7010327181184961
3,24.75,-0.6725564257675282
3,25.25,-0.6451284151067301
3,25.75,-0.6187300559047696
3,26.25,-0.5933398711394793
3,26.75,-0.5689340971451143
3,27.25,-0.545487181096876
3,27.75,-0.5229722079328335
3,28.25,-0.5013612845952836
3,28.75,-0.4806258525278176
3,29.25,-0.4607369757533269
3,29.75,-0.4416655735452188
3,30.25,-0.4233826290973831
3,30.75,-0.40585933366491667
3,31.25,-0.389067253672209
3,31.75,-0.37297843188052043
3,32.25,-0.35756545938626527
3,32.75,-0.3428016134276372
3,33.25,-0.3286608086854888
3,33.75,-0.31511774535520104
3,34.25,-0.3021478985521669
3,34.75,-0.289727466479822
3,35.25,-0.27783351424072444
3,35.75,-0.26644393361028595
3,36.25,-0.2555373766299709
3,36.75,-0.24509330753147957
3,37.25,-0.23509187379377852
3,37.75,-0.2255143282281717
3,38.25,-0.21634219354953496
3,38.75,-0.20755809097528938
3,39.25,-0.19914505479789432
3,39.75,-0.19108757121872602
3,40.25,-0.18336967741671328
3,40.75,-0.17597670604609253
3,41.25,-0.16889544330531964
3,41.75,-0.16211149621628723
3,42.25,-0.15561168801544317
3,42.75,-0.14938568448234543
3,43.25,-0.14341836776811986
3,43.75,-0.13770036472098726
3,44.25,-0.1322203533253469
3,44.75,-0.12696882320003094
3,45.25,-0.12193773935379303
3,45.75,-0.11711139183630304
3,46.25,-0.11248450314648202
3,46.75,-0.10805519118855951
3,47.25,-0.10380084566917255
3,47.75,-0.09972872029406513
3,48.25,-0.09582154217618546
3,48.75,-0.09207371673727976
3,49.25,-0.08847668299679635
3,49.75,-0.08503972312741599
3,50.25,-0.08175235535155116
3,50.75,-0.07855305517661175
3,51.25,-0.07550930177926678
3,51.75,-0.07255144846045189
3,52.25,-0.06979884172631409
3,52.75,-0.06708560805163517
3,53.25,-0.06450634330093223
3,53.75,-0.062117808990454805
3,54.25,-0.05950330638331426
3,54.75,-0.05728432350879374
3,55.25,-0.05485186526370564
3,55.75,-0.053136335072149606
3,56.25,-0.05076440273710356
3,56.75,-0.048730717248391536
3,57.25,-0.04698938060346844
3,57.75,-0.0457041622752284
3,58.25,-0.04353482754040278
3,58.75,-0.041673715967860514
3,59.25,-0.04235739392142604
3,59.75,-0.04146316500478087
4,0.25,0.6714147738117432
4,0.75,0.6502647002474798
4,1.25,0.6216979094446543
4,1.75,0.5927479002634489
4,2.25,0.5634372837457522
4,2.75,0.5340311986210412
4,3.25,0.5056270638493036
4,3.75,0.47811641688259754
4,4.25,0.45037551219264627
4,4.75,0.4221611523693819
4,5.25,0.3937308287263443
4,5.75,0.36520007646405167
4,6.25,0.3370070328902163
4,6.75,0.30889405950090015
4,7.25,0.2799033997611616
4,7.75,0.25203211611941256
4,8.25,0.22345666677376
4,8.75,0.1952661606929907
4,9.25,0.16589964687695286
4,9.75,0.1347697595330397
4,10.25,0.10160399756337829
4,10.75,0.06616810344785964
4,11.25,0.028215130807132487
4,11.75,-0.012640364385400395
4,12.25,-0.057273263990461815
4,12.75,-0.106969640085531
4,13.25,-0.16146531960653396
4,13.75,-0.22089732857916386
4,14.25,-0.2886658920862398
4,14.75,-0.3676398053548139
4,15.25,-1.2730927313157618
4,15.75,-1.23942407708414
4,16.25,-1.1960972544893829
4,16.75,-1.1538758152032362
4,17.25,-1.120466366584345
