hour,x,psi
0,0.25,0.2951940216613579
0,0.75,0.25132569962729634
0,1.25,0.2098127040059421
0,1.75,0.17371994934564547
0,2.25,0.14281751917550853
0,2.75,0.11657643146177916
0,3.25,0.0943362420451657
0,3.75,0.07545620694028103
0,4.25,0.05935575162075335
0,4.75,0.0455393608258655
0,5.25,0.03363528171203141
0,5.75,0.023188651323008267
0,6.25,0.013781211796530132
0,6.75,0.005133024348700531
0,7.25,-0.002997459322373701
0,7.75,-0.010878315593588183
0,8.25,-0.018755070205864283
0,8.75,-0.026831639708448412
0,9.25,-0.03517150377341394
0,9.75,-0.04394585875682565
0,10.25,-0.05368367908708398
0,10.75,-0.06563525658293548
0,11.25,-0.0788143120677263
0,11.75,-0.09425994040319738
0,12.25,-0.11200262799327204
0,12.75,-0.13240740149583202
0,13.25,-0.156190367829302
0,13.75,-0.18466790888687612
0,14.25,-0.22162916701266977
0,14.75,-0.27131756800052526
0,15.25,-0.815903481759857
0,15.75,-0.7902857083754172
0,16.25,-0.7640175632773694
0,16.75,-0.7390737636784851
0,17.25,-0.715365708889959
0,17.75,-0.6928119158439808
0,18.25,-0.6713373877850463
0,18.75,-0.6508730388374415
0,19.25,-0.6313551707286763
0,19.75,-0.612724996974542
0,20.25,-0.5949282113670152
0,20.75,-0.5779145973429665
0,21.25,-0.5616376725330844
0,21.75,-0.546054367621958
0,22.25,-0.5311247360591641
0,22.75,-0.5168116893722561
0,23.25,-0.5030807587529282
0,23.75,-0.4898998762599448
0,24.25,-0.477239183344503
0,24.75,-0.4650708440384626
0,25.25,-0.45336889038616995
0,25.75,-0.44210907211708994
0,26.25,-0.43126871309980314
0,26.75,-0.42082661693533724
0,27.25,-0.410762897375389
0,27.75,-0.4010589576547766
0,28.25,-0.3916973421997461
0,28.75,-0.38266161322575315
0,29.25,-0.3739364445371825
0,29.75,-0.36550726228485936
0,30.25,-0.3573604829163524
0,30.75,-0.3494834598485301
0,31.25,-0.34186364814345915
0,31.75,-0.3344898735390317
0,32.25,-0.3273516103397318
0,32.75,-0.320437557772356
0,33.25,-0.31373949488229774
0,33.75,-0.3072483544372437
0,34.25,-0.30095405799824465
0,34.75,-0.29485211047505683
0,35.25,-0.28892769040521377
0,35.75,-0.28318026354558706
0,36.25,-0.2776029680241081
0,36.75,-0.27218545139497563
0,37.25,-0.26692409131765543
0,37.75,-0.2618066021631443
0,38.25,-0.2568321125385615
0,38.75,-0.2519797162408963
0,39.25,-0.24730329919266977
0,39.75,-0.24274050770992975
0,40.25,-0.2383153570181113
0,40.75,-0.2339441873342503
0,41.25,-0.22963200908486675
