hour,x,psi
0,0.25,0.704812053534242
0,0.75,0.6678406199166153
0,1.25,0.6267378614229413
0,1.75,0.5885938513810896
0,2.25,0.5530607013081071
0,2.75,0.5198265252335181
0,3.25,0.48860961026786437
0,3.75,0.4591533192849624
0,4.25,0.4312215768633976
0,4.75,0.4046155195372025
0,5.25,0.37920964914021565
0,5.75,0.35482757700163103
0,6.25,0.33130579067121785
0,6.75,0.30852216293258483
0,7.25,0.2865470344630382
0,7.75,0.26514226926644185
0,8.25,0.24376972413731085
0,8.75,0.22219712371624611
0,9.25,0.20040529511911137
0,9.75,0.17826928675663042
0,10.25,0.15582832896205712
0,10.75,0.13255066743942653
0,11.25,0.10722716808623028
0,11.75,0.07956973359118201
0,12.25,0.049707835861063525
0,12.75,0.017139225987568278
0,13.25,-0.018908920375041997
0,13.75,-0.05938106699064104
0,14.25,-0.10513590176792721
0,14.75,-0.15712803547983675
0,15.25,-0.7606994150026067
0,15.75,-0.7293635284153688
0,16.25,-0.6981801765860907
0,16.75,-0.6790756037567577
0,17.25,-0.6631074567029887
0,17.75,-0.6476176839552577
0,18.25,-0.632587495722097
0,18.75,-0.6179990392101363
0,19.25,-0.6038353425985585
0,19.75,-0.5900802623236037
0,20.25,-0.5767184346535542
0,20.75,-0.5637352302057445
0,21.25,-0.5511167107225241
0,21.75,-0.5388495905488094
0,22.25,-0.5269211994830012
0,22.75,-0.515319447996067
0,23.25,-0.5040327944118755
0,23.75,-0.4930502156602184
0,24.25,-0.48236117860572764
0,24.75,-0.4719556132720226
0,25.25,-0.46182388947209696
0,25.75,-0.45195679040511194
0,26.25,-0.4423454935615264
0,26.75,-0.4329815533301043
0,27.25,-0.42385686780506837
0,27.75,-0.41496368477225737
0,28.25,-0.40629455714155605
0,28.75,-0.3978423576163002
0,29.25,-0.3896002292491334
0,29.75,-0.38156158801443685
0,30.25,-0.3737201380068101
0,30.75,-0.3660697958595477
0,31.25,-0.35860472721843945
0,31.75,-0.3513193309708146
0,32.25,-0.3442082230284419
0,32.75,-0.33726625516173886
0,33.25,-0.3304883170380643
0,33.75,-0.32386961647623924
0,34.25,-0.31740563487915363
0,34.75,-0.3110917846137217
0,35.25,-0.3049239309737844
0,35.75,-0.2988977727586755
0,36.25,-0.29300927929431025
0,36.75,-0.2872549271636338
0,37.25,-0.28163060044361343
0,37.75,-0.27613286023338834
0,38.25,-0.27075820554399727
0,38.75,-0.2655026266518882
0,39.25,-0.2603642625438481
0,39.75,-0.2553392974035989
0,40.25,-0.2504242769886112
0,40.75,-0.24561758431736033
0,41.25,-0.24091509515933668
0,41.75,-0.23631364481127085
0,42.25,-0.23181107805737522
0,42.75,-0.22740786700570886
0,43.25,-0.2230996314466253
0,43.75,-0.2188833290855509
0,44.25,-0.21475624978973445
0,44.75,-0.21071078796524598
0,45.25,-0.20674966873331022
0,45.75,-0.20286097272297784
0,46.25,-0.19907918435415964
0,46.75,-0.19536269239699583
0,47.25,-0.19171482074127813
0,47.75,-0.18816369731175744
0,48.25,-0.18465933761358863
0,48.75,-0.18124534559625766
0,49.25,-0.17799938419440986
0,49.75,-0.1746437578317748
0,50.25,-0.17153420122123342
0,50.75,-0.16831471111921723
0,51.25,-0.16528558993801917
0,51.75,-0.16193727596294738
0,52.25,-0.15901084035254387
0,52.75,-0.15591797974015828
0,53.25,-0.15260164912671081
0,53.75,-0.149629810607482
0,54.25,-0.14676931495040577
0,54.75,-0.14430436336872793
0,55.25,-0.1428553682073755
0,55.75,-0.13961274202124882
0,56.25,-0.1373624535299783
0,56.75,-0.13629588662863756
0,57.25,-0.12999130476315576
0,57.75,-0.13334296005736745
0,58.25,-0.12839665003177547
0,58.75,-0.12315010908647227
0,59.25,-0.12244056139598693
0,59.75,-0.1180921731187765
1,0.25,0.7117520213969158
1,0.75,0.6704340481778975
1,1.25,0.6258444588100862
1,1.75,0.5850366178150409
1,2.25,0.5475196124317198
