hour,x,psi
0,0.25,0.7632510863835629
0,0.75,0.7410890689156829
0,1.25,0.7101500180296539
0,1.75,0.6784325565770163
0,2.25,0.6459930444068349
0,2.75,0.6128714146275189
0,3.25,0.5792395804778322
0,3.75,0.5451297202934113
0,4.25,0.5106321681510405
0,4.75,0.47575825688293955
0,5.25,0.4406600265651441
0,5.75,0.40526865176427007
0,6.25,0.3694728040459153
0,6.75,0.3333029539810422
0,7.25,0.2972749040894037
0,7.75,0.26117157019669224
0,8.25,0.2262201918732824
0,8.75,0.18828271623039478
0,9.25,0.14898296367122407
0,9.75,0.10793333407657761
0,10.25,0.06456283135665648
0,10.75,0.01831225625604461
0,11.25,-0.031794252455640104
0,11.75,-0.0875914669762963
0,12.25,-0.14907033740210357
0,12.75,-0.215892852899317
0,13.25,-0.29016040696809
0,13.75,-0.37363737745527
0,14.25,-0.46656697397457636
0,14.75,-0.5702653083587905
0,15.25,-1.4846818002941216
0,15.75,-1.4431456419347573
0,16.25,-1.393338266522737
0,16.75,-1.3439310694410351
0,17.25,-1.295106457634811
0,17.75,-1.2470246752204937
0,18.25,-1.1998240881613902
0,18.75,-1.1536219404815007
0,19.25,-1.108515463313425
0,19.75,-1.0645832322989008
0,20.25,-1.0218866816465086
0,20.75,-0.9804717008800965
0,21.25,-0.940370253696794
0,21.75,-0.9016019727047557
0,22.25,-0.8641756926550535
0,22.75,-0.8280909009747672
0,23.25,-0.7933390862227424
0,23.75,-0.759904976269329
0,24.25,-0.7277676624404557
0,24.75,-0.6969016083913804
0,25.25,-0.6672775483053884
0,25.75,-0.6388632798879803
0,26.25,-0.6116243570075818
0,26.75,-0.5855246877500676
0,27.25,-0.5605270582204541
0,27.75,-0.5365935716851773
0,28.25,-0.5136860186710442
0,28.75,-0.49176619761072604
0,29.25,-0.470796173760803
0,29.75,-0.4507384871486506
0,30.25,-0.4315563450878374
0,30.75,-0.4132137398838551
0,31.25,-0.3956755622952944
0,31.75,-0.37890770112898836
0,32.25,-0.36287708929818563
0,32.75,-0.3475517260776852
0,33.25,-0.3329007649289261
0,33.75,-0.318894459348486
0,34.25,-0.3055041823027389
0,34.75,-0.29270249703156387
0,35.25,-0.2804630165092524
0,35.75,-0.2687604397877319
0,36.25,-0.2575705492871495
0,36.75,-0.24687024320838863
0,37.25,-0.23663725350112097
0,37.75,-0.22685063248867723
0,38.25,-0.21748988086729645
0,38.75,-0.20853593479696367
0,39.25,-0.19997005059818954
0,39.75,-0.19177476700408985
0,40.25,-0.18393389638312863
0,40.75,-0.1764300468692302
0,41.25,-0.16924985120075556
0,41.75,-0.1623763819097963
0,42.25,-0.15579852075424455
0,42.75,-0.14950020004972459
0,43.25,-0.14347213272503306
0,43.75,-0.1376990137231979
0,44.25,-0.1321705488061705
0,44.75,-0.1268800509991612
0,45.25,-0.12180620105144695
0,45.75,-0.11694515444854159
0,46.25,-0.11229946251499959
0,46.75,-0.10784621118457581
0,47.25,-0.10356301014474717
0,47.75,-0.09946842895575407
0,48.25,-0.09555335601305219
0,48.75,-0.0918053529769289
0,49.25,-0.0882180092798709
0,49.75,-0.08471373554961657
0,50.25,-0.08138113077596053
0,50.75,-0.07806484653222684
0,51.25,-0.07513319350709474
0,51.75,-0.07227552984439972
0,52.25,-0.06940451262358524
0,52.75,-0.06664053594204372
0,53.25,-0.06365467201940135
0,53.75,-0.06130292058859252
0,54.25,-0.059225131397958146
0,54.75,-0.05688880301232764
0,55.25,-0.05391358654178031
0,55.75,-0.05227172800468839
0,56.25,-0.050068333664290435
0,56.75,-0.046621420420164185
0,57.25,-0.045076021574646824
0,57.75,-0.04064086465570625
0,58.25,-0.040961673150233496
0,58.75,-0.038957437829499106
0,59.25,-0.034825790403016324
0,59.75,-0.03571965981327731
1,0.25,0.801000974481682
1,0.75,0.7790540728912817
1,1.25,0.7477034641681816
1,1.75,0.715403834515403
1,2.25,0.682355272683992
1,2.75,0.6485705008690396
1,3.25,0.6140373424728616
1,3.75,0.5787153552081302
1,4.25,0.5426237884579365
1,4.75,0.5060260927193536
1,5.25,0.470144813499149
1,5.75,0.43517441636194276
1,6.25,0.401344843313331
1,6.75,0.36835702835941564
1,7.25,0.3356099455927834
1,7.75,0.30662455959318324
1,8.25,0.2726300223111755
1,8.75,0.23733205298635826
1,9.25,0.200238850848291
1,9.75,0.16077032139286782
1,10.25,0.11821837221567395
1,10.75,0.07170172376149812
1,11.25,0.02013689612943364
1,11.75,-0.037392197742595806
1,12.25,-0.10280180293721593
1,12.75,-0.17912184578281293
1,13.25,-0.26860496158715025
1,13.75,-0.37475019130404713
1,14.25,-0.50563167167652
1,14.75,-0.6690517013807674
1,15.25,-1.6325332024684336
1,15.75,-1.5994500406253893
1,16.25,-1.523234929840289
1,16.75,-1.4195247178754966
1,17.25,-1.3365603690585006
1,17.75,-1.2818745829799663
1,18.25,-1.2339185897109204
1,18.75,-1.1868927819401134
1,19.25,-1.1409099130756015
1,19.75,-1.0960622220031644
1,20.25,-1.0524230449371563
1,20.75,-1.0100485346212293
1,21.25,-0.968979415614238
1,21.75,-0.9292427198499749
1,22.25,-0.8908534677342178
1,22.75,-0.853816251889738
1,23.25,-0.8181267219530604
1,23.75,-0.7837729451934674
1,24.25,-0.7507366398138472
1,24.75,-0.7189942899029849
1,25.25,-0.6885181304429967
1,25.75,-0.6592770155388852
1,26.25,-0.631237203932569
1,26.75,-0.6043629863278777
1,27.25,-0.5786172967176102
1,27.75,-0.553962131399916
1,28.25,-0.5303590605437106
1,28.75,-0.507769553086832
1,29.25,-0.48615511204586576
1,29.75,-0.4654778021740635
1,30.25,-0.44570014091734783
1,30.75,-0.42678541735212366
1,31.25,-0.4086978780447784
1,31.75,-0.3914027446197186
1,32.25,-0.37486613288675413
1,32.75,-0.3590552946796551
1,33.25,-0.3439385782414936
1,33.75,-0.329485229175322
1,34.25,-0.31566708780083247
1,34.75,-0.30245439642012956
1,35.25,-0.2898221336349103
1,35.75,-0.27774048311129523
1,36.25,-0.26618875018402793
1,36.75,-0.2551418942168067
1,37.25,-0.24457398958716178
1,37.75,-0.2344776495222869
1,38.25,-0.2248007959896432
1,38.75,-0.21556268730077824
1,39.25,-0.2067010104325238
1,39.75,-0.19824776865986043
1,40.25,-0.19017456373848882
1,40.75,-0.182459984561637
1,41.25,-0.17504014404467844
1,41.75,-0.1678776872258943
1,42.25,-0.1611279928440514
1,42.75,-0.15472911987971327
1,43.25,-0.1483337597298188
1,43.75,-0.1429365586708596
1,44.25,-0.1369784062313803
1,44.75,-0.13175800415410546
1,45.25,-0.12724803875892124
1,45.75,-0.12249133425823527
1,46.25,-0.11618727234022937
1,46.75,-0.11056615218650385
1,47.25,-0.10742823018752606
1,47.75,-0.09306870250694146
1,48.25,-0.09559021627190674
1,48.75,-0.09378858017923881
1,49.25,-0.10083519396847115
1,49.75,-0.08104379595553
1,50.25,-0.08494174279740893
1,50.75,-0.08687448291065551
1,51.25,-0.08573662102956812
1,51.75,-0.06925479832851801
1,52.25,-0.10497714188659336
1,52.75,-0.059719686392774446
1,53.25,0.0
1,53.75,0.0
1,54.25,0.0
1,54.75,0.0
1,55.25,0.0
1,55.75,0.0
1,56.25,0.0
1,56.75,0.0
1,57.25,0.0
1,57.75,0.0
1,58.25,0.0
1,58.75,0.0
1,59.25,0.0
1,59.75,0.0
2,0.25,0.94176298894112
2,0.75,0.9441268926761708
2,1.25,0.935737470020534
2,1.75,0.9265321961417267
2,2.25,0.9164072164780597
2,2.75,0.9052480112441051
2,3.25,0.8929273244411521
2,3.75,0.879302482230634
2,4.25,0.8642126116705249
2,4.75,0.8474765794079561
2,5.25,0.8288923476072092
2,5.75,0.8082907718179547
2,6.25,0.7856602362209032
2,6.75,0.7608928844372013
2,7.25,0.734046871704075
2,7.75,0.7049408696633632
2,8.25,0.6732506587960909
2,8.75,0.6388161214848275
2,9.25,0.6018848356214827
2,9.75,0.5619061508127733
2,10.25,0.5170131920179973
2,10.75,0.466985982346516
2,11.25,0.4133895687591908
2,11.75,0.3558137265972146
2,12.25,0.2926401938863565
2,12.75,0.22293737567199787
2,13.25,0.14709871102176736
