hour,x,psi
0,0.25,30.478977880065088
0,0.75,24.934531861310916
0,1.25,20.054980254227686
0,1.75,16.02624280695572
0,2.25,12.609527430300274
0,2.75,9.781319028516563
0,3.25,7.378276492831393
0,3.75,5.302172410511753
0,4.25,3.437065142644837
0,4.75,1.7711632266881328
0,5.25,0.31323812159744513
0,5.75,-0.9774216376179261
0,6.25,-2.12580574332517
0,6.75,-3.1475297304655765
0,7.25,-4.104613555171236
0,7.75,-5.039094044603244
0,8.25,-5.90601562866542
0,8.75,-6.711013362674894
0,9.25,-7.602158208130533
0,9.75,-8.663267106790025
0,10.25,-9.80246779491767
0,10.75,-10.977228882769795
0,11.25,-12.085146721475482
0,11.75,-13.077513374768598
0,12.25,-14.015598821323442
0,12.75,-14.919810728308548
0,13.25,-15.788536960868807
0,13.75,-16.62056027118419
0,14.25,-17.41505849639887
0,14.75,-18.171591434580048
0,15.25,-18.890077278462396
0,15.75,-19.570761206072678
0,16.25,-20.214178729265655
0,16.75,-20.821116243171605
0,17.25,-21.392570732085048
0,17.75,-21.929710323345187
0,18.25,-22.43383657545962
0,18.75,-22.906350041889027
0,19.25,-23.34871840804736
0,19.75,-23.76244966545101
0,20.25,-24.149067573970527
0,20.75,-24.51009276090175
0,21.25,-24.84702382634167
0,21.75,-25.16132522595548
0,22.25,-25.45441804557997
0,22.75,-25.727668954201484
0,23.25,-25.982388459656427
0,23.75,-26.219823254446137
0,24.25,-26.441151537553115
0,24.75,-26.647494420260635
0,25.25,-26.83990453432894
0,25.75,-27.019362985072874
0,26.25,-27.186803748222736
0,26.75,-27.343057543867594
0,27.25,-27.488955813306845
0,27.75,-27.625294121278685
0,28.25,-27.75260093418975
0,28.75,-27.87174155334076
0,29.25,-27.98313437186371
0,29.75,-28.087535124009968
0,30.25,-28.184928833670167
0,30.75,-28.27664903107277
0,31.25,-28.36353471322304
0,31.75,-28.443991822669467
0,32.25,-28.518421334756738
0,32.75,-28.59003060066119
0,33.25,-28.657990099762305
0,33.75,-28.721320822492366
0,34.25,-28.77744659880791
0,34.75,-28.851329187762953
0,35.25,-28.900414447284078
0,35.75,-28.93658162692336
0,36.25,-28.989303278166684
0,36.75,-29.0078481189062
0,37.25,-29.01645061309203
0,37.75,-28.98789950925419
0,38.25,-29.462668917913874
0,38.75,-29.39449594344183
0,39.25,-29.30537392943926
0,39.75,-29.71780262668685
0,40.25,-28.68411612831281
0,40.75,-27.67869304759322
0,41.25,-28.10072699605881
0,41.75,-30.177305335388414
0,42.25,-32.81627724835163
0,42.75,-31.97168243604056
0,43.25,-30.112287352368575
0,43.75,-30.23487771668762
0,44.25,-38.33100351124679
0,44.75,-38.33100351124679
0,45.25,-38.33100351124679
0,45.75,-38.33100351124679
0,46.25,-38.33100351124679
0,46.75,-38.33100351124679
0,47.25,-38.33100351124679
0,47.75,-38.33100351124679
0,48.25,-38.33100351124679
0,48.75,-38.33100351124679
0,49.25,-38.33100351124679
0,49.75,-38.33100351124679
0,50.25,-38.33100351124679
0,50.75,-38.33100351124679
0,51.25,-38.33100351124679
0,51.75,-38.33100351124679
0,52.25,-38.33100351124679
0,52.75,-38.33100351124679
0,53.25,-38.33100351124679
0,53.75,-38.33100351124679
0,54.25,-38.33100351124679
0,54.75,-38.33100351124679
0,55.25,-38.33100351124679
0,55.75,-38.33100351124679
0,56.25,-38.33100351124679
0,56.75,-38.33100351124679
0,57.25,-38.33100351124679
0,57.75,-38.33100351124679
0,58.25,-38.33100351124679
0,58.75,-38.33100351124679
0,59.25,-38.33100351124679
0,59.75,-38.33100351124679
1,0.25,24.35124003033664
1,0.75,20.016693178983463
1,1.25,16.06674539306017
1,1.75,12.688010564698013
1,2.25,9.707516111410888
1,2.75,7.075852751077326
1,3.25,4.790813689066885
1,3.75,2.8263355319433234
1,4.25,1.1615146470434503
1,4.75,-0.2600396698688261
1,5.25,-1.4954164093120212
1,5.75,-2.592276214476419
1,6.25,-3.5570595595005763
1,6.75,-4.386116881175409
1,7.25,-5.068858833157579
1,7.75,-5.605796136269245
1,8.25,-6.07313453280713
1,8.75,-6.517366149029112
1,9.25,-6.989043683778009
1,9.75,-7.514880503555939
1,10.25,-7.966003913499786
1,10.75,-8.264547897527862
1,11.25,-8.387721564149317
1,11.75,-8.34249530195822
1,12.25,-8.47558946658361
1,12.75,-8.983878794941484
1,13.25,-9.602153208899956
1,13.75,-10.214653105864956
1,14.25,-10.820430813559145
1,14.75,-11.418571202296427
1,15.25,-12.008205429908646
1,15.75,-12.588521584284099
1,16.25,-13.158775360731473
1,16.75,-13.718293437565103
1,17.25,-14.266475200878132
1,17.75,-14.802807478273378
1,18.25,-15.326832590947518
1,18.75,-15.838235887716783
1,19.25,-16.336627051074
1,19.75,-16.821801283263433
1,20.25,-17.293882719053997
1,20.75,-17.752410754075093
1,21.25,-18.197461156975777
1,21.75,-18.628907742830236
1,22.25,-19.04724025029763
1,22.75,-19.45114846032171
1,23.25,-19.846691021324077
1,23.75,-20.228539516819367
1,24.25,-20.571265577347155
1,24.75,-20.902522994179513
1,25.25,-21.266923843283568
1,25.75,-21.525976620651882
1,26.25,-21.892116986467375
1,26.75,-21.688921529175257
1,27.25,-21.523201082191743
1,27.75,-22.17219082165228
1,28.25,-20.577751374722958
1,28.75,-24.21196885222959
1,29.25,-21.27656665016286
1,29.75,-13.190137946082963
1,30.25,-13.190137946082963
1,30.75,-13.190137946082963
1,31.25,-13.190137946082963
1,31.75,-13.190137946082963
1,32.25,-13.190137946082963
1,32.75,-13.190137946082963
1,33.25,-13.190137946082963
1,33.75,-13.190137946082963
1,34.25,-13.190137946082963
1,34.75,-13.190137946082963
1,35.25,-13.190137946082963
1,35.75,-13.190137946082963
1,36.25,-13.190137946082963
1,36.75,-13.190137946082963
1,37.25,-13.190137946082963
1,37.75,-13.190137946082963
1,38.25,-13.190137946082963
1,38.75,-13.190137946082963
1,39.25,-13.190137946082963
1,39.75,-13.190137946082963
1,40.25,-13.190137946082963
1,40.75,-13.190137946082963
1,41.25,-13.190137946082963
1,41.75,-13.190137946082963
1,42.25,-13.190137946082963
1,42.75,-13.190137946082963
1,43.25,-13.190137946082963
1,43.75,-13.190137946082963
1,44.25,-13.190137946082963
1,44.75,-13.190137946082963
1,45.25,-13.190137946082963
1,45.75,-13.190137946082963
1,46.25,-13.190137946082963
1,46.75,-13.190137946082963
1,47.25,-13.190137946082963
1,47.75,-13.190137946082963
1,48.25,-13.190137946082963
1,48.75,-13.190137946082963
1,49.25,-13.190137946082963
1,49.75,-13.190137946082963
1,50.25,-13.190137946082963
1,50.75,-13.190137946082963
1,51.25,-13.190137946082963
1,51.75,-13.190137946082963
1,52.25,-13.190137946082963
1,52.75,-13.190137946082963
1,53.25,-13.190137946082963
1,53.75,-13.190137946082963
1,54.25,-13.190137946082963
1,54.75,-13.190137946082963
1,55.25,-13.190137946082963
1,55.75,-13.190137946082963
1,56.25,-13.190137946082963
1,56.75,-13.190137946082963
1,57.25,-13.190137946082963
1,57.75,-13.190137946082963
1,58.25,-13.190137946082963
1,58.75,-13.190137946082963
1,59.25,-13.190137946082963
1,59.75,-13.190137946082963
2,0.25,41.87452199863457
2,0.75,36.91596391448553
2,1.25,31.945852954907906
2,1.75,27.41769953926126
2,2.25,23.373065338266304
2,2.75,19.76655991137173
2,3.25,16.529430180251595
2,3.75,13.636016432225851
2,4.25,11.177687891113386
2,4.75,8.982358036689373
2,5.25,7.024186852293349
2,5.75,5.26735913042841
2,6.25,3.698338145124641
2,6.75,2.279771991353254
2,7.25,0.9694829137797782
2,7.75,-0.24504147727085623
2,8.25,-1.3753954114402767
2,8.75,-2.438280218839491
2,9.25,-3.43583618934141
2,9.75,-4.371391242311084
2,10.25,-5.264681146297402
2,10.75,-6.127060729361398
2,11.25,-6.94446751255945
2,11.75,-7.711082551711925
2,12.25,-8.424169278283806
2,12.75,-9.096972685239903
2,13.25,-9.808456780793486
2,13.75,-10.600658524500274
2,14.25,-11.462445224892509
2,14.75,-12.407836138434858
2,15.25,-13.444171900345081
2,15.75,-14.556556808675232
2,16.25,-15.550745281377099
2,16.75,-16.350034177632367
2,17.25,-17.06016424727297
2,17.75,-17.71623154021846
2,18.25,-18.336217955802574
2,18.75,-18.926349089906417
2,19.25,-19.487408849177378
2,19.75,-20.020281100057467
2,20.25,-20.525927004104638
2,20.75,-21.005364581155526
