hour,x,psi
0,0.25,40.515125144402745
0,0.75,35.6261433802219
0,1.25,30.89976563974659
0,1.75,26.69422752434367
0,2.25,22.940266959036272
0,2.75,19.58457628958024
0,3.25,16.592085840312098
0,3.75,13.925357564552003
0,4.25,11.564352639672608
0,4.75,9.468387979395336
0,5.25,7.594661072008805
0,5.75,5.911273651177783
0,6.25,4.391156106382569
0,6.75,3.0139907860889554
0,7.25,1.762660371980461
0,7.75,0.6243247120819131
0,8.25,-0.4120770391327504
0,8.75,-1.3639166590025287
0,9.25,-2.2331779894535444
0,9.75,-3.0251853657510743
0,10.25,-3.7602242451741645
0,10.75,-4.452297820690003
0,11.25,-5.103904548457745
0,11.75,-5.717233988432952
0,12.25,-6.28403951819314
0,12.75,-6.8055071843352515
0,13.25,-7.300837849573297
0,13.75,-7.777028588910515
0,14.25,-8.225673031414825
0,14.75,-8.634978365699114
0,15.25,-8.958417056428356
0,15.75,-9.193134427674513
0,16.25,-9.424642487478144
0,16.75,-9.665143133957415
0,17.25,-9.832970959609185
0,17.75,-9.934404718505974
0,18.25,-10.15007021076136
0,18.75,-10.527362510420048
0,19.25,-10.935106730596697
0,19.75,-11.332610137816072
0,20.25,-11.720197751794416
0,20.75,-12.098181513212957
0,21.25,-12.466860979189558
0,21.75,-12.826523772916506
0,22.25,-13.177446428229423
0,22.75,-13.519894665943802
0,23.25,-13.854124084000206
0,23.75,-14.18038043751569
0,24.25,-14.498900239615708
0,24.75,-14.809911473377564
0,25.25,-15.113633110386747
0,25.75,-15.410276698447323
0,26.25,-15.700045329688903
0,26.75,-15.98313542015569
0,27.25,-16.259736212196447
0,27.75,-16.530030548932054
0,28.25,-16.79419341439395
0,28.75,-17.05239643005386
0,29.25,-17.30480043162148
0,29.75,-17.55156882736727
0,30.25,-17.792848428399545
0,30.75,-18.028793692730627
0,31.25,-18.259540578836013
0,31.75,-18.48523341922499
0,32.25,-18.706000572135267
0,32.75,-18.921974944864356
0,33.25,-19.133281513232316
0,33.75,-19.3400334205546
0,34.25,-19.54235175219655
0,34.75,-19.740343051329944
0,35.25,-19.934160118998534
0,35.75,-20.123874790147994
0,36.25,-20.309579313745203
0,36.75,-20.491362592176483
0,37.25,-20.669352833640044
0,37.75,-20.843679286589413
0,38.25,-21.014316412675914
0,38.75,-21.18146728686443
0,39.25,-21.34498701333169
0,39.75,-21.50542860369904
0,40.25,-21.6622723983738
0,40.75,-21.816343764121378
0,41.25,-21.967217840891223
0,41.75,-22.114965940898333
0,42.25,-22.25952254074964
0,42.75,-22.401469322410293
0,43.25,-22.540366496290996
0,43.75,-22.67543217852527
0,44.25,-22.80853944843449
0,44.75,-22.93774348320405
0,45.25,-23.068599647834205
0,45.75,-23.1960174963089
0,46.25,-23.314757926541137
0,46.75,-23.43434810465725
0,47.25,-23.557009805533358
0,47.75,-23.67787150811474
0,48.25,-23.795684734979925
0,48.75,-23.9072485147968
0,49.25,-24.041596076982234
0,49.75,-24.124607037375267
0,50.25,-24.231193791229803
0,50.75,-24.349406159637642
0,51.25,-24.42529975965807
0,51.75,-24.622354735995685
0,52.25,-24.678140703965415
0,52.75,-24.741786898700372
0,53.25,-24.751247639486742
0,53.75,-24.71370227773115
0,54.25,-24.834085739129538
0,54.75,-25.371948177944322
0,55.25,-25.044411012514704
0,55.75,-25.348019543003932
0,56.25,-25.004671486996735
0,56.75,-25.50452699629884
0,57.25,-25.22401918884947
0,57.75,-24.61402268295558
0,58.25,-26.168365983205188
0,58.75,-24.94259197802816
0,59.25,-25.317531807561213
0,59.75,-26.447407980286346
1,0.25,28.111782721149964
1,0.75,22.564703969278867
1,1.25,17.813398768387934
1,1.75,13.962003321296027
1,2.25,10.690733998047444
1,2.75,8.323181838507377
1,3.25,6.262418565324392
1,3.75,4.530405921034337
1,4.25,3.051888081420582
1,4.75,1.7715411114201114
1,5.25,0.6461005805149487
1,5.75,-0.3529015482924258
1,6.25,-1.2502292649235471
1,6.75,-2.0688319148816223
1,7.25,-2.8228337649786583
1,7.75,-3.5269131039735635
1,8.25,-4.206674553857167
1,8.75,-4.879583532519142
1,9.25,-5.537398177882374
1,9.75,-6.179718293882458
1,10.25,-6.799891599009553
1,10.75,-7.39282098397757
1,11.25,-7.938264181103922
1,11.75,-8.432139053042613
1,12.25,-8.907055972636496
1,12.75,-9.381136328579203
1,13.25,-9.879105466544821
1,13.75,-10.42768295116269
1,14.25,-11.082505611543706
1,14.75,-11.853594325668563
1,15.25,-12.575792095869826
1,15.75,-13.18075844287795
1,16.25,-13.692505664970616
1,16.75,-14.1202919835615
1,17.25,-14.517787539257178
1,17.75,-14.902235493144678
1,18.25,-15.274205981493667
1,18.75,-15.634237582767208
1,19.25,-15.982839040521096
1,19.75,-16.3204915330941
1,20.25,-16.64765043129293
1,20.75,-16.964747000045797
1,21.25,-17.27218973993392
1,21.75,-17.57036603761771
1,22.25,-17.859643586851043
1,22.75,-18.14037136984453
1,23.25,-18.41288084323686
1,23.75,-18.677487067455097
1,24.25,-18.934490830487267
1,24.75,-19.18417598896358
1,25.25,-19.426813537352537
1,25.75,-19.662663651841218
1,26.25,-19.89197285190277
1,26.75,-20.114976805137765
1,27.25,-20.33189907425238
1,27.75,-20.54295121534569
1,28.25,-20.74834614507843
1,28.75,-20.94826938457258
1,29.25,-21.14291436294617
1,29.75,-21.332448612695153
1,30.25,-21.517068714001844
1,30.75,-21.696903506859993
1,31.25,-21.872150345715898
1,31.75,-22.042913055616058
1,32.25,-22.2093634237007
1,32.75,-22.371631531718617
1,33.25,-22.52980308117405
1,33.75,-22.68420108481461
1,34.25,-22.83457711366871
1,34.75,-22.981559864653683
1,35.25,-23.124845824045423
1,35.75,-23.264684561892125
1,36.25,-23.401066742947766
1,36.75,-23.53430397867035
1,37.25,-23.66453825938703
1,37.75,-23.791656388336666
1,38.25,-23.91557484829958
1,38.75,-24.036289159421397
1,39.25,-24.1541608282928
1,39.75,-24.270510525298135
1,40.25,-24.383990682911907
1,40.75,-24.49546939409196
1,41.25,-24.60213469899427
1,41.75,-24.706516649932585
1,42.25,-24.817478529044003
1,42.75,-24.91829187145243
1,43.25,-25.01329279873705
1,43.75,-25.111841394670474
1,44.25,-25.235949758860038
1,44.75,-25.36964134509435
1,45.25,-25.465305812796416
1,45.75,-25.552913899321435
1,46.25,-25.60822459170209
1,46.75,-25.714406298868106
1,47.25,-25.835496928616784
1,47.75,-25.79385355788119
1,48.25,-25.772316663827517
1,48.75,-25.502863473654518
1,49.25,-25.735442420737645
1,49.75,-25.596388120896716
1,50.25,-25.893848934986842
1,50.75,-25.9832018571441
1,51.25,-26.481661234889913
1,51.75,-26.044045137748192
1,52.25,-26.49433399940416
1,52.75,-26.6624179484274
1,53.25,-26.61122386404205
1,53.75,-26.919393019249103
1,54.25,-26.303418724243393
1,54.75,-26.44816776094718
1,55.25,-22.60188802217339
1,55.75,-27.644883472372197
1,56.25,-29.4006358049682
1,56.75,-35.068645645052484
1,57.25,-37.772418013793214
1,57.75,-37.772418013793214
1,58.25,-37.772418013793214
1,58.75,-37.772418013793214
1,59.25,-37.772418013793214
1,59.75,-37.772418013793214
2,0.25,47.459877088959246
2,0.75,43.340164434390275
2,1.25,39.10846263617892
2,1.75,35.23199277056496
2,2.25,31.680178000546938
2,2.75,28.421211581336777
2,3.25,25.42736251534913
2,3.75,22.674161768375587
2,4.25,20.145112431597855
2,4.75,17.819128698927116
2,5.25,15.676569647498681
2,5.75,13.700195262504307
2,6.25,11.877367280995239
2,6.75,10.1910020648741
2,7.25,8.618869500036805
2,7.75,7.151696091760435
2,8.25,5.788031227583879
2,8.75,4.519721607888201
2,9.25,3.337306384957877
2,9.75,2.2333883713178615
2,10.25,1.2017985052246871
2,10.75,0.23674826125511217
2,11.25,-0.6739729583799701
2,11.75,-1.532264768143765
2,12.25,-2.339722390752854
2,12.75,-3.095222263944944
2,13.25,-3.764701255260821
2,13.75,-4.362725346170862
2,14.25,-5.038343834868682
2,14.75,-5.631436863686856
2,15.25,-6.215226077755272
2,15.75,-6.791237408291849
2,16.25,-7.338165570574752
2,16.75,-7.84704260873044
2,17.25,-8.31044493119844
2,17.75,-8.722060119204713
2,18.25,-9.071769399811695
2,18.75,-9.37995974167359
2,19.25,-9.770539353352893
2,19.75,-10.269840406289335
2,20.25,-10.76133932660014
2,20.75,-11.210937267479572
2,21.25,-11.641046723235132
2,21.75,-12.058790902118995
2,22.25,-12.464631648738536
2,22.75,-12.859008932997412
2,23.25,-13.242342140736929
2,23.75,-13.615031161774864
2,24.25,-13.977457548073918
2,24.75,-14.32998552755975
2,25.25,-14.672962962712642
2,25.75,-15.00672211573164
2,26.25,-15.331580806482718
2,26.75,-15.647842782465865
2,27.25,-15.95579883699372
2,27.75,-16.255726949142865
2,28.25,-16.547893948063226
2,28.75,-16.832554702448597
2,29.25,-17.10995417233579
2,29.75,-17.38032680520613
2,30.25,-17.643897683263745
2,30.75,-17.900882369242662
2,31.25,-18.151488668825372
2,31.75,-18.395915038768997
2,32.25,-18.634353181882418
2,32.75,-18.866986110164767
2,33.25,-19.093991135161794
2,33.75,-19.31553703887925
2,34.25,-19.531789074065696
2,34.75,-19.7429038325123
2,35.25,-19.94903122963886
2,35.75,-20.150318076542078
2,36.25,-20.34690502024753
2,36.75,-20.538929918186582
2,37.25,-20.726518084393508
2,37.75,-20.909797526979833
2,38.25,-21.08888740655209
2,38.75,-21.26391051788665
2,39.25,-21.434984322170806
2,39.75,-21.602198939178354
2,40.25,-21.76566800807282
2,40.75,-21.925509217327836
2,41.25,-22.08179689540043
2,41.75,-22.234637308528477
2,42.25,-22.38411916646226
2,42.75,-22.530336238535682
2,43.25,-22.673361218614165
2,43.75,-22.813350398315837
2,44.25,-22.95025280357268
2,44.75,-23.084245561989807
2,45.25,-23.21530033128024
2,45.75,-23.343685309695463
2,46.25,-23.469366820264284
2,46.75,-23.592263898866495
2,47.25,-23.712670819650963
2,47.75,-23.830467024533245
2,48.25,-23.945737516488734
2,48.75,-24.058794282419086
2,49.25,-24.169573802483153
2,49.75,-24.277837253599778
2,50.25,-24.38382394357641
2,50.75,-24.487854932109663
2,51.25,-24.589365136032836
2,51.75,-24.68923100894626
2,52.25,-24.786354647805044
2,52.75,-24.881654032697867
2,53.25,-24.975695535874255
2,53.75,-25.06713234838192
2,54.25,-25.157310723214408
2,54.75,-25.245406678995572
2,55.25,-25.33078439715852
2,55.75,-25.41642303436842
2,56.25,-25.50211072980951
2,56.75,-25.578347826330816
2,57.25,-25.656443218298577
2,57.75,-25.730925866133802
