hour,x,psi
0,0.25,30.82106789396728
0,0.75,27.151168093560372
0,1.25,23.55267887934458
0,1.75,20.31381388608346
0,2.25,17.3975121043106
0,2.75,14.77094091575705
0,3.25,12.41449363927734
0,3.75,10.299587186832797
0,4.25,8.403508870379428
0,4.75,6.696553756762331
0,5.25,5.145984612963021
0,5.75,3.7350774795251294
0,6.25,2.4544865235697095
0,6.75,1.290135611750605
0,7.25,0.2287521374068966
0,7.75,-0.7473275939194597
0,8.25,-1.6375963442170907
0,8.75,-2.452145071018453
0,9.25,-3.217339149306591
0,9.75,-3.9486359231535637
0,10.25,-4.6219017586913065
0,10.75,-5.229298174593509
0,11.25,-5.788368231613719
0,11.75,-6.3050290883513735
0,12.25,-6.772365000751149
0,12.75,-7.198952960357509
0,13.25,-7.640912878196434
0,13.75,-8.115587852726229
0,14.25,-8.581588692236574
0,14.75,-9.009912224960084
0,15.25,-9.319368712136594
0,15.75,-9.51493683964147
0,16.25,-9.795430345820613
0,16.75,-10.214574897427916
0,17.25,-10.656950975107607
0,17.75,-11.087027751078898
0,18.25,-11.50524793176523
0,18.75,-11.912033997922162
0,19.25,-12.307789261079009
0,19.75,-12.692898949800917
0,20.25,-13.067731173788546
0,20.75,-13.432637955282765
0,21.25,-13.787955831261552
0,21.75,-14.134007024553885
0,22.25,-14.471099874325642
0,22.75,-14.79952984590008
0,23.25,-15.119579843775938
0,23.75,-15.431521248472524
0,24.25,-15.735614294352004
0,24.75,-16.03210833073419
0,25.25,-16.321243185642494
0,25.75,-16.603248702119686
0,26.25,-16.878345770098196
0,26.75,-17.14674713446196
0,27.25,-17.408655881468988
0,27.75,-17.664268608568555
0,28.25,-17.913774282444404
0,28.75,-18.157354335223815
0,29.25,-18.39518329264012
0,29.75,-18.627431337954867
0,30.25,-18.85425617923831
0,30.75,-19.07581807098432
0,31.25,-19.292267809012433
0,31.75,-19.50374534905737
0,32.25,-19.710397821648698
0,32.75,-19.912355151926903
0,33.25,-20.109746387855008
0,33.75,-20.302707186996003
0,34.25,-20.49134106647344
0,34.75,-20.67578149552598
0,35.25,-20.856155022832755
0,35.75,-21.032528769491915
0,36.25,-21.205025276674345
0,36.75,-21.373730099519307
0,37.25,-21.53878440471792
0,37.75,-21.70030399113297
0,38.25,-21.85843547341485
0,38.75,-22.012979720374688
0,39.25,-22.164317621545994
0,39.75,-22.31235338788497
0,40.25,-22.457075128013287
0,40.75,-22.599214287302367
0,41.25,-22.737936152625252
0,41.75,-22.873959877084683
0,42.25,-23.007393464671217
0,42.75,-23.137994234459487
0,43.25,-23.264952667396773
0,43.75,-23.38906512503921
0,44.25,-23.513695348371087
0,44.75,-23.633449725377833
0,45.25,-23.750542114277078
0,45.75,-23.868336132136974
0,46.25,-23.976690691256312
0,46.75,-24.088945568792987
0,47.25,-24.193954946318605
0,47.75,-24.289954723897175
0,48.25,-24.40244557067373
0,48.75,-24.501482406276125
0,49.25,-24.594493138663836
0,49.75,-24.707988374191398
0,50.25,-24.818741003081687
0,50.75,-24.881147832063636
0,51.25,-24.960278765035213
0,51.75,-25.104093431449844
0,52.25,-25.201598980757517
0,52.75,-25.29767717801382
0,53.25,-25.410026429364027
0,53.75,-25.436807280052864
0,54.25,-25.58789776232208
0,54.75,-25.781232791479702
0,55.25,-25.750629985596863
0,55.75,-25.956531528951864
0,56.25,-25.95478426623652
0,56.75,-26.196694113678948
0,57.25,-25.75938127559093
0,57.75,-26.089111755041664
0,58.25,-26.431047682592073
0,58.75,-26.07072948207522
0,59.25,-27.05624456077555
0,59.75,-26.032537089616202
1,0.25,29.52302692887206
1,0.75,25.308922540115283
1,1.25,21.31006998167189
1,1.75,17.784649694555085
1,2.25,14.692740919687528
1,2.75,11.977577264319919
1,3.25,9.589212996657238
1,3.75,7.490395056260672
1,4.25,5.668979719404195
1,4.75,4.0772364232122715
1,5.25,2.684556753017368
1,5.75,1.4067214646821604
1,6.25,0.25954408030685805
1,6.75,-0.7796503251222209
1,7.25,-1.72944064299808
1,7.75,-2.6009206987401914
1,8.25,-3.3934256741110698
1,8.75,-4.110400785317514
1,9.25,-4.778531735961632
1,9.75,-5.420747148273955
1,10.25,-6.074678138260381
1,10.75,-6.757270188139438
1,11.25,-7.41306079802152
1,11.75,-8.01409789683078
1,12.25,-8.531294555761257
1,12.75,-8.963154691251157
1,13.25,-9.398395296188317
1,13.75,-9.849508972498004
1,14.25,-10.186232193487282
1,14.75,-10.390356095437955
1,15.25,-10.671348575864075
1,15.75,-11.095507138495462
1,16.25,-11.54429930643338
1,16.75,-11.979419053407483
1,17.25,-12.401416574299011
1,17.75,-12.810813745434267
1,18.25,-13.20810588677622
1,18.75,-13.593763455991638
1,19.25,-13.968233464119962
1,19.75,-14.331940977603953
1,20.25,-14.685290506116976
1,20.75,-15.028667003923982
1,21.25,-15.362437221779686
1,21.75,-15.686950455774458
1,22.25,-16.002540463187707
1,22.75,-16.30952480955945
1,23.25,-16.60820683425448
1,23.75,-16.898876498063334
1,24.25,-17.1818111396828
1,24.75,-17.457274947546754
1,25.25,-17.725520689618886
1,25.75,-17.986792281759787
1,26.25,-18.241320365436618
1,26.75,-18.489323442503295
1,27.25,-18.731021611073942
1,27.75,-18.966620205725924
1,28.25,-19.19629963413111
1,28.75,-19.420271581562144
1,29.25,-19.63868584118476
1,29.75,-19.85173441509226
1,30.25,-20.05956425301333
1,30.75,-20.262359508396894
1,31.25,-20.460281656592546
1,31.75,-20.653444393809988
1,32.25,-20.841959986812725
1,32.75,-21.02619929890834
1,33.25,-21.20592660866849
1,33.75,-21.38153179590668
1,34.25,-21.552923198344764
1,34.75,-21.72109281575947
1,35.25,-21.88357355738205
1,35.75,-22.043320497178584
1,36.25,-22.19991747651277
1,36.75,-22.3506675063459
1,37.25,-22.49795178593928
1,37.75,-22.642972326987746
1,38.25,-22.78976712768568
1,38.75,-22.93371801086298
1,39.25,-23.06870438572699
1,39.75,-23.20107685989931
1,40.25,-23.324979015145797
1,40.75,-23.445352773503704
1,41.25,-23.596176943181398
1,41.75,-23.679888158424642
1,42.25,-23.83833578340042
1,42.75,-23.966724536849053
1,43.25,-24.088725906691604
1,43.75,-24.436133015312773
1,44.25,-24.622626694297207
1,44.75,-24.543885494719923
1,45.25,-24.978262600541665
1,45.75,-25.33598230639617
1,46.25,-25.032595457903945
1,46.75,-25.23909621542835
1,47.25,-27.39724882435384
1,47.75,-23.784221087129037
1,48.25,-27.054890757781667
1,48.75,-24.135502925611036
1,49.25,-22.978222725230083
1,49.75,-21.318201913625636
1,50.25,-24.00995057604114
1,50.75,-24.00995057604114
1,51.25,-24.00995057604114
1,51.75,-24.00995057604114
1,52.25,-24.00995057604114
1,52.75,-24.00995057604114
1,53.25,-24.00995057604114
1,53.75,-24.00995057604114
1,54.25,-24.00995057604114
1,54.75,-24.00995057604114
1,55.25,-24.00995057604114
1,55.75,-24.00995057604114
1,56.25,-24.00995057604114
1,56.75,-24.00995057604114
1,57.25,-24.00995057604114
1,57.75,-24.00995057604114
1,58.25,-24.00995057604114
1,58.75,-24.00995057604114
1,59.25,-24.00995057604114
1,59.75,-24.00995057604114
2,0.25,44.0011405778165
2,0.75,41.365214979819854
2,1.25,38.443759151563256
2,1.75,35.69969898331944
2,2.25,33.11843690768545
2,2.75,30.686837765746297
2,3.25,28.393061658042896
2,3.75,26.226417381033134
2,4.25,24.177233682115084
2,4.75,22.236745964086253
2,5.25,20.396996403621564
2,5.75,18.650745728234206
2,6.25,16.991395130519855
2,6.75,15.412916993673434
2,7.25,13.909793267831606
2,7.75,12.47787726074511
2,8.25,11.116079593923462
2,8.75,9.82097033572191
2,9.25,8.589864408536052
2,9.75,7.416489606113153
2,10.25,6.288272136142464
2,10.75,5.202358712039821
2,11.25,4.161049803324044
2,11.75,3.1629346275703725
2,12.25,2.2056615596626585
2,12.75,1.2874808357100882
2,13.25,0.40698536765687265
2,13.75,-0.4398989688407262
2,14.25,-1.2550160831510198
2,14.75,-2.0384521253164074
2,15.25,-2.796714617494068
2,15.75,-3.5348258166963724
2,16.25,-4.248500563230632
2,16.75,-4.935573374671122
2,17.25,-5.595448487922493
2,17.75,-6.22831786477372
2,18.25,-6.838380204927679
2,18.75,-7.427702829197116
2,19.25,-7.997227679304389
2,19.75,-8.54784226316422
2,20.25,-9.08038332222606
2,20.75,-9.59564052584859
2,21.25,-10.094359610875188
2,21.75,-10.5772452272302
2,22.25,-11.04496380716059
2,22.75,-11.498146130941096
2,23.25,-11.937389498192655
2,23.75,-12.363259789088614
2,24.25,-12.776293901751671
2,24.75,-13.177001006693333
2,25.25,-13.56586443870962
2,25.75,-13.943343743197254
2,26.25,-14.30987586908712
2,26.75,-14.66587529500049
2,27.25,-15.011737804886815
2,27.75,-15.347839569784124
2,28.25,-15.67453880209546
2,28.75,-15.99217736954712
2,29.25,-16.301081146874076
2,29.75,-16.601561219836963
2,30.25,-16.89391537809599
2,30.75,-17.178424637903344
