hour,x,psi
0,0.25,28.767080338702197
0,0.75,26.02028713321637
0,1.25,23.13545639847846
0,1.75,20.43145712810869
0,2.25,17.929311750132683
0,2.75,15.619906946796364
0,3.25,13.492818430414053
0,3.75,11.587931959784434
0,4.25,9.856911583631618
0,4.75,8.29486849269107
0,5.25,6.836733121047109
0,5.75,5.457310129766594
0,6.25,4.139368314257348
0,6.75,2.884521312141775
0,7.25,1.706398114712652
0,7.75,0.5860764723199594
0,8.25,-0.49530810942799164
0,8.75,-1.5355667915153788
0,9.25,-2.5672329610802898
0,9.75,-3.626331892826485
0,10.25,-4.679185818425106
0,10.75,-5.689356243798171
0,11.25,-6.583271057373878
0,11.75,-7.346205699867033
0,12.25,-8.144221942429715
0,12.75,-9.02302510026274
0,13.25,-9.830656310895122
0,13.75,-10.531265663702936
0,14.25,-11.26011693218938
0,14.75,-12.058296403311564
0,15.25,-12.853303299708742
0,15.75,-13.621822658395628
0,16.25,-14.363289934427051
0,16.75,-15.077358050256281
0,17.25,-15.763882277227527
0,17.75,-16.42290246454949
0,18.25,-17.05462368725309
0,18.75,-17.659396112834173
0,19.25,-18.237694891694446
0,19.75,-18.790100621246026
0,20.25,-19.31728076874913
0,20.75,-19.819972418844372
0,21.25,-20.298966444297186
0,21.75,-20.75509325931939
0,22.25,-21.189210249744782
0,22.75,-21.60219063663425
0,23.25,-21.994914004623205
0,23.75,-22.368258112578545
0,24.25,-22.72309220922703
0,24.75,-23.060271172288324
0,25.25,-23.38063141038967
0,25.75,-23.68498666374589
0,26.25,-23.974125581959807
0,26.75,-24.24880982197537
0,27.25,-24.509772138677995
0,27.75,-24.757716078520147
0,28.25,-24.993314756059682
0,28.75,-25.217211248689324
0,29.25,-25.43001921936945
0,29.75,-25.632322330153983
0,30.25,-25.82467468532105
0,30.75,-26.007603474260954
0,31.25,-26.18160973598916
0,31.75,-26.347163782311892
0,32.25,-26.50471616296986
0,32.75,-26.654689522515678
0,33.25,-26.79748000378303
0,33.75,-26.93347873803948
0,34.25,-27.063030836115743
0,34.75,-27.186481385357926
0,35.25,-27.304150079552652
0,35.75,-27.416333513332493
0,36.25,-27.523306747704844
0,36.75,-27.625367121958604
0,37.25,-27.722739031331006
0,37.75,-27.81567226176495
0,38.25,-27.904372121894323
0,38.75,-27.989122931520214
0,39.25,-28.070108111140655
0,39.75,-28.147458776529348
0,40.25,-28.22135194484244
0,40.75,-28.29195390829763
0,41.25,-28.359566000983126
0,41.75,-28.42411627103486
0,42.25,-28.485642586690908
0,42.75,-28.545056726498764
0,43.25,-28.601780268931186
0,43.75,-28.65621543698176
0,44.25,-28.70862243921947
0,44.75,-28.756816152692846
0,45.25,-28.805256652381168
0,45.75,-28.850863031820445
0,46.25,-28.893556060659282
0,46.75,-28.93631807688274
0,47.25,-28.978451454717085
0,47.75,-29.013521286270045
0,48.25,-29.053717499825254
0,48.75,-29.083841766339848
0,49.25,-29.12065434141517
0,49.75,-29.154443926937184
0,50.25,-29.16918376449995
0,50.75,-29.214980031064687
0,51.25,-29.244680459066387
0,51.75,-29.27211949621977
0,52.25,-29.31397074025629
0,52.75,-29.301936796050086
0,53.25,-29.332815940216886
0,53.75,-29.36500422098475
0,54.25,-29.263418385263396
0,54.75,-29.242486221491937
0,55.25,-29.28694651024496
0,55.75,-29.32394927598566
0,56.25,-29.19279148667769
0,56.75,-29.39130243334225
0,57.25,-29.530395426565004
0,57.75,-29.724068053658645
0,58.25,-30.195521202872854
0,58.75,-30.29629193548047
0,59.25,-29.67509845944331
0,59.75,-29.116380002486324
1,0.25,27.535261089465635
1,0.75,24.231830659100755
1,1.25,20.943861096720035
1,1.75,17.97377159841773
1,2.25,15.319563100029312
1,2.75,13.00464904282398
1,3.25,10.972878853372587
1,3.75,9.153307450732802
1,4.25,7.5206103477083275
1,4.75,6.033442344956951
1,5.25,4.642581090695501
1,5.75,3.3286899342700185
