hour,x,psi
0,0.25,40.774499419848915
0,0.75,36.308692046016134
0,1.25,31.625944885183593
0,1.75,27.236623671017206
0,2.25,23.206162081610763
0,2.75,19.55965245810813
0,3.25,16.301922553226074
0,3.75,13.410289242673356
0,4.25,10.857638433028354
0,4.75,8.60659276105535
0,5.25,6.622446970714236
0,5.75,4.870617856256791
0,6.25,3.3223513121362593
0,6.75,1.9561206094948833
0,7.25,0.7106458973221823
0,7.75,-0.41212669891379505
0,8.25,-1.4261626563438163
0,8.75,-2.3469984116694
0,9.25,-3.193412421059083
0,9.75,-3.9829564900750363
0,10.25,-4.734595464600567
0,10.75,-5.459025503083371
0,11.25,-6.139553426199448
0,11.75,-6.768934975581674
0,12.25,-7.336316681598699
0,12.75,-7.844635252694276
0,13.25,-8.333674328279379
0,13.75,-8.829158812824325
0,14.25,-9.37741377024663
0,14.75,-9.982235250917185
0,15.25,-10.530880070141407
0,15.75,-10.990943007382214
0,16.25,-11.415489800988974
0,16.75,-11.821614492774689
0,17.25,-12.21051252414902
0,17.75,-12.583281081103507
0,18.25,-12.940928429367835
0,18.75,-13.284382274610639
0,19.25,-13.614497282302192
0,19.75,-13.932061834513423
0,20.25,-14.237804043877675
0,20.75,-14.532397248172671
0,21.25,-14.816464843898036
0,21.75,-15.09058476922608
0,22.25,-15.355293378315826
0,22.75,-15.611089009059544
0,23.25,-15.858435394682598
0,23.75,-16.097764094788722
0,24.25,-16.329478144492406
0,24.75,-16.553953004702592
0,25.25,-16.771539897486388
0,25.75,-16.982567377703003
0,26.25,-17.187342609307127
0,26.75,-17.386154541820563
0,27.25,-17.579273286643275
0,27.75,-17.766952498938352
0,28.25,-17.949431345123486
0,28.75,-18.126934475143486
0,29.25,-18.299673098143927
0,29.75,-18.46784670097337
0,30.25,-18.63164438100303
0,30.75,-18.791243447111597
0,31.25,-18.946809008074315
0,31.75,-19.098502852671647
0,32.25,-19.246474887399444
0,32.75,-19.390868551876384
0,33.25,-19.531812105302176
0,33.75,-19.66943783810589
0,34.25,-19.803874218027065
0,34.75,-19.935226481005856
0,35.25,-20.063610642839052
0,35.75,-20.189132742699762
0,36.25,-20.31187544034048
0,36.75,-20.43196555033464
0,37.25,-20.549441018982566
0,37.75,-20.664472472213905
0,38.25,-20.777035831797395
0,38.75,-20.887308744970632
0,39.25,-20.995250438556763
0,39.75,-21.1011262599114
0,40.25,-21.204783151247135
0,40.75,-21.306331468436625
0,41.25,-21.40600090101846
0,41.75,-21.503525795453502
0,42.25,-21.59916572767521
0,42.75,-21.693530925118868
0,43.25,-21.785730456623014
0,43.75,-21.87619657563277
0,44.25,-21.966411629283222
0,44.75,-22.051846266369242
0,45.25,-22.13759170074271
0,45.75,-22.22369058471875
0,46.25,-22.30572508234261
0,46.75,-22.38468866326515
0,47.25,-22.467232111888446
