hour,x,psi
0,0.25,32.34362740181005
0,0.75,28.966773497748015
0,1.25,25.362650764912665
0,1.75,21.94169031419858
0,2.25,18.761147264215012
0,2.75,15.849610837479599
0,3.25,13.221236322315901
0,3.75,10.860700796777545
0,4.25,8.73737651555443
0,4.75,6.830289189997581
0,5.25,5.1212034465751355
0,5.75,3.5946209042998856
0,6.25,2.2402924646842113
0,6.75,1.0353764928000704
0,7.25,-0.045105837198743615
0,7.75,-1.0235798079787504
0,8.25,-1.9082232831100896
0,8.75,-2.7124972640621916
0,9.25,-3.46478585630207
0,9.75,-4.182180869510752
0,10.25,-4.846293223109603
0,10.75,-5.4545912275323385
0,11.25,-6.029527889226488
0,11.75,-6.571985362719062
0,12.25,-7.030860020267731
0,12.75,-7.3916587864710195
0,13.25,-7.692494027446918
0,13.75,-7.9643489645748105
0,14.25,-8.304623376157124
0,14.75,-8.739711519157028
0,15.25,-9.183937293332985
0,15.75,-9.611259079450324
0,16.25,-10.022617424251546
0,16.75,-10.418887933013036
0,17.25,-10.800886167901533
0,17.75,-11.16937221777599
0,18.25,-11.525054928839037
0,18.75,-11.868595820852551
0,19.25,-12.200612723338732
0,19.75,-12.521683055284504
0,20.25,-12.832346929915726
0,20.75,-13.133110005327877
0,21.25,-13.42444598875055
0,21.75,-13.706799046355766
0,22.25,-13.980586008966199
0,22.75,-14.246198497155117
0,23.25,-14.504004326289659
0,23.75,-14.754349864797714
0,24.25,-14.99756098289791
0,24.75,-15.23394452884379
0,25.25,-15.463790515004307
0,25.75,-15.687372085670836
0,26.25,-15.904947335963293
0,26.75,-16.11676019041734
0,27.25,-16.323041548533357
0,27.75,-16.524009586322
0,28.25,-16.719871470776614
0,28.75,-16.910823183528276
0,29.25,-17.097047987911985
0,29.75,-17.278730614431748
0,30.25,-17.456031143241923
0,30.75,-17.629111616349928
0,31.25,-17.798121586811263
0,31.75,-17.963200014935715
0,32.25,-18.12449896499168
0,32.75,-18.282142423507597
0,33.25,-18.436251899970195
0,33.75,-18.58693751312976
0,34.25,-18.734340070564496
0,34.75,-18.87856741209433
0,35.25,-19.019658394387214
0,35.75,-19.15781391771324
0,36.25,-19.293022290138666
0,36.75,-19.42546101312692
0,37.25,-19.55519071460513
0,37.75,-19.682246304857774
0,38.25,-19.806843219485657
0,38.75,-19.928865180327342
0,39.25,-20.048570737584086
0,39.75,-20.166025669077946
0,40.25,-20.281098228542643
0,40.75,-20.394061635580375
0,41.25,-20.50446006794464
0,41.75,-20.613143110747078
0,42.25,-20.7199608474774
0,42.75,-20.82447909758821
0,43.25,-20.925721856596315
0,43.75,-21.027302821139408
0,44.25,-21.126723477245765
0,44.75,-21.227179223153932
0,45.25,-21.318226692852008
0,45.75,-21.41644724571286
0,46.25,-21.507506563708855
0,46.75,-21.60003192735201
0,47.25,-21.681266476094443
0,47.75,-21.776223713872586
0,48.25,-21.85339195123387
0,48.75,-21.93817544512811
0,49.25,-22.030966892414803
0,49.75,-22.12261444399662
0,50.25,-22.213270604813793
0,50.75,-22.289882888416468
0,51.25,-22.404936675744786
0,51.75,-22.43524217559353
0,52.25,-22.655060755981214
0,52.75,-22.685196905310896
0,53.25,-22.870541219519012
0,53.75,-22.685908602353194
0,54.25,-22.728080927060866
0,54.75,-23.083982042004894
0,55.25,-22.681400124155306
0,55.75,-22.727685420591058
0,56.25,-22.814168829260588
0,56.75,-23.525256101000252
0,57.25,-23.367792254403387
0,57.75,-23.704357302740878
0,58.25,-23.149908808105415
0,58.75,-22.31793338179825
0,59.25,-22.68435838693361
0,59.75,-21.24563421171996
1,0.25,31.20495413448412
1,0.75,27.229055784215006
1,1.25,23.147998562140867
1,1.75,19.368443025884183
1,2.25,15.938870631374431
1,2.75,12.877282047612312
1,3.25,10.194188294017268
1,3.75,7.8581437572279516
1,4.25,5.833283237300574
1,4.75,4.076545729603046
1,5.25,2.5679039105563497
1,5.75,1.226039521154357
1,6.25,0.03697105970099024
1,6.75,-1.0217121060493124
1,7.25,-1.9776890208728197
1,7.75,-2.8535581254185516
1,8.25,-3.6484640610192685
1,8.75,-4.361423651149634
1,9.25,-4.990894554041221
1,9.75,-5.54160192054679
1,10.25,-6.047592405734048
1,10.75,-6.517426202557821
1,11.25,-6.912108297508652
1,11.75,-7.233948964514505
1,12.25,-7.588375253056641
1,12.75,-7.9951083272624075
1,13.25,-8.299164665512052
1,13.75,-8.476418510821656
1,14.25,-8.75806065446245
1,14.75,-9.218609437989434
1,15.25,-9.683400042037793
1,15.75,-10.090972406383127
1,16.25,-10.473770663144759
1,16.75,-10.843315438236623
1,17.25,-11.200286162059019
1,17.75,-11.545318229239138
1,18.25,-11.87900630426631
1,18.75,-12.201906993724258
1,19.25,-12.514541906107992
1,19.75,-12.81740013831147
1,20.25,-13.110940341563579
1,20.75,-13.395593689824722
1,21.25,-13.671764101373153
1,21.75,-13.939833337486782
1,22.25,-14.200158656848036
1,22.75,-14.453077988712398
1,23.25,-14.698908528153531
1,23.75,-14.937950868378888
1,24.25,-15.170489358850077
1,24.75,-15.39678681628431
1,25.25,-15.617103671369229
1,25.75,-15.83167595773411
1,26.25,-16.040718529716784
1,26.75,-16.244468175384497
1,27.25,-16.443099434684356
1,27.75,-16.636839327225495
1,28.25,-16.825851497006756
1,28.75,-17.010325500039222
1,29.25,-17.190344305465086
1,29.75,-17.36623438245011
1,30.25,-17.537891454838775
1,30.75,-17.7057460522666
1,31.25,-17.869594035458007
1,31.75,-18.029757116827763
1,32.25,-18.187029164553117
1,32.75,-18.340011780393066
1,33.25,-18.489171601250565
1,33.75,-18.63663612367351
1,34.25,-18.780560158448136
1,34.75,-18.92116771679461
1,35.25,-19.056230580586984
1,35.75,-19.20189791699391
1,36.25,-19.323941788492352
1,36.75,-19.46376339560958
1,37.25,-19.584932257433973
1,37.75,-19.725740273926895
1,38.25,-19.784442087711405
1,38.75,-19.904580771556784
1,39.25,-20.05712930899926
1,39.75,-20.201682522967097
1,40.25,-20.273381499840816
1,40.75,-20.318808388803834
1,41.25,-20.517897322301682
1,41.75,-20.567862312614263
1,42.25,-20.37932599563311
1,42.75,-20.850044471478274
1,43.25,-21.405136177389565
1,43.75,-22.149578685836847
1,44.25,-22.77680319652324
1,44.75,-20.77472110063901
1,45.25,-24.455070986664225
1,45.75,-21.84121592533551
1,46.25,-20.445831623999766
1,46.75,-14.466974239487518
1,47.25,-18.11216376549435
1,47.75,-18.11216376549435
1,48.25,-18.11216376549435
1,48.75,-18.11216376549435
1,49.25,-18.11216376549435
1,49.75,-18.11216376549435
1,50.25,-18.11216376549435
1,50.75,-18.11216376549435
1,51.25,-18.11216376549435
1,51.75,-18.11216376549435
1,52.25,-18.11216376549435
1,52.75,-18.11216376549435
1,53.25,-18.11216376549435
1,53.75,-18.11216376549435
1,54.25,-18.11216376549435
1,54.75,-18.11216376549435
1,55.25,-18.11216376549435
1,55.75,-18.11216376549435
1,56.25,-18.11216376549435
1,56.75,-18.11216376549435
1,57.25,-18.11216376549435
1,57.75,-18.11216376549435
1,58.25,-18.11216376549435
1,58.75,-18.11216376549435
1,59.25,-18.11216376549435
1,59.75,-18.11216376549435
2,0.25,46.07191333619038
2,0.75,44.0210223966472
2,1.25,41.30309179883279
2,1.75,38.48198596893906
2,2.25,35.6418914427034
2,2.75,32.84795160569986
2,3.25,30.14371314207628
2,3.75,27.55551296664824
2,4.25,25.097325948325043
2,4.75,22.774682986305493
2,5.25,20.587551551698738
2,5.75,18.53328036974637
2,6.25,16.609675466030918
2,6.75,14.808748073996467
2,7.25,13.117142720379084
2,7.75,11.526998114471034
2,8.25,10.033507736170213
2,8.75,8.630147996246682
2,9.25,7.310158258586741
2,9.75,6.06857370073854
2,10.25,4.904309636196775
2,10.75,3.8100701050710377
2,11.25,2.7751078251280354
2,11.75,1.7945215423618563
2,12.25,0.865388780561279
2,12.75,-0.01643158541997991
2,13.25,-0.8542613780087862
2,13.75,-1.6499051208284712
2,14.25,-2.4062714471645403
2,14.75,-3.126250291551802
2,15.25,-3.8123102166000216
2,15.75,-4.466715902196732
2,16.25,-5.091546741962244
2,16.75,-5.688713739037825
2,17.25,-6.259974886497442
2,17.75,-6.806949063829837
2,18.25,-7.33112861045484
2,18.75,-7.833890723173607
2,19.25,-8.316507671908415
2,19.75,-8.780156158173293
2,20.25,-9.225925628961214
2,20.75,-9.65482583249356
2,21.25,-10.067793790584098
2,21.75,-10.465699724036085
2,22.25,-10.849353024428366
2,22.75,-11.219507027395633
2,23.25,-11.576863649954761
2,23.75,-11.922077700085064
2,24.25,-12.255760615536941
2,24.75,-12.578483833584002
2,25.25,-12.890781717815988
2,25.75,-13.19315509665879
2,26.25,-13.486073188009076
2,26.75,-13.769976138971249
2,27.25,-14.045277990305483
2,27.75,-14.312366113107387
2,28.25,-14.571607021743667
2,28.75,-14.823344004577818
