hour,x,psi
0,0.25,107.93506007542136
0,0.75,122.6153673608363
0,1.25,82.20749358156614
0,1.75,46.966314490937606
0,2.25,15.354916485657007
0,2.75,-19.80533835704961
0,3.25,-31.441278154515768
0,3.75,-32.25627001827549
0,4.25,-21.119960802366137
0,4.75,-33.90789677603119
0,5.25,-31.817768533291332
0,5.75,-30.918686752887403
0,6.25,-32.36897902646971
0,6.75,-31.551326920434466
0,7.25,-30.662023290352586
0,7.75,-31.201536909097534
0,8.25,-31.113668767804757
0,8.75,-31.080215839840005
0,9.25,-30.89417045340011
0,9.75,-30.95140738487847
0,10.25,-30.924351738231273
0,10.75,-30.91443887078438
0,11.25,-30.895632339601264
0,11.75,-30.893980326960182
0,12.25,-30.873894977573315
0,12.75,-30.859919456870127
0,13.25,-30.849784687803375
0,13.75,-30.834818836864443
0,14.25,-30.820613272202213
0,14.75,-30.809363651967328
0,15.25,-30.79709864236031
0,15.75,-30.784610611856053
0,16.25,-30.772935228245
0,16.75,-30.761091557517695
0,17.25,-30.749227129344792
0,17.75,-30.737700818952394
0,18.25,-30.72624563712541
0,18.75,-30.71519458878345
0,19.25,-30.704091093642663
0,19.75,-30.69320416517293
0,20.25,-30.68247034306938
0,20.75,-30.671891064638434
0,21.25,-30.661435895715087
0,21.75,-30.651118464905974
0,22.25,-30.640903716793478
0,22.75,-30.6308403977781
0,23.25,-30.620878958090287
0,23.75,-30.611026707832444
0,24.25,-30.601267083051503
0,24.75,-30.591596974680012
0,25.25,-30.58199058282025
0,25.75,-30.572449621831996
0,26.25,-30.562956525916423
0,26.75,-30.5534950896243
0,27.25,-30.544050383753095
0,27.75,-30.534602393096442
0,28.25,-30.525133728696172
0,28.75,-30.515623574848917
0,29.25,-30.506050862585276
0,29.75,-30.496395242353127
0,30.25,-30.486633383028632
0,30.75,-30.476743016293117
0,31.25,-30.46670109126311
0,31.75,-30.45648538595258
0,32.25,-30.44607394643059
0,32.75,-30.4354464438511
0,33.25,-30.42458266845089
0,33.75,-30.413465674128712
0,34.25,-30.4020793614345
0,34.75,-30.390410691491933
0,35.25,-30.37844927967395
0,35.75,-30.366188000093327
0,36.25,-30.35362323829684
0,36.75,-30.340754951299935
0,37.25,-30.327586757946523
0,37.75,-30.314126460670455
0,38.25,-30.300385844599724
0,38.75,-30.286380661372842
0,39.25,-30.272130726758775
0,39.75,-30.257659601547186
0,40.25,-30.242994445149137
0,40.75,-30.228165686927664
0,41.25,-30.21320694586282
0,41.75,-30.198154463898653
0,42.25,-30.183046669028435
0,42.75,-30.16792387992356
0,43.25,-30.152827657427373
0,43.75,-30.137800484132363
0,44.25,-30.1228852149627
0,44.75,-30.10812451535
0,45.25,-30.093560581562958
0,45.75,-30.079234591161807
0,46.25,-30.065186044358505
0,46.75,-30.051452693571818
0,47.25,-30.03807017353405
0,47.75,-30.025071461676216
0,48.25,-30.012486777460467
0,48.75,-30.000343328719236
0,49.25,-29.98866515939314
0,49.75,-29.977473044078835
0,50.25,-29.966784266641042
0,50.75,-29.956612832875265
0,51.25,-29.946969326075497
0,51.75,-29.93786103017537
0,52.25,-29.929292017618664
0,52.75,-29.921263212188034
0,53.25,-29.913772644409377
0,53.75,-29.906815653262594
0,54.25,-29.900384867952734
0,54.75,-29.894470755286346
0,55.25,-29.889061500666767
0,55.75,-29.884143558448425
