office,patience,plan_type,regime,fail,share_of_oracle_gain,told_per_day,d_H,d_H_lo,d_H_hi,d_Tbest,d_Tbest_lo,d_Tbest_hi,d_B1,d_B1_lo,d_B1_hi
R4_S8_A0.6,exp30,lean,H,0.09774,0.0,0.0,0.0,0.0,0.0,0.378,0.225,0.531,0.393,0.244,0.542
R4_S8_A0.6,exp30,lean,O-M15,0.08846,1.0,21.238,-2.229,-2.506,-1.952,-1.851,-2.052,-1.65,-1.836,-2.041,-1.631
R4_S8_A0.6,exp30,lean,Tbest,0.09617,0.17,1.987,-0.378,-0.531,-0.225,0.0,0.0,0.0,0.015,-0.084,0.114
R4_S8_A0.6,exp30,lean,B1,0.0961,0.176,1.648,-0.393,-0.542,-0.244,-0.015,-0.114,0.084,0.0,0.0,0.0
R4_S8_A0.6,exp30,lean,FW,0.09628,0.158,3.862,-0.352,-0.588,-0.116,0.026,-0.139,0.191,0.041,-0.121,0.203
R4_S8_A0.6,exp30,safe,H,0.06739,0.0,0.0,0.0,0.0,0.0,0.063,-0.006,0.132,0.044,-0.008,0.096
R4_S8_A0.6,exp30,safe,O-M15,0.0636,1.0,15.271,-0.909,-1.06,-0.758,-0.846,-0.972,-0.72,-0.865,-1.002,-0.728
R4_S8_A0.6,exp30,safe,Tbest,0.06713,0.069,0.621,-0.063,-0.132,0.006,0.0,0.0,0.0,-0.019,-0.064,0.026
R4_S8_A0.6,exp30,safe,B1,0.06721,0.048,0.36,-0.044,-0.096,0.008,0.019,-0.026,0.064,0.0,0.0,0.0
R4_S8_A0.6,exp30,safe,FW,0.06742,-0.009,1.336,0.008,-0.099,0.115,0.071,-0.016,0.158,0.052,-0.036,0.14
R4_S8_A0.6,logn30,lean,H,0.07732,0.0,0.0,0.0,0.0,0.0,4.734,4.157,5.311,4.766,4.212,5.32
R4_S8_A0.6,logn30,lean,O-M15,0.0348,1.0,8.356,-10.209,-10.99,-9.428,-5.475,-5.846,-5.104,-5.443,-5.829,-5.057
R4_S8_A0.6,logn30,lean,Tbest,0.05761,0.464,7.277,-4.734,-5.311,-4.157,0.0,0.0,0.0,0.032,-0.159,0.223
R4_S8_A0.6,logn30,lean,B1,0.05747,0.467,6.114,-4.766,-5.32,-4.212,-0.032,-0.223,0.159,0.0,0.0,0.0
R4_S8_A0.6,logn30,lean,FW,0.05783,0.459,9.951,-4.681,-5.372,-3.99,0.053,-0.235,0.341,0.085,-0.227,0.397
