office,patience,plan_type,step,tables,design_fail_per_day,told_per_day
R4_S8_A0.6,exp30,lean,0,1,23.1,1.56
R4_S8_A0.6,exp30,lean,1,2,23.27,3.482
R4_S8_A0.6,exp30,lean,2,3,23.35,3.572
R4_S8_A0.6,exp30,lean,3,4,23.27,3.737
R4_S8_A0.6,exp30,lean,4,5,23.212,3.768
R4_S8_A0.6,exp30,lean,5,6,23.168,3.797
R4_S8_A0.6,exp30,lean,6,7,23.165,3.817
R4_S8_A0.6,exp30,safe,0,1,16.332,0.278
R4_S8_A0.6,exp30,safe,1,2,16.4,1.115
R4_S8_A0.6,exp30,safe,2,3,16.39,1.21
R4_S8_A0.6,exp30,safe,3,4,16.398,1.205
R4_S8_A0.6,exp30,safe,4,5,16.392,1.228
R4_S8_A0.6,exp30,safe,5,6,16.405,1.238
R4_S8_A0.6,exp30,safe,6,7,16.402,1.238
R4_S8_A0.6,logn30,lean,0,1,15.018,6.645
R4_S8_A0.6,logn30,lean,1,2,14.873,10.133
R4_S8_A0.6,logn30,lean,2,3,15.03,10.535
R4_S8_A0.6,logn30,lean,3,4,14.995,10.55
R4_S8_A0.6,logn30,lean,4,5,15.223,10.815
R4_S8_A0.6,logn30,lean,5,6,15.098,10.785
R4_S8_A0.6,logn30,lean,6,7,15.09,10.752
R4_S8_A0.6,logn30,safe,0,1,7.768,2.395
R4_S8_A0.6,logn30,safe,1,2,7.798,4.605
R4_S8_A0.6,logn30,safe,2,3,7.955,4.857
R4_S8_A0.6,logn30,safe,3,4,7.915,4.805
R4_S8_A0.6,logn30,safe,4,5,7.987,4.878
R4_S8_A0.6,logn30,safe,5,6,7.853,4.843
R4_S8_A0.6,logn30,safe,6,7,7.9,4.855
R4_S8_A0.6,logn30cv15,lean,0,1,21.565,1.028
R4_S8_A0.6,logn30cv15,lean,1,2,21.663,2.507
R4_S8_A0.6,logn30cv15,lean,2,3,21.515,2.572
R4_S8_A0.6,logn30cv15,lean,3,4,21.56,2.655
R4_S8_A0.6,logn30cv15,lean,4,5,21.605,2.685
R4_S8_A0.6,logn30cv15,lean,5,6,21.57,2.735
R4_S8_A0.6,logn30cv15,lean,6,7,21.525,2.72
R4_S8_A0.6,logn30cv15,safe,0,1,14.69,0.155
R4_S8_A0.6,logn30cv15,safe,1,2,14.768,0.595
R4_S8_A0.6,logn30cv15,safe,2,3,14.755,0.647
R4_S8_A0.6,logn30cv15,safe,3,4,14.762,0.693
R4_S8_A0.6,logn30cv15,safe,4,5,14.773,0.708
R4_S8_A0.6,logn30cv15,safe,5,6,14.75,0.713
R4_S8_A0.6,logn30cv15,safe,6,7,14.735,0.72
R16_S16_A0.6,exp30,lean,0,1,58.653,10.943
R16_S16_A0.6,exp30,lean,1,2,59.292,18.918
R16_S16_A0.6,exp30,lean,2,3,59.403,19.155
R16_S16_A0.6,exp30,lean,3,4,59.225,19.157
R16_S16_A0.6,exp30,lean,4,5,59.17,19.095
R16_S16_A0.6,exp30,lean,5,6,59.303,19.098
R16_S16_A0.6,exp30,lean,6,7,59.388,19.2
R16_S16_A0.6,exp30,safe,0,1,35.197,2.425
R16_S16_A0.6,exp30,safe,1,2,36.542,7.888
R16_S16_A0.6,exp30,safe,2,3,36.407,7.37
R16_S16_A0.6,exp30,safe,3,4,36.315,7.173
R16_S16_A0.6,exp30,safe,4,5,36.255,6.942
R16_S16_A0.6,exp30,safe,5,6,36.18,6.822
R16_S16_A0.6,exp30,safe,6,7,36.197,6.973
R16_S16_A0.6,logn30,lean,0,1,20.475,12.04
R16_S16_A0.6,logn30,lean,1,2,21.475,18.262
R16_S16_A0.6,logn30,lean,2,3,21.465,18.192
R16_S16_A0.6,logn30,lean,3,4,21.328,18.32
R16_S16_A0.6,logn30,lean,4,5,20.95,18.085
R16_S16_A0.6,logn30,lean,5,6,21.093,18.017
R16_S16_A0.6,logn30,lean,6,7,21.282,18.135
R16_S16_A0.6,logn30,safe,0,1,13.182,7.878
R16_S16_A0.6,logn30,safe,1,2,18.04,16.07
R16_S16_A0.6,logn30,safe,2,3,17.46,15.41
R16_S16_A0.6,logn30,safe,3,4,16.988,14.91
R16_S16_A0.6,logn30,safe,4,5,16.66,14.445
R16_S16_A0.6,logn30,safe,5,6,16.35,14.242
R16_S16_A0.6,logn30,safe,6,7,16.102,14.025
R16_S16_A0.6,logn30cv15,lean,0,1,60.517,11.115
R16_S16_A0.6,logn30cv15,lean,1,2,60.907,18.825
R16_S16_A0.6,logn30cv15,lean,2,3,60.752,19.067
R16_S16_A0.6,logn30cv15,lean,3,4,60.775,19.205
R16_S16_A0.6,logn30cv15,lean,4,5,60.852,19.265
R16_S16_A0.6,logn30cv15,lean,5,6,60.778,19.413
R16_S16_A0.6,logn30cv15,lean,6,7,60.8,19.302
R16_S16_A0.6,logn30cv15,safe,0,1,35.172,2.362
R16_S16_A0.6,logn30cv15,safe,1,2,36.072,5.98
R16_S16_A0.6,logn30cv15,safe,2,3,35.99,5.935
R16_S16_A0.6,logn30cv15,safe,3,4,35.945,6.105
R16_S16_A0.6,logn30cv15,safe,4,5,36.017,6.18
R16_S16_A0.6,logn30cv15,safe,5,6,35.928,6.138
R16_S16_A0.6,logn30cv15,safe,6,7,35.885,6.1
