mean_load,service_time,amplitude,method,plan,staff_hours,gap_vs_sgs,gap_vs_sgs_ucb,diff_by_hour,worst_late,worst_hour,hours_over_alpha,hours_significantly_over,late_by_hour,overall_late,mean_wait
2.0,4.0,0.3,SIPP,"[3, 4, 3, 3, 3, 3, 3, 3]",25,3,2,"[0, 1, 0, 1, 1, 0, 0, 0]",0.0314,6,0,0,"[0.0061, 0.0018, 0.003, 0.0004, 0.0011, 0.0114, 0.0314, 0.0198]",0.0102,1.61
2.0,4.0,0.3,Lag-SIPP,"[3, 4, 3, 3, 3, 3, 3, 3]",25,3,2,"[0, 1, 0, 1, 1, 0, 0, 0]",0.0314,6,0,0,"[0.0061, 0.0018, 0.003, 0.0004, 0.0011, 0.0114, 0.0314, 0.0198]",0.0102,1.61
2.0,4.0,0.3,OL-avg,"[3, 4, 3, 3, 3, 3, 3, 3]",25,3,2,"[0, 1, 0, 1, 1, 0, 0, 0]",0.0314,6,0,0,"[0.0061, 0.0018, 0.003, 0.0004, 0.0011, 0.0114, 0.0314, 0.0198]",0.0102,1.61
2.0,4.0,0.3,OL-max,"[3, 4, 4, 3, 3, 3, 3, 3]",26,4,3,"[0, 1, 1, 1, 1, 0, 0, 0]",0.0314,6,0,0,"[0.0061, 0.0014, 0.0001, 0.0002, 0.0011, 0.0114, 0.0314, 0.0198]",0.0097,1.504
2.0,4.0,0.3,SGS,"[3, 3, 3, 2, 2, 3, 3, 3]",22,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0761,4,0,0,"[0.0083, 0.0528, 0.0316, 0.0654, 0.0761, 0.0217, 0.0346, 0.0207]",0.0373,3.018
2.0,4.0,0.3,SGS-UCB,"[3, 3, 3, 2, 3, 3, 3, 3]",23,1,0,"[0, 0, 0, 0, 1, 0, 0, 0]",0.0528,3,0,0,"[0.0083, 0.0528, 0.0316, 0.0528, 0.0073, 0.0114, 0.0314, 0.0198]",0.0276,2.551
2.0,4.0,0.6,SIPP,"[3, 4, 3, 2, 2, 3, 4, 3]",24,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0147,1,0,0,"[0.0096, 0.0147, 0.0115, 0.0144, 0.0084, 0.0094, 0.0052, 0.0066]",0.0099,1.781
2.0,4.0,0.6,Lag-SIPP,"[3, 4, 3, 2, 2, 3, 4, 3]",24,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0147,1,0,0,"[0.0096, 0.0147, 0.0115, 0.0144, 0.0084, 0.0094, 0.0052, 0.0066]",0.0099,1.781
2.0,4.0,0.6,OL-avg,"[3, 4, 3, 2, 2, 3, 4, 3]",24,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0147,1,0,0,"[0.0096, 0.0147, 0.0115, 0.0144, 0.0084, 0.0094, 0.0052, 0.0066]",0.0099,1.781
2.0,4.0,0.6,OL-max,"[3, 4, 4, 3, 2, 3, 4, 4]",27,3,3,"[0, 0, 1, 1, 0, 0, 0, 1]",0.0115,1,0,0,"[0.0096, 0.0115, 0.0021, 0.0, 0.0074, 0.0092, 0.0044, 0.0007]",0.0066,1.481
2.0,4.0,0.6,SGS,"[3, 4, 3, 2, 2, 3, 4, 3]",24,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0147,1,0,0,"[0.0096, 0.0147, 0.0115, 0.0144, 0.0084, 0.0094, 0.0052, 0.0066]",0.0099,1.781
2.0,4.0,0.6,SGS-UCB,"[3, 4, 3, 2, 2, 3, 4, 3]",24,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0147,1,0,0,"[0.0096, 0.0147, 0.0115, 0.0144, 0.0084, 0.0094, 0.0052, 0.0066]",0.0099,1.781
2.0,8.0,0.3,SIPP,"[4, 4, 3, 3, 3, 4, 4, 3]",28,3,2,"[1, 0, 0, 0, 1, 1, 0, 0]",0.0398,7,0,0,"[0.0029, 0.0196, 0.0376, 0.0251, 0.0109, 0.0039, 0.011, 0.0398]",0.0181,1.429
