service_dist,service_cv,rate_cv,sgs_plan,sgs_staff_hours,sgs_worst_late,rec_worst_late,rec_worst_hour,rec_overall_late,rec_mean_daily_p90,rec_frac_days_p90_ok
exp,1.0,0.0,"[2, 3, 3, 2, 2, 3, 3, 3]",21,0.0872,0.1002,7,0.0519,9.68,0.832
exp,1.0,0.1,"[2, 3, 3, 2, 2, 3, 3, 3]",21,0.0918,0.1129,7,0.0618,10.04,0.807
exp,1.0,0.2,"[2, 4, 2, 2, 2, 3, 3, 3]",21,0.1406,0.1562,7,0.0885,10.92,0.769
lognormal,0.5,0.0,"[2, 3, 2, 2, 2, 2, 3, 2]",18,0.0684,0.0527,7,0.023,7.33,0.938
lognormal,0.5,0.1,"[2, 3, 2, 2, 2, 2, 3, 2]",18,0.0906,0.0683,7,0.0307,7.66,0.923
lognormal,0.5,0.2,"[2, 3, 3, 2, 2, 3, 3, 2]",20,0.1074,0.1074,7,0.0549,8.35,0.871
lognormal,1.0,0.0,"[2, 3, 3, 2, 2, 2, 3, 3]",20,0.1311,0.1059,7,0.0518,9.7,0.825
lognormal,1.0,0.1,"[2, 3, 3, 2, 2, 3, 3, 3]",21,0.0766,0.12,7,0.0603,10.12,0.808
lognormal,1.0,0.2,"[2, 3, 3, 2, 2, 3, 3, 3]",21,0.1042,0.1568,7,0.0873,11.06,0.763
lognormal,1.5,0.0,"[2, 3, 3, 2, 2, 3, 3, 3]",21,0.0918,0.1606,7,0.0783,12.33,0.73
lognormal,1.5,0.1,"[2, 3, 3, 2, 2, 3, 3, 3]",21,0.0975,0.1666,7,0.0856,12.59,0.715
lognormal,1.5,0.2,"[3, 3, 3, 2, 2, 3, 3, 3]",22,0.1221,0.2034,7,0.1079,13.67,0.692
