pair,base,other,metric,var_crn,var_independent,variance_ratio,mean_diff
0,"[3, 2, 3, 4, 2, 2, 4, 2]","[3, 2, 3, 4, 2, 3, 4, 2]",mean_wait,0.5765,9.3263,16.18,0.5436
0,"[3, 2, 3, 4, 2, 2, 4, 2]","[3, 2, 3, 4, 2, 3, 4, 2]",p90_wait,6.6789,116.6307,17.46,1.5025
1,"[4, 2, 4, 2, 2, 2, 3, 3]","[4, 3, 4, 2, 2, 2, 3, 3]",mean_wait,0.6881,10.0843,14.65,0.8092
1,"[4, 2, 4, 2, 2, 2, 3, 3]","[4, 3, 4, 2, 2, 2, 3, 3]",p90_wait,11.0745,102.6095,9.27,2.737
2,"[2, 2, 4, 3, 2, 4, 2, 2]","[3, 2, 4, 3, 2, 4, 2, 2]",mean_wait,2.0263,18.5301,9.14,1.0095
2,"[2, 2, 4, 3, 2, 4, 2, 2]","[3, 2, 4, 3, 2, 4, 2, 2]",p90_wait,18.4564,201.7608,10.93,2.4161
3,"[4, 4, 3, 2, 2, 2, 4, 2]","[4, 4, 3, 2, 3, 2, 4, 2]",mean_wait,0.9297,5.6726,6.1,0.3791
3,"[4, 4, 3, 2, 2, 2, 4, 2]","[4, 4, 3, 2, 3, 2, 4, 2]",p90_wait,10.2963,80.464,7.81,1.3016
4,"[3, 2, 4, 2, 4, 3, 4, 4]","[3, 2, 5, 2, 4, 3, 4, 4]",mean_wait,0.0648,4.2567,65.65,0.1143
4,"[3, 2, 4, 2, 4, 3, 4, 4]","[3, 2, 5, 2, 4, 3, 4, 4]",p90_wait,1.2877,72.7536,56.5,0.41
5,"[2, 4, 4, 4, 2, 3, 2, 4]","[2, 5, 4, 4, 2, 3, 2, 4]",mean_wait,0.0608,5.7416,94.41,0.1291
5,"[2, 4, 4, 4, 2, 3, 2, 4]","[2, 5, 4, 4, 2, 3, 2, 4]",p90_wait,0.9883,83.63,84.62,0.3875
6,"[4, 2, 4, 2, 3, 4, 4, 3]","[4, 2, 4, 2, 3, 5, 4, 3]",mean_wait,0.0075,3.7683,503.8,0.0297
6,"[4, 2, 4, 2, 3, 4, 4, 3]","[4, 2, 4, 2, 3, 5, 4, 3]",p90_wait,0.2105,72.1686,342.88,0.1248
7,"[3, 4, 3, 3, 3, 2, 2, 4]","[3, 4, 3, 4, 3, 2, 2, 4]",mean_wait,0.0201,10.3063,513.16,0.0415
7,"[3, 4, 3, 3, 3, 2, 2, 4]","[3, 4, 3, 4, 3, 2, 2, 4]",p90_wait,0.2619,140.072,534.74,0.111
8,"[2, 4, 3, 4, 3, 3, 4, 3]","[2, 4, 3, 4, 4, 3, 4, 3]",mean_wait,0.0155,2.2821,147.27,0.0361
8,"[2, 4, 3, 4, 3, 3, 4, 3]","[2, 4, 3, 4, 4, 3, 4, 3]",p90_wait,0.3671,44.3901,120.93,0.1727
9,"[4, 2, 2, 4, 3, 2, 3, 2]","[4, 2, 2, 4, 3, 2, 3, 3]",mean_wait,0.4539,16.864,37.16,0.4839
9,"[4, 2, 2, 4, 3, 2, 3, 2]","[4, 2, 2, 4, 3, 2, 3, 3]",p90_wait,6.0506,188.786,31.2,1.2459
10,"[3, 2, 4, 2, 4, 4, 3, 3]","[3, 2, 4, 2, 4, 5, 3, 3]",mean_wait,0.0113,4.7647,419.99,0.0317
10,"[3, 2, 4, 2, 4, 4, 3, 3]","[3, 2, 4, 2, 4, 5, 3, 3]",p90_wait,0.1501,77.8413,518.6,0.075
11,"[4, 3, 4, 3, 2, 2, 3, 3]","[4, 4, 4, 3, 2, 2, 3, 3]",mean_wait,0.1743,6.9779,40.03,0.2481
11,"[4, 3, 4, 3, 2, 2, 3, 3]","[4, 4, 4, 3, 2, 2, 3, 3]",p90_wait,2.9159,87.3317,29.95,0.8749
12,"[2, 4, 4, 3, 4, 4, 4, 3]","[2, 4, 4, 3, 5, 4, 4, 3]",mean_wait,0.0021,1.9998,943.47,0.0099
12,"[2, 4, 4, 3, 4, 4, 4, 3]","[2, 4, 4, 3, 5, 4, 4, 3]",p90_wait,0.0466,43.2442,928.0,0.0338
13,"[4, 3, 4, 3, 2, 3, 3, 2]","[4, 4, 4, 3, 2, 3, 3, 2]",mean_wait,0.1743,4.1059,23.55,0.2481
13,"[4, 3, 4, 3, 2, 3, 3, 2]","[4, 4, 4, 3, 2, 3, 3, 2]",p90_wait,3.2404,68.0569,21.0,0.9924
14,"[3, 2, 2, 3, 2, 4, 2, 3]","[3, 2, 2, 3, 2, 4, 3, 3]",mean_wait,1.0583,18.5109,17.49,0.8655
14,"[3, 2, 2, 3, 2, 4, 2, 3]","[3, 2, 2, 3, 2, 4, 3, 3]",p90_wait,14.0365,217.5161,15.5,2.36
15,"[3, 2, 2, 3, 3, 4, 3, 2]","[3, 2, 2, 3, 3, 4, 4, 2]",mean_wait,0.4391,17.8745,40.71,0.327
15,"[3, 2, 2, 3, 3, 4, 3, 2]","[3, 2, 2, 3, 3, 4, 4, 2]",p90_wait,5.9615,221.9768,37.24,0.8995
16,"[4, 3, 4, 3, 3, 4, 3, 2]","[4, 3, 5, 3, 3, 4, 3, 2]",mean_wait,0.0159,3.0634,192.98,0.0411
16,"[4, 3, 4, 3, 3, 4, 3, 2]","[4, 3, 5, 3, 3, 4, 3, 2]",p90_wait,0.1833,61.3746,334.87,0.1356
17,"[2, 2, 2, 2, 4, 2, 2, 3]","[2, 2, 3, 2, 4, 2, 2, 3]",mean_wait,3.2541,34.3499,10.56,1.4207
17,"[2, 2, 2, 2, 4, 2, 2, 3]","[2, 2, 3, 2, 4, 2, 2, 3]",p90_wait,32.5512,241.3987,7.42,3.5882
18,"[3, 3, 2, 2, 3, 4, 3, 4]","[3, 3, 2, 2, 3, 5, 3, 4]",mean_wait,0.0119,5.9604,501.33,0.0338
18,"[3, 3, 2, 2, 3, 4, 3, 4]","[3, 3, 2, 2, 3, 5, 3, 4]",p90_wait,0.1199,93.7008,781.59,0.1021
19,"[2, 4, 4, 4, 4, 4, 4, 2]","[2, 4, 4, 4, 4, 4, 4, 3]",mean_wait,0.2351,2.3465,9.98,0.3594
19,"[2, 4, 4, 4, 4, 4, 4, 2]","[2, 4, 4, 4, 4, 4, 4, 3]",p90_wait,5.1323,49.179,9.58,1.399
